<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBH.US,60,20240411,160000,69.14,69.14,68.53,68.71,1684,0
PBH.US,60,20240411,170000,68.63,68.82,68.515,68.75,3884,0
PBH.US,60,20240411,180000,68.75,69.38,68.72,69.38,3237,0
PBH.US,60,20240411,190000,69.44,69.44,69.21,69.42,4867,0
PBH.US,60,20240411,200000,69.42,69.57,69.145,69.215,7257,0
PBH.US,60,20240411,210000,69.215,69.43,69.14,69.26,8205,0
PBH.US,60,20240411,220000,69.3,69.3,68.95,69.19,72305,0
PBH.US,60,20240412,160000,68.81,68.88,68.635,68.635,1902,0
PBH.US,60,20240412,170000,68.7,68.7,68.36,68.47,2856,0
PBH.US,60,20240412,180000,68.435,68.98,68.42,68.86,4857,0
PBH.US,60,20240412,190000,68.88,68.93,68.51,68.72,3312,0
PBH.US,60,20240412,200000,68.7,68.79,68.41,68.505,5608,0
PBH.US,60,20240412,210000,68.63,68.741,68.33,68.41,5213,0
PBH.US,60,20240412,220000,68.31,68.585,68.18,68.23,68748,0
PBH.US,60,20240415,160000,68.52,68.765,68.51,68.54,2027,0
PBH.US,60,20240415,170000,68.43,68.9,68.31,68.72,5434,0
PBH.US,60,20240415,180000,68.6,68.76,68.44,68.59,5779,0
PBH.US,60,20240415,190000,68.515,68.62,68.28,68.5,5413,0
PBH.US,60,20240415,200000,68.36,68.4,67.99,68.26,8840,0
PBH.US,60,20240415,210000,68.33,68.5,67.895,67.895,6463,0
PBH.US,60,20240415,220000,68.01,68.26,67.84,68.14,42893,0
PBH.US,60,20240416,160000,68.52,69.135,68.12,68.12,2955,0
PBH.US,60,20240416,170000,68.08,68.66,68.06,68.57,5625,0
PBH.US,60,20240416,180000,68.58,68.93,68.5782,68.77,5206,0
PBH.US,60,20240416,190000,68.85,68.86,68.655,68.68,3249,0
PBH.US,60,20240416,200000,68.64,68.93,68.41,68.41,7473,0
PBH.US,60,20240416,210000,68.57,68.93,68.36,68.7,8605,0
PBH.US,60,20240416,220000,68.7,68.74,68.05,68.06,57136,0
PBH.US,60,20240417,160000,68.37,68.545,67.8901,68.225,2594,0
PBH.US,60,20240417,170000,67.95,68.21,67.81,68.1,7073,0
PBH.US,60,20240417,180000,68.135,68.19,67.705,67.705,7540,0
PBH.US,60,20240417,190000,67.68,67.84,67.51,67.59,8259,0
PBH.US,60,20240417,200000,67.4488,67.835,67.4488,67.835,13442,0
PBH.US,60,20240417,210000,67.895,68.16,67.72,68.01,5742,0
PBH.US,60,20240417,220000,67.9,68.21,67.74,68.03,62491,0
PBH.US,60,20240418,160000,67.99,68.27,67.99,68.27,1150,0
PBH.US,60,20240418,170000,67.975,68.59,67.975,68.48,3749,0
PBH.US,60,20240418,180000,68.58,68.82,68.53,68.54,5621,0
PBH.US,60,20240418,190000,68.515,68.515,68.065,68.16,4165,0
PBH.US,60,20240418,200000,68.195,68.27,67.97,68.07,3710,0
PBH.US,60,20240418,210000,67.96,68.25,67.93,68.16,8738,0
PBH.US,60,20240418,220000,68.145,68.62,68.105,68.35,87111,0
PBH.US,60,20240419,160000,68.27,69.17,68.17,69.17,13369,0
PBH.US,60,20240419,170000,68.95,69.07,68.39,68.53,8088,0
PBH.US,60,20240419,180000,68.37,68.965,68.33,68.965,8203,0
PBH.US,60,20240419,190000,69.005,69.09,68.71,68.905,144003,0
PBH.US,60,20240419,200000,68.884,69.55,68.884,69.35,86179,0
PBH.US,60,20240419,210000,69.3,69.34,68.98,69.34,9038,0
PBH.US,60,20240419,220000,69.27,69.955,69.27,69.66,35149,0
PBH.US,60,20240422,160000,69.94,70.2,69.5,69.825,135109,0
PBH.US,60,20240422,170000,69.86,70.685,69.86,70.375,6429,0
PBH.US,60,20240422,180000,70.41,70.495,69.975,70.26,13191,0
PBH.US,60,20240422,190000,70.295,70.675,70.2924,70.6,7973,0
PBH.US,60,20240422,200000,70.56,70.84,70.445,70.655,11076,0
PBH.US,60,20240422,210000,70.59,70.65,70.36,70.52,8882,0
PBH.US,60,20240422,220000,70.513,70.513,69.62,69.8,81782,0
PBH.US,60,20240423,160000,69.95,70.675,69.95,70.65,1373,0
PBH.US,60,20240423,170000,70.81,71.105,70.77,70.96,5386,0
PBH.US,60,20240423,180000,71.06,71.4167,70.94,71.41,5088,0
PBH.US,60,20240423,190000,71.29,71.45,71.08,71.19,4898,0
PBH.US,60,20240423,200000,71.244,71.65,71.21,71.635,5559,0
PBH.US,60,20240423,210000,71.61,71.81,71.31,71.355,27299,0
PBH.US,60,20240423,220000,71.33,71.33,71.02,71.22,50624,0
PBH.US,60,20240424,160000,70.84,70.92,70.6,70.685,3050,0
PBH.US,60,20240424,170000,70.655,70.655,70.16,70.24,3907,0
PBH.US,60,20240424,180000,70.28,70.35,70.04,70.19,4244,0
PBH.US,60,20240424,190000,70.295,70.295,70.035,70.15,2776,0
PBH.US,60,20240424,200000,70.1162,70.24,70.09,70.23,3664,0
PBH.US,60,20240424,210000,70.27,70.27,69.725,69.735,7625,0
PBH.US,60,20240424,220000,69.77,70.42,69.73,70.13,78789,0
PBH.US,60,20240425,160000,70.01,70.01,69.23,69.39,1784,0
PBH.US,60,20240425,170000,69.6,70.31,69.47,70.03,5850,0
PBH.US,60,20240425,180000,70.095,70.11,69.67,69.81,6319,0
PBH.US,60,20240425,190000,69.91,70.31,69.7505,70.31,6029,0
PBH.US,60,20240425,200000,70.17,70.35,70.035,70.34,3954,0
PBH.US,60,20240425,210000,70.33,70.33,69.995,70.17,7037,0
PBH.US,60,20240425,220000,70.085,70.28,69.96,70.14,70635,0
PBH.US,60,20240426,160000,69.94,70.745,69.9,70.385,2481,0
PBH.US,60,20240426,170000,70.29,70.3625,69.89,70.205,7469,0
PBH.US,60,20240426,180000,70.25,70.29,70.01,70.2,4735,0
PBH.US,60,20240426,190000,70.27,70.65,70.26,70.42,6100,0
PBH.US,60,20240426,200000,70.42,70.42,69.99,70.12,7009,0
PBH.US,60,20240426,210000,70.1,70.13,69.9125,69.995,12096,0
PBH.US,60,20240426,220000,70.02,70.56,69.94,70.47,57710,0
PBH.US,60,20240429,160000,70.99,70.99,70.98,70.98,200,0
PBH.US,60,20240429,170000,71.27,71.47,70.98,71.17,3141,0
