<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCG.US,60,20240411,160000,16.82,16.82,16.605,16.655,441661,0
PCG.US,60,20240411,170000,16.66,16.66,16.445,16.47,904091,0
PCG.US,60,20240411,180000,16.465,16.55,16.45,16.54,597699,0
PCG.US,60,20240411,190000,16.54,16.58,16.53,16.55,665421,0
PCG.US,60,20240411,200000,16.5592,16.59,16.54,16.58,469654,0
PCG.US,60,20240411,210000,16.58,16.61,16.56,16.575,630968,0
PCG.US,60,20240411,220000,16.575,16.5769,16.45,16.47,3559768,0
PCG.US,60,20240412,160000,16.52,16.63,16.455,16.565,447009,0
PCG.US,60,20240412,170000,16.57,16.6,16.515,16.555,601542,0
PCG.US,60,20240412,180000,16.56,16.58,16.47,16.535,2957795,0
PCG.US,60,20240412,190000,16.54,16.55,16.445,16.455,1435323,0
PCG.US,60,20240412,200000,16.45,16.47,16.35,16.435,2481809,0
PCG.US,60,20240412,210000,16.435,16.51,16.4,16.415,1938639,0
PCG.US,60,20240412,220000,16.41,16.61,16.395,16.6,7911657,0
PCG.US,60,20240415,160000,16.73,16.77,16.62,16.67,580458,0
PCG.US,60,20240415,170000,16.665,16.685,16.43,16.43,1109996,0
PCG.US,60,20240415,180000,16.43,16.5,16.34,16.5,1184762,0
PCG.US,60,20240415,190000,16.5,16.505,16.35,16.4,705267,0
PCG.US,60,20240415,200000,16.4,16.42,16.28,16.315,1089340,0
PCG.US,60,20240415,210000,16.31,16.34,16.23,16.2675,1396573,0
PCG.US,60,20240415,220000,16.261,16.35,16.2113,16.29,5439713,0
PCG.US,60,20240416,160000,16.22,16.2599,16.1,16.115,779275,0
PCG.US,60,20240416,170000,16.115,16.12,16,16.015,1548145,0
PCG.US,60,20240416,180000,16.01,16.09,15.96,16.04,893560,0
PCG.US,60,20240416,190000,16.045,16.14,16.0301,16.125,601371,0
PCG.US,60,20240416,200000,16.13,16.13,16.045,16.095,716223,0
PCG.US,60,20240416,210000,16.09,16.18,16.065,16.145,923792,0
PCG.US,60,20240416,220000,16.145,16.15,16.02,16.03,2922410,0
PCG.US,60,20240417,160000,16.21,16.43,16.18,16.4125,994402,0
PCG.US,60,20240417,170000,16.415,16.43,16.28,16.315,1098396,0
PCG.US,60,20240417,180000,16.315,16.325,16.21,16.26,859545,0
PCG.US,60,20240417,190000,16.25,16.33,16.24,16.32,1079842,0
PCG.US,60,20240417,200000,16.315,16.43,16.31,16.415,874580,0
PCG.US,60,20240417,210000,16.415,16.52,16.41,16.44,854233,0
PCG.US,60,20240417,220000,16.44,16.5,16.42,16.44,4171562,0
PCG.US,60,20240418,160000,16.53,16.59,16.42,16.54,360163,0
PCG.US,60,20240418,170000,16.54,16.56,16.43,16.45,930447,0
PCG.US,60,20240418,180000,16.45,16.51,16.425,16.46,1457726,0
PCG.US,60,20240418,190000,16.465,16.49,16.445,16.45,850107,0
PCG.US,60,20240418,200000,16.455,16.5137,16.435,16.48,741640,0
PCG.US,60,20240418,210000,16.48,16.52,16.455,16.51,759214,0
PCG.US,60,20240418,220000,16.515,16.6,16.505,16.54,2986952,0
PCG.US,60,20240419,160000,16.58,16.72,16.55,16.665,706445,0
PCG.US,60,20240419,170000,16.67,16.755,16.65,16.745,676755,0
PCG.US,60,20240419,180000,16.74,16.77,16.71,16.75,631703,0
PCG.US,60,20240419,190000,16.75,16.79,16.71,16.775,740742,0
PCG.US,60,20240419,200000,16.775,16.84,16.775,16.8,440405,0
PCG.US,60,20240419,210000,16.805,16.83,16.76,16.82,600952,0
PCG.US,60,20240419,220000,16.82,16.87,16.775,16.84,2793603,0
PCG.US,60,20240422,160000,16.86,16.86,16.7,16.81,403608,0
PCG.US,60,20240422,170000,16.8,16.9,16.79,16.88,1184065,0
PCG.US,60,20240422,180000,16.88,16.89,16.835,16.865,827861,0
PCG.US,60,20240422,190000,16.87,16.9,16.84,16.88,699905,0
PCG.US,60,20240422,200000,16.875,16.9675,16.86,16.96,779065,0
PCG.US,60,20240422,210000,16.96,16.98,16.895,16.935,701003,0
PCG.US,60,20240422,220000,16.93,16.95,16.87,16.95,3044150,0
PCG.US,60,20240423,160000,16.95,17.09,16.92,17.01,1506828,0
PCG.US,60,20240423,170000,17.005,17.0366,16.97,16.98,950467,0
PCG.US,60,20240423,180000,16.975,17.04,16.97,17.03,570940,0
PCG.US,60,20240423,190000,17.03,17.06,17.01,17.02,560041,0
PCG.US,60,20240423,200000,17.025,17.03,16.98,17.025,570647,0
PCG.US,60,20240423,210000,17.025,17.03,16.945,16.955,576225,0
PCG.US,60,20240423,220000,16.955,16.98,16.9325,16.96,3437437,0
PCG.US,60,20240424,160000,16.81,16.95,16.7,16.875,641143,0
PCG.US,60,20240424,170000,16.875,16.95,16.85,16.905,880692,0
PCG.US,60,20240424,180000,16.905,17.05,16.9,17.045,770633,0
PCG.US,60,20240424,190000,17.045,17.06,16.98,16.985,773390,0
PCG.US,60,20240424,200000,16.985,17.075,16.98,17.06,490883,0
PCG.US,60,20240424,210000,17.06,17.07,17.02,17.035,820947,0
PCG.US,60,20240424,220000,17.03,17.1,17,17,4385921,0
PCG.US,60,20240425,160000,16.98,17.17,16.55,16.605,1472821,0
PCG.US,60,20240425,170000,16.605,16.75,16.505,16.72,1733060,0
PCG.US,60,20240425,180000,16.7195,17.045,16.67,17.02,2180515,0
PCG.US,60,20240425,190000,17.02,17.06,16.92,17.01,1295879,0
PCG.US,60,20240425,200000,17.0075,17.11,16.99,17.11,761372,0
PCG.US,60,20240425,210000,17.105,17.12,16.96,17.0025,644804,0
PCG.US,60,20240425,220000,17.005,17.08,16.98,17.07,5484877,0
PCG.US,60,20240426,160000,17.09,17.2,17.025,17.08,676596,0
PCG.US,60,20240426,170000,17.085,17.155,16.96,16.99,1447860,0
PCG.US,60,20240426,180000,17,17.11,16.97,17.11,1331160,0
PCG.US,60,20240426,190000,17.11,17.15,17.095,17.15,1081005,0
PCG.US,60,20240426,200000,17.15,17.2,17.11,17.17,1012078,0
PCG.US,60,20240426,210000,17.165,17.19,17.14,17.185,822612,0
PCG.US,60,20240426,220000,17.19,17.19,17.02,17.03,6020557,0
PCG.US,60,20240429,160000,17.1,17.265,17.1,17.175,915163,0
PCG.US,60,20240429,170000,17.175,17.25,17.135,17.205,998393,0
PCG.US,60,20240429,180000,17.205,17.225,17.17,17.21,815517,0
PCG.US,60,20240429,190000,17.21,17.24,17.2,17.22,367711,0
PCG.US,60,20240429,200000,17.22,17.245,17.205,17.21,365270,0
