<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PFE.US,60,20240411,160000,26.35,26.4499,26.22,26.22,2483119,0
PFE.US,60,20240411,170000,26.22,26.24,26.13,26.2,4038602,0
PFE.US,60,20240411,180000,26.2,26.24,26.16,26.23,3562844,0
PFE.US,60,20240411,190000,26.24,26.27,26.18,26.21,2355276,0
PFE.US,60,20240411,200000,26.2183,26.38,26.21,26.38,2873005,0
PFE.US,60,20240411,210000,26.375,26.435,26.28,26.285,2762153,0
PFE.US,60,20240411,220000,26.2832,26.37,26.27,26.34,9177388,0
PFE.US,60,20240412,160000,26.25,26.32,26.11,26.215,2457734,0
PFE.US,60,20240412,170000,26.21,26.218,26.07,26.1225,3963162,0
PFE.US,60,20240412,180000,26.125,26.2,26.1,26.195,2464810,0
PFE.US,60,20240412,190000,26.2,26.2,25.9,25.905,5598206,0
PFE.US,60,20240412,200000,25.9099,26.01,25.86,25.98,4342857,0
PFE.US,60,20240412,210000,25.98,26.02,25.89,25.8975,3697526,0
PFE.US,60,20240412,220000,25.8922,25.925,25.83,25.86,12178610,0
PFE.US,60,20240415,160000,25.91,26.055,25.75,26.045,4209519,0
PFE.US,60,20240415,170000,26.045,26.17,25.94,26.005,4190824,0
PFE.US,60,20240415,180000,26.005,26.13,25.98,26.0642,3451598,0
PFE.US,60,20240415,190000,26.06,26.1,26.01,26.045,1961423,0
PFE.US,60,20240415,200000,26.045,26.055,25.91,26.015,3041286,0
PFE.US,60,20240415,210000,26.015,26.02,25.83,25.845,2673286,0
PFE.US,60,20240415,220000,25.84,25.93,25.8,25.91,9507004,0
PFE.US,60,20240416,160000,25.82,25.95,25.74,25.885,2336482,0
PFE.US,60,20240416,170000,25.885,25.985,25.83,25.86,2764698,0
PFE.US,60,20240416,180000,25.865,25.9,25.77,25.8599,3448046,0
PFE.US,60,20240416,190000,25.855,25.87,25.81,25.85,1867803,0
PFE.US,60,20240416,200000,25.8475,25.85,25.755,25.795,2587671,0
PFE.US,60,20240416,210000,25.7901,25.885,25.72,25.835,3157479,0
PFE.US,60,20240416,220000,25.835,25.84,25.68,25.69,7319663,0
PFE.US,60,20240417,160000,25.69,25.69,25.41,25.53,6388318,0
PFE.US,60,20240417,170000,25.535,25.55,25.31,25.3201,6566824,0
PFE.US,60,20240417,180000,25.33,25.4,25.26,25.365,7420919,0
PFE.US,60,20240417,190000,25.3601,25.47,25.32,25.465,3430999,0
PFE.US,60,20240417,200000,25.465,25.53,25.42,25.4462,2996164,0
PFE.US,60,20240417,210000,25.445,25.48,25.395,25.43,2860101,0
PFE.US,60,20240417,220000,25.42,25.53,25.4,25.42,9156250,0
PFE.US,60,20240418,160000,25.35,25.46,25.28,25.43,2609450,0
PFE.US,60,20240418,170000,25.43,25.45,25.33,25.4146,3242177,0
PFE.US,60,20240418,180000,25.415,25.42,25.29,25.3375,7851678,0
PFE.US,60,20240418,190000,25.335,25.35,25.255,25.275,3600679,0
PFE.US,60,20240418,200000,25.27,25.32,25.23,25.295,3573528,0
PFE.US,60,20240418,210000,25.295,25.34,25.27,25.325,2369582,0
PFE.US,60,20240418,220000,25.32,25.4,25.3102,25.39,9077533,0
PFE.US,60,20240419,160000,25.39,25.525,25.35,25.4573,3759168,0
PFE.US,60,20240419,170000,25.46,25.68,25.38,25.625,5579178,0
PFE.US,60,20240419,180000,25.625,25.84,25.615,25.815,3632305,0
PFE.US,60,20240419,190000,25.81,25.85,25.72,25.805,2993288,0
PFE.US,60,20240419,200000,25.805,25.86,25.76,25.855,2127858,0
PFE.US,60,20240419,210000,25.855,25.9463,25.805,25.935,3071919,0
PFE.US,60,20240419,220000,25.935,26,25.91,26,12970502,0
PFE.US,60,20240422,160000,26,26.14,25.925,26.095,2824071,0
PFE.US,60,20240422,170000,26.09,26.4,26.09,26.31,4692118,0
PFE.US,60,20240422,180000,26.31,26.4,26.24,26.27,3893032,0
PFE.US,60,20240422,190000,26.265,26.385,26.24,26.385,2106444,0
PFE.US,60,20240422,200000,26.385,26.5,26.36,26.485,2531144,0
PFE.US,60,20240422,210000,26.485,26.5,26.38,26.405,2727836,0
PFE.US,60,20240422,220000,26.4,26.4275,26.22,26.26,10583031,0
PFE.US,60,20240423,160000,26.33,26.4,26.26,26.375,1609183,0
PFE.US,60,20240423,170000,26.375,26.47,26.31,26.38,3309047,0
PFE.US,60,20240423,180000,26.385,26.44,26.255,26.275,3006643,0
PFE.US,60,20240423,190000,26.275,26.28,26.19,26.265,2171637,0
PFE.US,60,20240423,200000,26.27,26.3,26.22,26.265,1770936,0
PFE.US,60,20240423,210000,26.265,26.31,26.23,26.2949,1869713,0
PFE.US,60,20240423,220000,26.295,26.35,26.24,26.32,7913661,0
PFE.US,60,20240424,160000,26.25,26.34,26.04,26.135,2828613,0
PFE.US,60,20240424,170000,26.135,26.23,26.08,26.185,2813898,0
PFE.US,60,20240424,180000,26.19,26.21,26.1,26.1702,2210484,0
PFE.US,60,20240424,190000,26.175,26.27,26.155,26.195,1478801,0
PFE.US,60,20240424,200000,26.2,26.3,26.18,26.2952,1317106,0
PFE.US,60,20240424,210000,26.295,26.32,26.245,26.28,1605830,0
PFE.US,60,20240424,220000,26.285,26.32,26.24,26.27,7900049,0
PFE.US,60,20240425,160000,26.27,26.43,25.82,25.8267,2539338,0
PFE.US,60,20240425,170000,25.825,25.85,25.58,25.585,6665547,0
PFE.US,60,20240425,180000,25.5898,25.6,25.45,25.515,6160153,0
PFE.US,60,20240425,190000,25.52,25.535,25.41,25.44,4294593,0
PFE.US,60,20240425,200000,25.435,25.56,25.3,25.5232,5467418,0
PFE.US,60,20240425,210000,25.525,25.535,25.36,25.3701,3432710,0
PFE.US,60,20240425,220000,25.38,25.45,25.25,25.26,13864554,0
PFE.US,60,20240426,160000,25.33,25.49,25.2,25.415,3176510,0
PFE.US,60,20240426,170000,25.415,25.45,25.31,25.36,4270670,0
PFE.US,60,20240426,180000,25.36,25.42,25.305,25.365,3904125,0
PFE.US,60,20240426,190000,25.36,25.53,25.36,25.465,5278315,0
PFE.US,60,20240426,200000,25.4614,25.52,25.41,25.5167,2936266,0
PFE.US,60,20240426,210000,25.5125,25.54,25.44,25.515,3412712,0
PFE.US,60,20240426,220000,25.515,25.535,25.38,25.4,12967732,0
PFE.US,60,20240429,160000,25.6,25.85,25.55,25.635,3526399,0
PFE.US,60,20240429,170000,25.64,25.805,25.63,25.715,2886012,0
PFE.US,60,20240429,180000,25.715,25.79,25.69,25.7405,2791192,0
PFE.US,60,20240429,190000,25.7412,25.75,25.65,25.675,2200636,0
PFE.US,60,20240429,200000,25.675,25.74,25.67,25.7065,1744827,0
PFE.US,60,20240429,210000,25.7,25.72,25.61,25.6468,2368076,0
PFE.US,60,20240429,220000,25.645,25.65,25.56,25.64,12202697,0
PFE.US,60,20240430,160000,25.65,25.78,25.585,25.6515,3367586,0
PFE.US,60,20240430,170000,25.6556,25.83,25.62,25.77,4534701,0
PFE.US,60,20240430,180000,25.76,25.765,25.61,25.705,3371859,0
PFE.US,60,20240430,190000,25.705,25.74,25.655,25.6962,2797632,0
PFE.US,60,20240430,200000,25.695,25.74,25.61,25.655,2880377,0
PFE.US,60,20240430,210000,25.655,25.71,25.61,25.63,3137738,0
PFE.US,60,20240430,220000,25.635,25.67,25.59,25.62,13234090,0
PFE.US,60,20240501,160000,26.3295,26.97,26.048,26.52,13194432,0
PFE.US,60,20240501,170000,26.521,26.59,26.02,26.41,11044965,0
PFE.US,60,20240501,180000,26.415,26.73,26.34,26.47,6848969,0
PFE.US,60,20240501,190000,26.465,26.67,26.43,26.615,3840966,0
PFE.US,60,20240501,200000,26.615,27.3,26.6,27.1059,12259271,0
PFE.US,60,20240501,210000,27.105,27.45,27.07,27.41,8329532,0
PFE.US,60,20240501,220000,27.41,27.44,27.14,27.18,18871453,0
PFE.US,60,20240502,160000,27.21,27.63,27.12,27.2827,6128690,0
PFE.US,60,20240502,170000,27.295,27.86,27.28,27.605,8627564,0
PFE.US,60,20240502,180000,27.61,27.62,27.42,27.49,6139295,0
PFE.US,60,20240502,190000,27.485,27.92,27.455,27.8297,10294493,0
PFE.US,60,20240502,200000,27.82,27.94,27.62,27.63,5409064,0
PFE.US,60,20240502,210000,27.625,27.84,27.595,27.82,3935789,0
PFE.US,60,20240502,220000,27.815,27.83,27.66,27.7,13262907,0
PFE.US,60,20240507,160000,28.29,28.49,28.27,28.345,4116763,0
PFE.US,60,20240507,170000,28.34,28.395,28.26,28.275,5360281,0
PFE.US,60,20240507,180000,28.275,28.31,28.14,28.17,5188846,0
PFE.US,60,20240507,190000,28.1741,28.2,27.94,27.975,4371751,0
PFE.US,60,20240507,200000,27.975,28.01,27.91,27.955,3266970,0
PFE.US,60,20240507,210000,27.955,28.01,27.935,28,4719957,0
PFE.US,60,20240507,220000,27.995,28.005,27.4,27.77,27770682,0
PFE.US,60,20240508,160000,27.7,27.89,27.52,27.865,3264960,0
