<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PG.US,60,20240411,160000,157.55,157.6,156.41,157.06,289480,0
PG.US,60,20240411,170000,157.08,157.09,155.92,156.03,475591,0
PG.US,60,20240411,180000,156.0255,156.235,155.78,156.19,228570,0
PG.US,60,20240411,190000,156.2,156.3,155.83,156.22,231854,0
PG.US,60,20240411,200000,156.22,156.7,156.08,156.59,205830,0
PG.US,60,20240411,210000,156.605,157.14,156.6,156.9058,197671,0
PG.US,60,20240411,220000,156.92,157.01,155.77,155.84,2077978,0
PG.US,60,20240412,160000,155.16,155.94,155.15,155.82,260354,0
PG.US,60,20240412,170000,155.8,155.94,155.21,155.83,423247,0
PG.US,60,20240412,180000,155.8397,155.97,155.51,155.7962,390739,0
PG.US,60,20240412,190000,155.8,155.88,155.09,155.09,319183,0
PG.US,60,20240412,200000,155.085,155.33,154.74,155.285,316522,0
PG.US,60,20240412,210000,155.28,155.555,155.08,155.2,420450,0
PG.US,60,20240412,220000,155.2,155.36,155,155.33,2055402,0
PG.US,60,20240415,160000,156.42,156.7,155.99,156.38,318346,0
PG.US,60,20240415,170000,156.39,156.46,155.8,156.355,361160,0
PG.US,60,20240415,180000,156.38,156.82,156.16,156.695,338451,0
PG.US,60,20240415,190000,156.7,156.8,156.03,156.28,239589,0
PG.US,60,20240415,200000,156.28,156.32,155.3801,155.95,490668,0
PG.US,60,20240415,210000,155.93,156.19,155.57,155.9,314392,0
PG.US,60,20240415,220000,155.9,156.02,155.33,155.45,1934429,0
PG.US,60,20240416,160000,155.85,156.94,155.81,156.325,287852,0
PG.US,60,20240416,170000,156.26,156.3999,155.665,155.71,392057,0
PG.US,60,20240416,180000,155.72,156.45,155.7,156.34,308513,0
PG.US,60,20240416,190000,156.345,156.5,156.17,156.33,193028,0
PG.US,60,20240416,200000,156.32,156.35,155.74,156.24,226042,0
PG.US,60,20240416,210000,156.225,156.74,156,156.69,319033,0
PG.US,60,20240416,220000,156.69,156.69,155.94,155.95,1877862,0
PG.US,60,20240417,160000,156.3,156.87,156.05,156.42,644308,0
PG.US,60,20240417,170000,156.38,156.68,155.91,156.1,479301,0
PG.US,60,20240417,180000,156.11,156.12,155.74,155.91,413742,0
