<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKX.US,60,20240411,160000,72.7076,73.0036,72.451,72.4904,3464.7268901986286,0
PKX.US,60,20240411,170000,72.4115,72.4412,72.0465,72.1747,4856.0898677484,0
PKX.US,60,20240411,180000,72.2241,72.3622,72.0487,72.3622,1777.4586035123,0
PKX.US,60,20240411,190000,72.5201,72.5793,72.4155,72.451,3452.5663980423,0
PKX.US,60,20240411,200000,72.451,72.826,72.3671,72.6928,4025.1229037347,0
PKX.US,60,20240411,210000,72.9445,72.9839,72.7569,72.7964,4312.9212181004,0
PKX.US,60,20240411,220000,72.8013,72.8556,72.6745,72.7076,8085.7139095919,0
PKX.US,60,20240412,160000,71.0498,71.2274,70.5366,70.5663,12255.749344855867,0
PKX.US,60,20240412,170000,70.5663,70.6304,70.1616,70.1913,5043.5641218247,0
PKX.US,60,20240412,180000,70.2505,70.4922,70.2505,70.3108,13724.128772729,0
PKX.US,60,20240412,190000,70.2505,70.2998,69.9051,69.9742,4703.0703414483,0
PKX.US,60,20240412,200000,69.9149,70.1222,69.6781,70.0827,10291.829861614,0
PKX.US,60,20240412,210000,70.0037,70.2307,69.8459,69.8459,5991.0691356696,0
PKX.US,60,20240412,220000,69.8922,69.9051,69.4116,69.4216,63426.086964212,0
PKX.US,60,20240415,160000,69.8755,70.1518,69.6879,70.0333,13028.953971127161,0
PKX.US,60,20240415,170000,69.9742,70.0333,69.4807,69.5399,3018.842177801,0
PKX.US,60,20240415,180000,69.4018,69.9435,68.1979,69.0268,136676.83821637,0
PKX.US,60,20240415,190000,69.017,70.1616,68.9873,69.7176,87347.801784344,0
PKX.US,60,20240415,200000,69.6781,69.8557,69.1649,69.2834,17282.086102792,0
PKX.US,60,20240415,210000,69.3722,69.4116,69.1353,69.4116,7414.8600923028,0
PKX.US,60,20240415,220000,69.3477,69.382,68.8245,69.086,24974.610765997,0
PKX.US,60,20240416,160000,67.3295,67.7095,66.9989,67.3097,7366.218123677633,0
PKX.US,60,20240416,170000,67.2851,67.961,67.2063,67.5565,27648.905666037,0
PKX.US,60,20240416,180000,67.5664,67.919,67.5119,67.8278,14533.814875469,0
PKX.US,60,20240416,190000,67.7884,68.0844,67.6399,67.8623,9563.2137065822,0
PKX.US,60,20240416,200000,67.9562,67.961,67.517,67.8673,15228.989677071,0
PKX.US,60,20240416,210000,67.8525,68.2177,67.4479,67.9265,7433.1008305373,0
PKX.US,60,20240416,220000,68.04,68.0893,67.586,67.586,30292.799335685,0
PKX.US,60,20240417,160000,67.517,68.0696,67.1421,67.6847,13578.202866853295,0
PKX.US,60,20240417,170000,67.6453,67.6453,66.9249,67.0927,14062.595804413,0
PKX.US,60,20240417,180000,67.1519,67.1617,66.8065,66.9743,4048.4305137009,0
PKX.US,60,20240417,190000,66.8854,66.9447,66.634,66.7572,9133.5429837263,0
PKX.US,60,20240417,200000,66.928,67.2407,66.853,67.2308,4734.4849461854,0
PKX.US,60,20240417,210000,67.3443,67.3788,67.0828,67.1421,3616.7330421524,0
PKX.US,60,20240417,220000,66.8756,67.1421,66.8756,67.0039,21006.236825659,0
PKX.US,60,20240418,160000,69.5892,69.8557,69.3525,69.4906,11830.13211938543,0
PKX.US,60,20240418,170000,69.5892,69.9149,69.5597,69.7521,6173.4765180141,0
PKX.US,60,20240418,180000,69.7324,69.8458,69.4807,69.535,2881.0232666963,0
PKX.US,60,20240418,190000,69.5227,69.6683,69.2735,69.3623,10191.505801324,0
PKX.US,60,20240418,200000,69.1255,69.1649,68.7505,68.8294,7450.3281944254,0
PKX.US,60,20240418,210000,68.9577,68.9577,68.6913,68.8393,3811.3009166531,0
PKX.US,60,20240418,220000,68.9183,69.234,68.8788,69.1748,21967.929080353,0
PKX.US,60,20240419,160000,69.382,69.6979,69.1453,69.6583,5418.5126299772055,0
PKX.US,60,20240419,170000,69.6929,69.6929,69.5202,69.6781,1621.3989541731,0
PKX.US,60,20240419,180000,69.7077,69.7077,69.5399,69.5399,670.85381728912,0
PKX.US,60,20240419,190000,69.4906,69.4906,69.091,69.4413,4000.8019194221,0
PKX.US,60,20240419,200000,69.5597,69.6436,69.3771,69.6436,3148.5540941349,0
PKX.US,60,20240419,210000,69.4709,69.5202,69.2735,69.3623,2552.6899784763,0
PKX.US,60,20240419,220000,69.3722,69.6583,69.2933,69.6583,17749.251676464,0
PKX.US,60,20240422,160000,70.3196,70.4577,70.0531,70.3985,5313.121697955954,0
PKX.US,60,20240422,170000,70.359,70.6155,70.211,70.3442,6717.6585420084,0
PKX.US,60,20240422,180000,70.4182,70.4182,69.9742,70.1814,14187.240849015,0
PKX.US,60,20240422,190000,70.2307,70.4872,70.1814,70.4626,10212.786662598,0
PKX.US,60,20240422,200000,70.5761,70.9116,70.4873,70.9017,4456.8203752833,0
PKX.US,60,20240422,210000,70.9116,71.0991,70.882,70.9116,4079.845118438,0
PKX.US,60,20240422,220000,70.882,70.9067,70.5859,70.655,13809.252217823,0
PKX.US,60,20240423,160000,70.2011,70.507,70.2011,70.507,1527.155139961782,0
PKX.US,60,20240423,170000,70.4872,70.507,70.2109,70.3886,11557.534420215,0
PKX.US,60,20240423,180000,70.28,70.502,70.1123,70.4872,8248.8671793556,0
PKX.US,60,20240423,190000,70.4872,70.6107,70.4577,70.5317,7177.730495255,0
