<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNT.US,60,20240411,160000,62.7,63.34,62.125,63.245,57199,0
PLNT.US,60,20240411,170000,63.245,63.3855,62.415,62.585,110256,0
PLNT.US,60,20240411,180000,62.56,62.72,62.37,62.64,63113,0
PLNT.US,60,20240411,190000,62.68,63.09,62.53,62.99,75589,0
PLNT.US,60,20240411,200000,63.02,63.26,62.8,62.965,76074,0
PLNT.US,60,20240411,210000,62.98,63.125,62.71,62.78,102178,0
PLNT.US,60,20240411,220000,62.8,62.85,62.44,62.6,524657,0
PLNT.US,60,20240412,160000,62.36,62.36,61.5001,61.98,75041,0
PLNT.US,60,20240412,170000,62,62.03,61.39,61.9,197052,0
PLNT.US,60,20240412,180000,61.88,62.18,61.75,61.77,121054,0
PLNT.US,60,20240412,190000,61.77,61.79,61.09,61.37,121025,0
PLNT.US,60,20240412,200000,61.345,61.409,60.8,60.95,157746,0
PLNT.US,60,20240412,210000,60.94,61.205,60.85,61,138728,0
PLNT.US,60,20240412,220000,60.985,61.31,60.88,61.29,529812,0
PLNT.US,60,20240415,160000,61.68,63.17,61.46,63.0099,30274,0
PLNT.US,60,20240415,170000,62.945,62.95,62.56,62.75,108655,0
PLNT.US,60,20240415,180000,62.775,63.7299,62.69,63.66,213518,0
PLNT.US,60,20240415,190000,63.62,63.705,63.33,63.44,77568,0
PLNT.US,60,20240415,200000,63.37,63.4,62.54,62.7041,54914,0
PLNT.US,60,20240415,210000,62.7,62.7,61.93,62.18,77431,0
PLNT.US,60,20240415,220000,62.18,62.66,61.86,62.56,496105,0
PLNT.US,60,20240416,160000,61.98,62.45,60.54,60.745,119325,0
PLNT.US,60,20240416,170000,60.68,60.88,59.9,60.33,206839,0
PLNT.US,60,20240416,180000,60.34,60.69,60.2,60.365,148431,0
PLNT.US,60,20240416,190000,60.34,60.55,60.21,60.415,104011,0
PLNT.US,60,20240416,200000,60.415,60.48,59.92,60.055,136766,0
PLNT.US,60,20240416,210000,60.055,60.48,59.87,60.1,111529,0
PLNT.US,60,20240416,220000,60.1,60.84,59.92,60.76,869167,0
PLNT.US,60,20240417,160000,61.08,61.08,60.21,60.21,38871,0
PLNT.US,60,20240417,170000,60.285,60.285,59.17,59.3,136677,0
PLNT.US,60,20240417,180000,59.26,59.46,59.03,59.305,70371,0
PLNT.US,60,20240417,190000,59.31,59.65,59.11,59.13,110706,0
