<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLOW.US,60,20240411,160000,22.4,22.4,22.25,22.27,4518,0
PLOW.US,60,20240411,170000,22.28,22.38,22.086,22.32,70545,0
PLOW.US,60,20240411,180000,22.3,22.33,22.235,22.32,8599,0
PLOW.US,60,20240411,190000,22.33,22.41,22.3,22.41,9764,0
PLOW.US,60,20240411,200000,22.43,22.49,22.335,22.38,16454,0
PLOW.US,60,20240411,210000,22.385,22.415,22.33,22.345,18852,0
PLOW.US,60,20240411,220000,22.3475,22.56,22.345,22.54,62451,0
PLOW.US,60,20240412,160000,22.31,22.43,22.28,22.365,6652,0
PLOW.US,60,20240412,170000,22.28,22.37,22.22,22.37,7765,0
PLOW.US,60,20240412,180000,22.375,22.43,22.34,22.39,10651,0
PLOW.US,60,20240412,190000,22.39,22.39,22.07,22.09,9525,0
PLOW.US,60,20240412,200000,22.07,22.3,22,22.225,14335,0
PLOW.US,60,20240412,210000,22.215,22.33,22.215,22.28,40063,0
PLOW.US,60,20240412,220000,22.19,22.19,21.87,21.9,72723,0
PLOW.US,60,20240415,160000,21.97,22.25,21.9,21.945,5977,0
PLOW.US,60,20240415,170000,21.86,22,21.735,21.78,8403,0
PLOW.US,60,20240415,180000,21.76,21.81,21.52,21.67,30368,0
PLOW.US,60,20240415,190000,21.7,21.83,21.635,21.79,12133,0
PLOW.US,60,20240415,200000,21.78,21.82,21.69,21.8,9690,0
PLOW.US,60,20240415,210000,21.81,21.83,21.58,21.62,14008,0
PLOW.US,60,20240415,220000,21.6,21.69,21.6,21.65,41781,0
PLOW.US,60,20240416,160000,21.55,21.75,21.42,21.42,15010,0
PLOW.US,60,20240416,170000,21.47,21.63,21.47,21.485,25054,0
PLOW.US,60,20240416,180000,21.485,21.7,21.45,21.655,80937,0
PLOW.US,60,20240416,190000,21.64,21.815,21.63,21.705,4659,0
PLOW.US,60,20240416,200000,21.73,21.86,21.6,21.65,20599,0
PLOW.US,60,20240416,210000,21.7,21.82,21.57,21.65,7970,0
PLOW.US,60,20240416,220000,21.64,21.78,21.58,21.77,44889,0
PLOW.US,60,20240417,160000,21.94,21.98,21.87,21.92,4524,0
PLOW.US,60,20240417,170000,21.92,21.95,21.83,21.86,15119,0
PLOW.US,60,20240417,180000,21.92,21.92,21.775,21.82,8988,0
PLOW.US,60,20240417,190000,21.82,21.95,21.79,21.95,11878,0
PLOW.US,60,20240417,200000,21.95,22.09,21.9101,21.9678,18666,0
PLOW.US,60,20240417,210000,21.98,22.005,21.82,21.85,24052,0
PLOW.US,60,20240417,220000,21.845,21.88,21.79,21.81,73051,0
PLOW.US,60,20240418,160000,21.81,21.825,21.65,21.825,22970,0
PLOW.US,60,20240418,170000,21.87,22.17,21.87,22.15,9702,0
PLOW.US,60,20240418,180000,22.17,22.29,22.11,22.11,3530,0
PLOW.US,60,20240418,190000,22.11,22.17,21.98,21.98,10598,0
PLOW.US,60,20240418,200000,22.0399,22.09,21.895,22,36561,0
PLOW.US,60,20240418,210000,21.99,21.99,21.885,21.94,19154,0
PLOW.US,60,20240418,220000,21.94,22.08,21.93,22.01,101167,0
PLOW.US,60,20240419,160000,21.96,22.22,21.96,22.16,12132,0
PLOW.US,60,20240419,170000,22.12,22.13,21.975,22.02,15687,0
PLOW.US,60,20240419,180000,21.99,22,21.93,21.99,6683,0
PLOW.US,60,20240419,190000,21.96,21.96,21.87,21.92,16506,0
PLOW.US,60,20240419,200000,21.94,22.03,21.92,22.02,7957,0
PLOW.US,60,20240419,210000,21.995,22.01,21.93,21.97,8783,0
PLOW.US,60,20240419,220000,21.97,22.085,21.9,21.99,49742,0
PLOW.US,60,20240422,160000,21.95,22.05,21.82,22.035,17292,0
PLOW.US,60,20240422,170000,22.005,22.02,21.94,21.99,7736,0
PLOW.US,60,20240422,180000,21.98,22.02,21.78,21.9,20995,0
PLOW.US,60,20240422,190000,21.905,21.99,21.865,21.9,6318,0
PLOW.US,60,20240422,200000,21.885,21.96,21.88,21.95,6840,0
PLOW.US,60,20240422,210000,21.96,21.964,21.9,21.91,3357,0
PLOW.US,60,20240422,220000,21.92,22.19,21.92,22.02,80728,0
PLOW.US,60,20240423,160000,22.05,22.31,22.05,22.28,2429,0
PLOW.US,60,20240423,170000,22.27,22.28,22.13,22.23,5895,0
PLOW.US,60,20240423,180000,22.21,22.305,22.17,22.2766,6168,0
PLOW.US,60,20240423,190000,22.24,22.38,22.24,22.3,11278,0
PLOW.US,60,20240423,200000,22.3,22.345,22.26,22.28,7447,0
PLOW.US,60,20240423,210000,22.27,22.27,22.17,22.2293,6605,0
PLOW.US,60,20240423,220000,22.2,22.34,22.19,22.29,34862,0
PLOW.US,60,20240424,160000,22.15,22.28,22.09,22.09,3586,0
PLOW.US,60,20240424,170000,22.1,22.155,21.88,22.06,29938,0
PLOW.US,60,20240424,180000,22.1,22.14,21.94,22.005,38613,0
PLOW.US,60,20240424,190000,22,22.14,21.975,22.14,32127,0
PLOW.US,60,20240424,200000,22.1,22.23,22.07,22.17,9902,0
PLOW.US,60,20240424,210000,22.1924,22.29,22.18,22.26,11110,0
PLOW.US,60,20240424,220000,22.27,22.46,22.22,22.37,61043,0
PLOW.US,60,20240425,160000,22.17,22.26,21.9395,22.06,15616,0
PLOW.US,60,20240425,170000,22,22.17,21.94,22.15,23080,0
PLOW.US,60,20240425,180000,22.12,22.25,22.0889,22.0889,30130,0
PLOW.US,60,20240425,190000,22.1199,22.2,22.05,22.0999,19528,0
PLOW.US,60,20240425,200000,22.1,22.19,22.02,22.14,16164,0
PLOW.US,60,20240425,210000,22.16,22.19,22.1,22.13,15154,0
PLOW.US,60,20240425,220000,22.14,22.25,22.09,22.23,62427,0
PLOW.US,60,20240426,160000,22.29,22.4617,22.21,22.33,11049,0
PLOW.US,60,20240426,170000,22.345,22.4485,22.31,22.35,14729,0
PLOW.US,60,20240426,180000,22.36,22.4463,22.26,22.32,35861,0
PLOW.US,60,20240426,190000,22.34,22.41,22.28,22.365,14485,0
PLOW.US,60,20240426,200000,22.35,22.35,22.3,22.35,5920,0
