<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PNC.US,60,20240411,160000,155.43,155.43,153.1,153.37,57614,0
PNC.US,60,20240411,170000,153.385,153.39,151.8101,152.5,81145,0
PNC.US,60,20240411,180000,152.445,153.87,152.35,153.84,72525,0
PNC.US,60,20240411,190000,153.83,154.29,153.53,153.88,69484,0
PNC.US,60,20240411,200000,153.8201,154.94,153.77,154.63,118426,0
PNC.US,60,20240411,210000,154.63,155.21,154.5508,154.7,81971,0
PNC.US,60,20240411,220000,154.69,155.0199,154.02,154.08,381341,0
PNC.US,60,20240412,160000,150.17,152,150.15,151.28,54378,0
PNC.US,60,20240412,170000,151.06,151.32,150.39,150.69,112279,0
PNC.US,60,20240412,180000,150.63,151.33,150.35,151.21,68287,0
PNC.US,60,20240412,190000,151.2,151.26,150.29,150.5,42937,0
PNC.US,60,20240412,200000,150.5,150.81,149.9845,150.57,48613,0
PNC.US,60,20240412,210000,150.58,150.78,150.13,150.29,53108,0
PNC.US,60,20240412,220000,150.17,150.7,149.69,150.63,531683,0
PNC.US,60,20240415,160000,152.36,154.4199,151.51,151.88,117787,0
PNC.US,60,20240415,170000,151.895,151.995,150.16,150.46,151056,0
PNC.US,60,20240415,180000,150.53,151.5953,150.41,151.46,100162,0
PNC.US,60,20240415,190000,151.49,151.82,150.8,151.03,113804,0
PNC.US,60,20240415,200000,150.925,150.96,149.55,150.2275,114261,0
PNC.US,60,20240415,210000,150.18,150.25,149.31,149.785,125924,0
PNC.US,60,20240415,220000,149.81,150.39,149.38,149.56,687338,0
PNC.US,60,20240416,160000,146.83,148,143.525,143.955,325212,0
PNC.US,60,20240416,170000,144.16,148,143.5184,147.1375,534446,0
PNC.US,60,20240416,180000,147.24,148,146.07,146.74,252560,0
PNC.US,60,20240416,190000,146.68,147.105,146.3,146.54,112353,0
PNC.US,60,20240416,200000,146.545,147.96,146.49,147.01,154984,0
PNC.US,60,20240416,210000,147.01,147.56,145.925,147.49,157855,0
PNC.US,60,20240416,220000,147.48,147.65,146.36,146.54,556280,0
PNC.US,60,20240417,160000,149.06,149.46,148.175,148.81,100738,0
PNC.US,60,20240417,170000,148.78,148.81,146.26,146.26,108361,0
PNC.US,60,20240417,180000,146.315,146.6,145.78,146.32,103135,0
PNC.US,60,20240417,190000,146.26,147.06,145.81,146.84,103003,0
PNC.US,60,20240417,200000,146.84,147.49,146.715,147.32,75105,0
PNC.US,60,20240417,210000,147.34,148.135,147.11,147.2,79376,0
PNC.US,60,20240417,220000,147.15,147.52,146.17,147.25,594109,0
PNC.US,60,20240418,160000,147.36,148.33,146.92,147.39,41577,0
PNC.US,60,20240418,170000,147.48,148.55,147.05,148.325,68375,0
PNC.US,60,20240418,180000,148.4,149.12,148.16,148.39,55983,0
PNC.US,60,20240418,190000,148.525,148.645,147.54,147.54,79071,0
PNC.US,60,20240418,200000,147.56,147.7,146.89,147.315,39294,0
PNC.US,60,20240418,210000,147.28,147.62,147.045,147.52,81476,0
PNC.US,60,20240418,220000,147.52,148.19,147.48,148.01,543871,0
PNC.US,60,20240419,160000,148.99,150.96,148.66,150.47,197444,0
PNC.US,60,20240419,170000,150.61,152.1,150.43,151.535,323446,0
PNC.US,60,20240419,180000,151.535,152.35,151.17,152.02,165065,0
PNC.US,60,20240419,190000,152.025,152.42,151.51,152.42,92309,0
PNC.US,60,20240419,200000,152.43,152.7,151.63,151.65,112392,0
PNC.US,60,20240419,210000,151.6432,152.13,151.3079,151.9,132913,0
PNC.US,60,20240419,220000,151.88,152.35,151.095,152.3,330011,0
PNC.US,60,20240422,160000,152.76,153.32,152.24,153.245,84950,0
PNC.US,60,20240422,170000,153.32,154.255,153.29,153.5,178375,0
PNC.US,60,20240422,180000,153.49,154.23,153.43,154.18,117330,0
PNC.US,60,20240422,190000,154.2,155.75,154.06,155.61,271478,0
PNC.US,60,20240422,200000,155.54,156.07,155.29,155.59,131669,0
PNC.US,60,20240422,210000,155.63,156.01,155.3539,155.455,88227,0
PNC.US,60,20240422,220000,155.43,155.94,154.8879,155.93,639382,0
PNC.US,60,20240423,160000,156.5,157.21,155.861,156.9,67277,0
PNC.US,60,20240423,170000,156.78,157.17,156.265,156.97,143240,0
PNC.US,60,20240423,180000,157.005,157.5701,156.65,157.28,89554,0
PNC.US,60,20240423,190000,157.2723,157.51,156.68,157.0851,85500,0
PNC.US,60,20240423,200000,157.09,157.97,157.04,157.87,209105,0
PNC.US,60,20240423,210000,157.9,158.36,157.77,157.93,199733,0
PNC.US,60,20240423,220000,157.86,157.89,156.895,157.61,696948,0
PNC.US,60,20240424,160000,156.17,157.53,155.8,157.13,44443,0
PNC.US,60,20240424,170000,157.32,158.16,156.74,157.034,106644,0
PNC.US,60,20240424,180000,157.16,157.25,156.59,156.94,53766,0
PNC.US,60,20240424,190000,156.82,157.545,156.76,157.41,57847,0
PNC.US,60,20240424,200000,157.37,157.86,157.25,157.82,67886,0
PNC.US,60,20240424,210000,157.82,157.9599,157.17,157.455,67851,0
