<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRU.US,60,20240411,160000,112.37,112.44,111.07,111.57,45554,0
PRU.US,60,20240411,170000,111.55,111.56,110.65,111.17,68686,0
PRU.US,60,20240411,180000,111.16,111.71,111.02,111.68,49303,0
PRU.US,60,20240411,190000,111.68,111.98,111.56,111.72,97090,0
PRU.US,60,20240411,200000,111.71,112,111.25,111.64,67373,0
PRU.US,60,20240411,210000,111.63,112.19,111.19,111.21,81692,0
PRU.US,60,20240411,220000,111.22,111.69,111.18,111.33,603495,0
PRU.US,60,20240412,160000,110.6,111.49,110.39,110.88,39488,0
PRU.US,60,20240412,170000,110.92,110.94,110.18,110.18,72365,0
PRU.US,60,20240412,180000,110.16,110.445,109.94,110.25,76079,0
PRU.US,60,20240412,190000,110.21,110.28,109.59,109.82,53630,0
PRU.US,60,20240412,200000,109.78,109.94,109.42,109.82,58150,0
PRU.US,60,20240412,210000,109.79,110.045,109.61,109.72,94423,0
PRU.US,60,20240412,220000,109.68,109.82,109.26,109.69,587799,0
PRU.US,60,20240415,160000,111.47,111.67,111.1,111.28,45994,0
PRU.US,60,20240415,170000,111.16,111.22,110.25,110.27,39482,0
PRU.US,60,20240415,180000,110.19,110.22,109.86,110.005,57216,0
PRU.US,60,20240415,190000,110.01,110.13,109.3,109.47,80796,0
PRU.US,60,20240415,200000,109.44,109.5626,108.59,108.96,81322,0
PRU.US,60,20240415,210000,108.905,108.95,108.375,108.67,96080,0
PRU.US,60,20240415,220000,108.66,108.76,108.12,108.36,514844,0
PRU.US,60,20240416,160000,108.23,108.5,107.285,107.55,33027,0
PRU.US,60,20240416,170000,107.47,107.97,107.3,107.45,50354,0
PRU.US,60,20240416,180000,107.44,108,107.27,107.79,52196,0
PRU.US,60,20240416,190000,107.73,108.035,107.545,107.93,30629,0
PRU.US,60,20240416,200000,107.9,108.055,107.37,107.7887,41011,0
PRU.US,60,20240416,210000,107.68,108.14,107.33,107.945,47694,0
PRU.US,60,20240416,220000,107.995,108.12,107.38,107.59,444876,0
PRU.US,60,20240417,160000,108.18,108.465,107.9,108.37,26327,0
PRU.US,60,20240417,170000,108.35,108.35,107.525,107.73,58276,0
PRU.US,60,20240417,180000,107.715,107.8426,107.18,107.27,37204,0
PRU.US,60,20240417,190000,107.27,107.27,106.7901,107.01,49799,0
PRU.US,60,20240417,200000,107.04,107.71,107.04,107.62,30616,0
PRU.US,60,20240417,210000,107.66,108.09,107.433,107.575,53774,0
PRU.US,60,20240417,220000,107.54,107.61,107.255,107.35,528000,0
PRU.US,60,20240418,160000,108.19,108.9,107.66,108.48,42044,0
PRU.US,60,20240418,170000,108.475,108.85,108.24,108.685,63602,0
PRU.US,60,20240418,180000,108.72,108.9,108.52,108.69,53536,0
PRU.US,60,20240418,190000,108.71,108.775,108.24,108.285,29531,0
