<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSA.US,60,20240411,160000,276.87,277.555,273.755,274.31,19605,0
PSA.US,60,20240411,170000,274.47,274.475,271.9,271.9,29291,0
PSA.US,60,20240411,180000,271.97,274.27,271.83,274.2,33632,0
PSA.US,60,20240411,190000,274.22,274.56,273.93,274.345,13322,0
PSA.US,60,20240411,200000,274.24,276.58,274.24,276.35,26413,0
PSA.US,60,20240411,210000,276.45,277.04,275.985,276.05,18156,0
PSA.US,60,20240411,220000,276.075,276.5,275.16,275.18,154205,0
PSA.US,60,20240412,160000,274.32,274.54,273.4536,273.64,10474,0
PSA.US,60,20240412,170000,273.315,275.08,272.77,274.7,17100,0
PSA.US,60,20240412,180000,275.03,275.635,274.66,275.41,20484,0
PSA.US,60,20240412,190000,275.27,275.3574,272.95,273.505,15285,0
PSA.US,60,20240412,200000,273.62,273.62,272.0801,273.17,13447,0
PSA.US,60,20240412,210000,273.065,273.27,271.73,272.28,29773,0
PSA.US,60,20240412,220000,272.015,272.6199,271.6001,272.14,177136,0
PSA.US,60,20240415,160000,272.92,275.56,270.99,271.76,21311,0
PSA.US,60,20240415,170000,271.865,271.88,268.155,268.205,28617,0
PSA.US,60,20240415,180000,268.13,268.91,267.63,268.54,36378,0
PSA.US,60,20240415,190000,268.27,268.88,267.32,267.75,41772,0
PSA.US,60,20240415,200000,267.71,268.33,266.35,267.53,28653,0
PSA.US,60,20240415,210000,267.245,267.41,264.71,265.485,31385,0
PSA.US,60,20240415,220000,265.51,266.13,264.255,265.76,252907,0
PSA.US,60,20240416,160000,264.89,264.89,260.985,261.35,19174,0
PSA.US,60,20240416,170000,260.93,263.015,260.67,261.23,60336,0
PSA.US,60,20240416,180000,261.25,265.14,261.25,264.38,33525,0
PSA.US,60,20240416,190000,264.3,265.52,264.16,265.05,26994,0
PSA.US,60,20240416,200000,264.88,265.2041,262.91,263.43,43390,0
PSA.US,60,20240416,210000,263.99,265.065,262.5,264.03,33711,0
PSA.US,60,20240416,220000,264.055,264.055,262.02,262.22,223152,0
PSA.US,60,20240417,160000,263.02,265,262.01,264.095,17763,0
PSA.US,60,20240417,170000,264.055,264.115,262.8,263,19135,0
PSA.US,60,20240417,180000,263.23,263.66,262.45,263.26,23865,0
PSA.US,60,20240417,190000,263.34,263.49,262.7751,263.07,13270,0
PSA.US,60,20240417,200000,263.38,265,263.38,265,14616,0
PSA.US,60,20240417,210000,265,265.47,262.915,262.9545,12175,0
PSA.US,60,20240417,220000,262.83,263.12,261.58,261.81,115967,0
PSA.US,60,20240418,160000,262.43,262.945,260.74,262.03,9241,0
PSA.US,60,20240418,170000,261.52,261.91,260.07,261.46,31167,0
PSA.US,60,20240418,180000,261.36,261.62,260.23,260.52,19528,0
PSA.US,60,20240418,190000,260.56,260.765,259.05,259.05,40580,0
PSA.US,60,20240418,200000,259.2,260.19,258.9,259.82,36158,0
PSA.US,60,20240418,210000,259.72,260.06,259.03,259.92,30932,0
PSA.US,60,20240418,220000,259.85,261.03,259.82,260.28,247253,0
PSA.US,60,20240419,160000,261.17,261.17,259.09,260.86,57451,0
PSA.US,60,20240419,170000,260.86,261.35,259.61,260.79,28675,0
PSA.US,60,20240419,180000,260.7,261.465,260.54,260.99,14777,0
PSA.US,60,20240419,190000,260.895,261.33,259.95,260.76,30093,0
PSA.US,60,20240419,200000,260.73,261.39,260.125,261.21,20442,0
PSA.US,60,20240419,210000,260.91,260.91,259.3,259.53,27248,0
PSA.US,60,20240419,220000,259.6,261.13,259.4,260.61,95523,0
PSA.US,60,20240422,160000,261.13,261.7001,259.655,260.65,20400,0
PSA.US,60,20240422,170000,260.82,261.16,259.365,259.55,41780,0
PSA.US,60,20240422,180000,259.47,260.39,258.61,258.625,46794,0
PSA.US,60,20240422,190000,258.625,259.4,258.3801,259.105,51757,0
PSA.US,60,20240422,200000,259.24,261.32,258.98,260.8375,34130,0
PSA.US,60,20240422,210000,260.775,261.045,259.68,260.91,54772,0
PSA.US,60,20240422,220000,260.665,261.625,259.61,261.44,214246,0
PSA.US,60,20240423,160000,261.81,262.95,261.365,262.195,12561,0
PSA.US,60,20240423,170000,262.13,263.98,261.11,262.335,40905,0
PSA.US,60,20240423,180000,262.4,262.86,261.86,262.235,9842,0
PSA.US,60,20240423,190000,262.16,263.52,261.82,263.215,15541,0
PSA.US,60,20240423,200000,262.97,263.1,261.75,262.455,30091,0
PSA.US,60,20240423,210000,262.415,262.99,261.82,262.635,29725,0
PSA.US,60,20240423,220000,262.68,263.13,262.01,262.22,157004,0
PSA.US,60,20240424,160000,260.3,260.515,257.05,259.24,22529,0
PSA.US,60,20240424,170000,259.23,260.77,258.54,259.75,55234,0
PSA.US,60,20240424,180000,259.86,262.3099,259.835,261.98,44564,0
PSA.US,60,20240424,190000,262.13,262.852,261.485,262.852,19584,0
PSA.US,60,20240424,200000,262.71,263.2599,262.25,263,20094,0
PSA.US,60,20240424,210000,262.94,263.0099,261.35,262.23,25297,0
PSA.US,60,20240424,220000,262.265,262.87,261.82,262.17,195547,0
PSA.US,60,20240425,160000,259.26,260.42,257.72,259.5,29982,0
PSA.US,60,20240425,170000,259.445,260.95,258.86,259.32,44712,0
PSA.US,60,20240425,180000,259.03,259.44,258.38,259.295,26252,0
PSA.US,60,20240425,190000,259.21,259.695,258.63,259.695,17390,0
PSA.US,60,20240425,200000,259.59,260.135,258.78,259.815,22568,0
PSA.US,60,20240425,210000,259.63,259.64,258.52,258.74,18311,0
PSA.US,60,20240425,220000,258.846,259.29,258.14,258.68,163200,0
PSA.US,60,20240426,160000,260.09,262.1,258.76,261.01,17990,0
PSA.US,60,20240426,170000,261,261.04,258.42,259.08,36175,0
PSA.US,60,20240426,180000,258.86,259.37,258.31,259.36,27618,0
PSA.US,60,20240426,190000,259.47,259.825,258.65,259.01,27444,0
PSA.US,60,20240426,200000,259.06,259.17,258.18,258.6806,20685,0
PSA.US,60,20240426,210000,258.445,258.86,257.98,258.75,34348,0
PSA.US,60,20240426,220000,258.54,258.6599,257.09,257.73,162387,0
PSA.US,60,20240429,160000,259.75,262.26,259.75,261.77,25390,0
PSA.US,60,20240429,170000,261.78,262.5013,259.49,262.15,69546,0
PSA.US,60,20240429,180000,262.19,263.24,262.05,262.55,28487,0
PSA.US,60,20240429,190000,262.545,263.87,262.545,263.69,37716,0
PSA.US,60,20240429,200000,263.595,263.76,262.24,262.7631,18120,0
PSA.US,60,20240429,210000,262.72,263.03,262.3,262.93,15791,0
PSA.US,60,20240429,220000,262.83,263.54,261.94,262.93,252616,0
PSA.US,60,20240430,160000,260.46,261.615,259.53,261.03,21522,0
PSA.US,60,20240430,170000,261.03,262.16,260.295,260.885,22149,0
PSA.US,60,20240430,180000,260.905,262,260.355,261.595,25936,0
PSA.US,60,20240430,190000,261.42,261.86,260.795,260.815,15455,0
PSA.US,60,20240430,200000,260.95,261.885,260.66,261.79,23278,0
PSA.US,60,20240430,210000,261.96,262.34,260.42,260.58,29010,0
PSA.US,60,20240430,220000,260.87,260.87,258.71,259.45,385285,0
PSA.US,60,20240501,160000,256.31,265.35,256.31,264.37,88167,0
PSA.US,60,20240501,170000,264.345,265.27,260.03,261.27,69345,0
PSA.US,60,20240501,180000,261.49,262.06,257.81,259.5537,42945,0
PSA.US,60,20240501,190000,259.57,261.1,259.5,259.56,21550,0
PSA.US,60,20240501,200000,259.56,259.61,257.055,258.42,38891,0
PSA.US,60,20240501,210000,258.77,265.66,258.37,264.72,64376,0
PSA.US,60,20240501,220000,264.87,266.78,259.89,260.15,325110,0
PSA.US,60,20240502,160000,262.43,262.56,259.61,262.46,28692,0
PSA.US,60,20240502,170000,262.462,264.11,261.94,263.75,94644,0
PSA.US,60,20240502,180000,263.86,264.09,262.88,263.11,40979,0
PSA.US,60,20240502,190000,263.03,264.14,262.835,263.565,47373,0
PSA.US,60,20240502,200000,263.5,265.47,263.41,263.905,44167,0
PSA.US,60,20240502,210000,263.59,265.29,263.14,264.615,36943,0
PSA.US,60,20240502,220000,264.51,264.77,263.51,263.93,296567,0
PSA.US,60,20240507,160000,271.9,272.86,270.46,272.86,13936,0
PSA.US,60,20240507,170000,272.8,273.72,272.515,273.545,26417,0
PSA.US,60,20240507,180000,273.51,273.97,273.2,273.87,17967,0
PSA.US,60,20240507,190000,273.84,273.98,272.67,273.29,23922,0
PSA.US,60,20240507,200000,273.345,273.39,272.404,272.494,23116,0
PSA.US,60,20240507,210000,272.649,273.145,272.19,273.06,13526,0
PSA.US,60,20240507,220000,273.168,273.66,272.95,273.2,146450,0
PSA.US,60,20240508,160000,271.64,271.64,269.43,270.24,20206,0
PSA.US,60,20240508,170000,270.07,270.95,269.46,270.86,15936,0
PSA.US,60,20240508,180000,270.8906,271.3,270.03,270.27,18407,0
PSA.US,60,20240508,190000,270.2667,270.46,268.63,268.63,10888,0
PSA.US,60,20240508,200000,268.695,269.11,268.46,269.105,16838,0
PSA.US,60,20240508,210000,269.1,269.23,268.66,268.79,11742,0
PSA.US,60,20240508,220000,268.66,269.22,268.11,269.02,163050,0
PSA.US,60,20240509,160000,270.34,272.57,269.92,271.98,11541,0
PSA.US,60,20240509,170000,272.09,273.51,271.85,273.14,16775,0
PSA.US,60,20240509,180000,273.15,273.47,272.39,272.8699,14289,0
PSA.US,60,20240509,190000,272.83,273.81,272.765,273.17,16444,0
PSA.US,60,20240509,200000,273.235,274.08,273.15,273.88,10971,0
PSA.US,60,20240509,210000,273.98,274.8,273.69,274.63,32378,0
PSA.US,60,20240509,220000,274.765,275.73,274.69,275.39,141041,0
PSA.US,60,20240510,160000,275.77,275.99,275.0937,275.585,11533,0
PSA.US,60,20240510,170000,275.46,276.775,275.09,275.63,18990,0
PSA.US,60,20240510,180000,275.69,275.7403,274.755,275.08,13693,0
PSA.US,60,20240510,190000,275.22,275.55,274.77,274.8859,7675,0
PSA.US,60,20240510,200000,274.8,274.925,274.13,274.925,5841,0
PSA.US,60,20240510,210000,274.91,275.84,274.555,275.3417,11221,0
PSA.US,60,20240510,220000,275.32,276.5,274.9,275.94,135876,0
PSA.US,60,20240513,160000,276.84,278.1,276.76,277.885,11211,0
PSA.US,60,20240513,170000,277.69,277.69,275.9501,277.0899,8903,0
PSA.US,60,20240513,180000,276.99,276.99,275.16,275.51,6352,0
PSA.US,60,20240513,190000,275.39,276.58,275.35,276.58,8643,0
PSA.US,60,20240513,200000,276.45,276.49,276.03,276.49,9109,0
PSA.US,60,20240513,210000,276.35,276.99,275.85,276.46,12506,0
PSA.US,60,20240513,220000,276.4,277.01,275.85,276.91,109726,0
PSA.US,60,20240514,160000,279.7,281.66,278.43,280.85,33737,0
PSA.US,60,20240514,170000,281.14,282.92,280.01,280.6,39541,0
PSA.US,60,20240514,180000,280.61,281.25,279.865,279.865,30803,0
PSA.US,60,20240514,190000,280.13,280.21,278.93,278.985,29378,0
PSA.US,60,20240514,200000,278.83,279.4,278.4,278.71,39339,0
PSA.US,60,20240514,210000,278.94,280.54,278.75,280.12,23458,0
PSA.US,60,20240514,220000,280.3,280.86,279.66,279.83,179574,0
PSA.US,60,20240515,160000,284.16,285.9,283.62,285.045,66899,0
PSA.US,60,20240515,170000,284.86,286.18,284.149,285.26,86983,0
PSA.US,60,20240515,180000,285.16,287.71,285,287.275,57086,0
PSA.US,60,20240515,190000,287.105,287.6,286.57,287.07,35031,0
PSA.US,60,20240515,200000,287.322,287.33,286,286.46,28650,0
PSA.US,60,20240515,210000,286.435,287.37,286.01,287.215,33942,0
PSA.US,60,20240515,220000,287.13,287.47,286.04,286.65,193273,0
PSA.US,60,20240516,160000,289.77,290,286.01,287.205,46821,0
PSA.US,60,20240516,170000,287.416,289.17,286.95,289.055,44701,0
PSA.US,60,20240516,180000,288.91,289.97,288.91,289.67,42526,0
PSA.US,60,20240516,190000,289.909,289.969,288.88,289.77,30582,0
PSA.US,60,20240516,200000,289.82,289.85,288,288.7299,35675,0
PSA.US,60,20240516,210000,288.7,288.98,288.3,288.442,35231,0
PSA.US,60,20240516,220000,288.447,288.7233,286.97,287.02,214055,0
PSA.US,60,20240517,160000,288.61,288.939,287,288.605,40543,0
PSA.US,60,20240517,170000,288.3521,290.84,288.3521,290.84,45661,0
PSA.US,60,20240517,180000,290.68,290.68,288.845,289.12,44596,0
PSA.US,60,20240517,190000,289.47,289.94,289.03,289.33,27206,0
PSA.US,60,20240517,200000,289.33,289.74,288.44,288.45,33295,0
PSA.US,60,20240517,210000,288.35,288.87,287.75,288.87,37710,0
PSA.US,60,20240517,220000,288.87,290.065,288.23,288.67,259486,0
PSA.US,60,20240520,160000,287.45,287.84,286.06,287.81,17260,0
PSA.US,60,20240520,170000,287.64,288.79,287.23,288.68,28519,0
PSA.US,60,20240520,180000,288.83,289.28,288.045,288.045,20381,0
PSA.US,60,20240520,190000,287.88,288.15,287.05,287.465,38270,0
PSA.US,60,20240520,200000,287.61,287.61,286.2209,286.245,25909,0
PSA.US,60,20240520,210000,286.16,286.53,285.53,285.53,19690,0
PSA.US,60,20240520,220000,285.55,286.45,285.47,285.9,162355,0
PSA.US,60,20240521,160000,285.55,285.92,284.58,284.925,26703,0
PSA.US,60,20240521,170000,284.995,285.61,284,284.13,24578,0
PSA.US,60,20240521,180000,284.235,285.05,283.795,283.795,17018,0
PSA.US,60,20240521,190000,283.92,284.265,283.75,283.98,8995,0
PSA.US,60,20240521,200000,283.89,284.22,283.19,283.2,13456,0
PSA.US,60,20240521,210000,283.26,283.28,281.4,281.45,12909,0
PSA.US,60,20240521,220000,281.54,283.19,281,283.03,145693,0
PSA.US,60,20240522,160000,281.74,284,281.2,283.99,15458,0
PSA.US,60,20240522,170000,283.98,285.72,282.76,285.185,25975,0
