<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSX.US,60,20240411,160000,165.54,165.95,164.79,164.985,59857,0
PSX.US,60,20240411,170000,165.045,165.05,163.16,163.64,110364,0
PSX.US,60,20240411,180000,163.61,164,163.28,163.95,116937,0
PSX.US,60,20240411,190000,163.95,164.165,163.42,163.955,106986,0
PSX.US,60,20240411,200000,163.99,164.6384,163.89,164.3675,84663,0
PSX.US,60,20240411,210000,164.31,165.29,164.29,165.25,92528,0
PSX.US,60,20240411,220000,165.25,165.45,164.591,165.41,897178,0
PSX.US,60,20240412,160000,166.35,166.47,164.84,165.35,101458,0
PSX.US,60,20240412,170000,165.235,165.49,164.55,164.761,134380,0
PSX.US,60,20240412,180000,164.77,165.01,163.65,164.265,102836,0
PSX.US,60,20240412,190000,164.235,164.51,163.55,163.875,100660,0
PSX.US,60,20240412,200000,163.83,163.97,163.05,163.55,126610,0
PSX.US,60,20240412,210000,163.6,164.29,162.295,162.37,284921,0
PSX.US,60,20240412,220000,162.31,162.61,161.88,162.49,540892,0
PSX.US,60,20240415,160000,163.8,165,163.485,163.925,98366,0
PSX.US,60,20240415,170000,163.92,163.925,162.02,162.02,135200,0
PSX.US,60,20240415,180000,162.01,162.51,161.2,162.48,93633,0
PSX.US,60,20240415,190000,162.5,162.52,160.875,161.31,62092,0
PSX.US,60,20240415,200000,161.29,161.3689,160.03,160.58,83965,0
PSX.US,60,20240415,210000,160.58,160.72,159.91,160.59,94336,0
PSX.US,60,20240415,220000,160.57,160.97,160,160.82,489443,0
PSX.US,60,20240416,160000,160.81,161.13,159.3032,159.9,63950,0
PSX.US,60,20240416,170000,159.815,159.815,158.28,159.295,95890,0
PSX.US,60,20240416,180000,159.3,159.58,158.85,159.09,87633,0
PSX.US,60,20240416,190000,159.06,159.11,158.36,158.4101,84104,0
PSX.US,60,20240416,200000,158.45,158.51,157.6,158.08,99595,0
PSX.US,60,20240416,210000,158.03,158.925,157.61,158.84,110903,0
PSX.US,60,20240416,220000,158.855,158.9,157.73,157.88,731346,0
PSX.US,60,20240417,160000,158.64,159.065,157.5,158.97,75325,0
PSX.US,60,20240417,170000,159.09,159.86,158.58,158.83,167664,0
PSX.US,60,20240417,180000,158.75,159.23,157.78,157.865,121504,0
PSX.US,60,20240417,190000,157.83,157.83,156.28,156.65,133203,0
PSX.US,60,20240417,200000,156.64,157.28,156.53,157.21,94817,0
PSX.US,60,20240417,210000,157.27,158.455,157.13,157.36,92512,0
PSX.US,60,20240417,220000,157.39,157.98,157.0602,157.25,672803,0
PSX.US,60,20240418,160000,157.38,157.91,154.653,155.75,153540,0
PSX.US,60,20240418,170000,155.61,155.845,154.66,154.8,145003,0
PSX.US,60,20240418,180000,154.8,155.27,154.19,154.475,157745,0
PSX.US,60,20240418,190000,154.51,155.19,153.925,153.96,131508,0
PSX.US,60,20240418,200000,154,154.18,152.76,153.19,187783,0
PSX.US,60,20240418,210000,153.22,153.48,152.72,152.765,194695,0
PSX.US,60,20240418,220000,152.79,153.87,152.77,153.31,590079,0
PSX.US,60,20240419,160000,153.66,155.95,153.48,155.81,165118,0
PSX.US,60,20240419,170000,155.775,157.21,155.65,156.17,153949,0
PSX.US,60,20240419,180000,156.16,156.36,155.02,155.305,106263,0
PSX.US,60,20240419,190000,155.36,155.92,154.52,155.82,130265,0
PSX.US,60,20240419,200000,155.86,156.06,155.36,155.88,95162,0
PSX.US,60,20240419,210000,155.84,155.86,155.01,155.34,133765,0
PSX.US,60,20240419,220000,155.34,155.415,154.62,154.78,426166,0
PSX.US,60,20240422,160000,154.3859,155.81,153.09,155.73,73182,0
PSX.US,60,20240422,170000,155.82,157.41,155.61,157.12,137917,0
PSX.US,60,20240422,180000,157.1,157.25,156.59,157.25,90588,0
PSX.US,60,20240422,190000,157.25,157.45,156.95,157.42,60961,0
PSX.US,60,20240422,200000,157.43,158.14,157.17,158.12,73058,0
PSX.US,60,20240422,210000,158.14,158.33,157.88,158.1101,78925,0
PSX.US,60,20240422,220000,158.115,158.1399,156.73,157.05,478861,0
PSX.US,60,20240423,160000,156.21,156.81,154.88,156.63,89415,0
PSX.US,60,20240423,170000,156.73,157.51,156.31,157.495,115165,0
PSX.US,60,20240423,180000,157.445,157.75,157.1,157.59,103904,0
PSX.US,60,20240423,190000,157.68,158.76,157.62,158.5,138502,0
PSX.US,60,20240423,200000,158.52,159.245,158.44,159.15,117262,0
PSX.US,60,20240423,210000,159.11,159.11,158.62,158.77,87928,0
PSX.US,60,20240423,220000,158.775,158.93,158.35,158.84,513857,0
PSX.US,60,20240424,160000,157.96,158.135,156.78,157.945,85892,0
PSX.US,60,20240424,170000,157.84,158.175,156.57,157.15,116204,0
PSX.US,60,20240424,180000,157.17,157.1899,156.29,156.7975,114460,0
PSX.US,60,20240424,190000,156.9,157.06,156.56,157.02,69583,0
PSX.US,60,20240424,200000,156.99,157.97,156.985,157.93,100604,0
PSX.US,60,20240424,210000,157.93,157.97,157.22,157.41,108211,0
PSX.US,60,20240424,220000,157.44,158.375,157.39,157.79,633250,0
PSX.US,60,20240425,160000,157.56,157.7,155.62,156.53,80994,0
PSX.US,60,20240425,170000,156.53,157.46,155.835,157.135,154775,0
PSX.US,60,20240425,180000,157.13,157.6,156.41,157.02,164855,0
PSX.US,60,20240425,190000,156.99,157.87,156.85,157.315,123269,0
PSX.US,60,20240425,200000,157.31,157.8,156.9701,157.8,133616,0
PSX.US,60,20240425,210000,157.79,157.8,157.23,157.33,153010,0
PSX.US,60,20240425,220000,157.33,158.11,157.01,157.24,990950,0
PSX.US,60,20240426,160000,152.5,155.835,149.55,150.455,558689,0
PSX.US,60,20240426,170000,150.54,151.96,150,151.02,358150,0
PSX.US,60,20240426,180000,151.083,151.81,150.5,151.47,217061,0
PSX.US,60,20240426,190000,151.48,152.23,150.96,151.9,233073,0
PSX.US,60,20240426,200000,151.85,152.15,151.33,151.39,226095,0
PSX.US,60,20240426,210000,151.39,151.77,150.79,151.725,273954,0
PSX.US,60,20240426,220000,151.72,152.1,150.96,151.41,996433,0
PSX.US,60,20240429,160000,150.7,152.185,150.34,150.6289,204943,0
PSX.US,60,20240429,170000,150.645,151.455,150.21,150.46,177235,0
PSX.US,60,20240429,180000,150.45,151.25,150.06,151.13,158718,0
PSX.US,60,20240429,190000,151.08,151.43,150.75,151.05,107838,0
PSX.US,60,20240429,200000,151.05,151.57,150.78,150.83,116013,0
PSX.US,60,20240429,210000,150.79,150.945,150.2501,150.75,169617,0
PSX.US,60,20240429,220000,150.71,151.66,150.27,151.54,950076,0
PSX.US,60,20240430,160000,150.91,150.91,147.71,147.71,224492,0
PSX.US,60,20240430,170000,147.84,147.99,146.1826,146.53,311351,0
PSX.US,60,20240430,180000,146.53,146.9898,145.66,145.66,202018,0
PSX.US,60,20240430,190000,145.61,145.875,144.64,144.74,192956,0
PSX.US,60,20240430,200000,144.66,144.75,144.16,144.63,190047,0
PSX.US,60,20240430,210000,144.635,145,144.1975,144.32,149204,0
PSX.US,60,20240430,220000,144.32,144.63,143.02,143.21,1254071,0
PSX.US,60,20240501,160000,143.04,144.31,142.14,142.43,130911,0
PSX.US,60,20240501,170000,142.34,143,140.52,140.75,178818,0
PSX.US,60,20240501,180000,140.755,140.755,139.52,139.52,186586,0
PSX.US,60,20240501,190000,139.57,140.1,139.19,139.29,193193,0
PSX.US,60,20240501,200000,139.24,139.57,138.76,138.79,114368,0
PSX.US,60,20240501,210000,138.85,141.345,138.635,141.13,147859,0
PSX.US,60,20240501,220000,141.19,141.5,140.09,140.21,674254,0
PSX.US,60,20240502,160000,141.55,143.01,141.4,141.99,129571,0
PSX.US,60,20240502,170000,142.18,143.85,141.78,143.76,165533,0
PSX.US,60,20240502,180000,143.79,143.83,143.17,143.28,140336,0
PSX.US,60,20240502,190000,143.26,143.78,143.1,143.78,138814,0
PSX.US,60,20240502,200000,143.83,144.45,143.71,143.93,102070,0
PSX.US,60,20240502,210000,143.95,144.6312,143.95,144.56,122795,0
