<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QSR.US,60,20240411,160000,73.22,73.24,71.89,71.975,98720,0
QSR.US,60,20240411,170000,72.02,72.03,71.49,71.78,184572,0
QSR.US,60,20240411,180000,71.79,72.24,71.77,72.23,92621,0
QSR.US,60,20240411,190000,72.19,72.55,72.19,72.42,139355,0
QSR.US,60,20240411,200000,72.42,72.911,72.41,72.84,95960,0
QSR.US,60,20240411,210000,72.83,72.9,72.705,72.71,60129,0
QSR.US,60,20240411,220000,72.7,72.715,72.17,72.21,381066,0
QSR.US,60,20240412,160000,71.55,71.595,71.205,71.225,116916,0
QSR.US,60,20240412,170000,71.2,71.25,70.81,71.15,70153,0
QSR.US,60,20240412,180000,71.145,71.51,71.11,71.325,44267,0
QSR.US,60,20240412,190000,71.32,71.41,71.21,71.26,65723,0
QSR.US,60,20240412,200000,71.265,71.49,71.06,71.49,91503,0
QSR.US,60,20240412,210000,71.48,71.48,70.98,71.1,111400,0
QSR.US,60,20240412,220000,71.1,71.29,71.03,71.27,308080,0
QSR.US,60,20240415,160000,71.51,71.8,71.5,71.58,40812,0
QSR.US,60,20240415,170000,71.6,71.6,71.1,71.26,95790,0
QSR.US,60,20240415,180000,71.255,71.52,71.17,71.26,68392,0
QSR.US,60,20240415,190000,71.25,71.285,70.83,70.89,89765,0
QSR.US,60,20240415,200000,70.87,70.87,70.24,70.47,194868,0
QSR.US,60,20240415,210000,70.475,70.52,70.21,70.38,108947,0
QSR.US,60,20240415,220000,70.38,70.58,70.26,70.53,456375,0
QSR.US,60,20240416,160000,70.06,70.34,69.61,69.62,59335,0
QSR.US,60,20240416,170000,69.62,70.35,69.42,70.145,278819,0
QSR.US,60,20240416,180000,70.145,70.72,70.14,70.54,81138,0
QSR.US,60,20240416,190000,70.56,70.945,70.54,70.9,73399,0
QSR.US,60,20240416,200000,70.895,70.9,70.4,70.74,101514,0
QSR.US,60,20240416,210000,70.74,71.08,70.42,70.845,116764,0
QSR.US,60,20240416,220000,70.84,70.98,70.63,70.82,550634,0
QSR.US,60,20240417,160000,71.23,71.4,70.96,71.235,41363,0
QSR.US,60,20240417,170000,71.2,71.33,70.93,71.075,189483,0
QSR.US,60,20240417,180000,71.075,71.09,70.69,70.91,115649,0
QSR.US,60,20240417,190000,70.9,70.9,70.72,70.84,79646,0
QSR.US,60,20240417,200000,70.83,71.045,70.81,70.98,101472,0
QSR.US,60,20240417,210000,70.98,71.13,70.79,70.82,111373,0
QSR.US,60,20240417,220000,70.81,71.03,70.68,70.73,389718,0
QSR.US,60,20240418,160000,71,71.09,70.68,71.035,18049,0
QSR.US,60,20240418,170000,71.02,71.24,70.88,71.235,307067,0
QSR.US,60,20240418,180000,71.255,71.54,71.095,71.225,262845,0
QSR.US,60,20240418,190000,71.23,71.29,70.93,71.09,334859,0
QSR.US,60,20240418,200000,71.1,71.1,70.83,71.02,156396,0
QSR.US,60,20240418,210000,71,71.155,70.695,71.1,142227,0
QSR.US,60,20240418,220000,71.115,71.56,71.05,71.36,400923,0
QSR.US,60,20240419,160000,71.57,71.73,71.345,71.43,23576,0
QSR.US,60,20240419,170000,71.42,71.68,71.15,71.545,112452,0
QSR.US,60,20240419,180000,71.54,71.575,71.3,71.31,56767,0
QSR.US,60,20240419,190000,71.3101,71.49,71.18,71.45,140851,0
QSR.US,60,20240419,200000,71.43,71.55,71.35,71.52,30971,0
QSR.US,60,20240419,210000,71.51,71.515,71.2,71.29,72789,0
QSR.US,60,20240419,220000,71.28,71.44,71.14,71.43,214633,0
QSR.US,60,20240422,160000,71.77,72.06,71.475,71.98,36367,0
QSR.US,60,20240422,170000,71.985,72.52,71.96,72.37,148199,0
QSR.US,60,20240422,180000,72.375,72.49,72.2,72.47,106003,0
QSR.US,60,20240422,190000,72.48,73.03,72.48,73.025,104743,0
QSR.US,60,20240422,200000,73.025,73.53,72.87,73.53,148508,0
QSR.US,60,20240422,210000,73.54,73.87,73.43,73.67,226476,0
QSR.US,60,20240422,220000,73.67,73.72,73.25,73.3,487383,0
QSR.US,60,20240423,160000,73.62,73.88,73.45,73.88,22961,0
QSR.US,60,20240423,170000,73.87,73.965,73.59,73.82,61895,0
QSR.US,60,20240423,180000,73.83,74.26,73.65,74.19,82279,0
QSR.US,60,20240423,190000,74.2,74.3,74.01,74.23,89589,0
QSR.US,60,20240423,200000,74.25,74.6,74.22,74.4,114290,0
QSR.US,60,20240423,210000,74.4,74.51,74.25,74.335,80001,0
QSR.US,60,20240423,220000,74.34,74.46,74.18,74.35,413408,0
QSR.US,60,20240424,160000,74.07,74.39,73.89,74.06,40188,0
QSR.US,60,20240424,170000,74.065,74.065,73.65,73.69,66006,0
QSR.US,60,20240424,180000,73.66,73.66,73.243,73.48,70696,0
QSR.US,60,20240424,190000,73.49,73.55,73.11,73.33,58541,0
