<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBA.US,60,20240411,160000,73.9,73.9,73.46,73.61,6351,0
RBA.US,60,20240411,170000,73.56,73.69,73.26,73.265,18007,0
RBA.US,60,20240411,180000,73.28,73.68,73.21,73.68,15780,0
RBA.US,60,20240411,190000,73.7,73.77,73.49,73.5,18239,0
RBA.US,60,20240411,200000,73.48,73.55,73.275,73.33,32104,0
RBA.US,60,20240411,210000,73.32,73.52,73.2,73.2,36343,0
RBA.US,60,20240411,220000,73.2,73.33,72.85,73.32,273457,0
RBA.US,60,20240412,160000,72.79,73.585,72.79,73.155,19518,0
RBA.US,60,20240412,170000,73.115,73.35,72.89,73.13,34883,0
RBA.US,60,20240412,180000,73.07,73.18,72.93,72.97,20714,0
RBA.US,60,20240412,190000,72.96,73.085,72.89,72.99,38281,0
RBA.US,60,20240412,200000,73,73.07,72.63,73.03,56078,0
RBA.US,60,20240412,210000,72.97,73,72.68,72.74,33175,0
RBA.US,60,20240412,220000,72.71,73.16,72.7,73.06,203037,0
RBA.US,60,20240415,160000,73.87,73.87,73.49,73.49,10807,0
RBA.US,60,20240415,170000,73.48,73.52,72.8,72.84,56863,0
RBA.US,60,20240415,180000,72.83,73.06,72.78,72.98,32003,0
RBA.US,60,20240415,190000,72.97,73.04,72.71,72.85,35139,0
RBA.US,60,20240415,200000,72.85,72.9453,72.45,72.75,60388,0
RBA.US,60,20240415,210000,72.765,73.01,72.73,72.91,57543,0
RBA.US,60,20240415,220000,72.905,73.11,72.495,73.08,535508,0
RBA.US,60,20240416,160000,72.88,73.27,72.59,72.99,11593,0
RBA.US,60,20240416,170000,72.88,73.09,72.4501,73,32204,0
RBA.US,60,20240416,180000,73.02,73.315,72.92,73.17,117356,0
RBA.US,60,20240416,190000,73.2,73.53,73.2,73.44,66655,0
RBA.US,60,20240416,200000,73.44,73.47,73.13,73.36,29628,0
RBA.US,60,20240416,210000,73.34,73.59,73.05,73.39,27712,0
RBA.US,60,20240416,220000,73.39,73.45,73.07,73.33,145147,0
RBA.US,60,20240417,160000,73.75,73.75,73.395,73.64,37674,0
RBA.US,60,20240417,170000,73.645,73.645,73.25,73.33,19348,0
RBA.US,60,20240417,180000,73.32,73.515,73.18,73.24,31548,0
RBA.US,60,20240417,190000,73.27,73.4,72.865,72.88,36658,0
RBA.US,60,20240417,200000,72.9,73.2,72.81,73.175,22381,0
