<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCI.US,60,20240411,160000,39.37,39.44,39.3,39.44,17876,0
RCI.US,60,20240411,170000,39.45,39.45,38.99,39.01,27842,0
RCI.US,60,20240411,180000,38.97,39.09,38.82,39.05,38058,0
RCI.US,60,20240411,190000,39.09,39.205,39.02,39.09,50196,0
RCI.US,60,20240411,200000,39.11,39.22,39.05,39.2,25923,0
RCI.US,60,20240411,210000,39.2,39.41,39.2,39.32,39858,0
RCI.US,60,20240411,220000,39.31,39.315,39.14,39.17,129846,0
RCI.US,60,20240412,160000,38.93,38.97,38.57,38.75,23234,0
RCI.US,60,20240412,170000,38.65,38.72,38.43,38.57,22698,0
RCI.US,60,20240412,180000,38.56,38.67,38.47,38.53,23342,0
RCI.US,60,20240412,190000,38.51,38.53,38.34,38.38,18393,0
RCI.US,60,20240412,200000,38.36,38.36,38.07,38.15,42886,0
RCI.US,60,20240412,210000,38.14,38.23,37.86,37.86,96939,0
RCI.US,60,20240412,220000,37.85,38.07,37.77,38.06,162950,0
RCI.US,60,20240415,160000,38.24,38.64,38.24,38.39,20862,0
RCI.US,60,20240415,170000,38.37,38.37,38.15,38.18,35448,0
RCI.US,60,20240415,180000,38.17,38.32,38.12,38.25,64583,0
RCI.US,60,20240415,190000,38.26,38.35,38.08,38.16,55847,0
RCI.US,60,20240415,200000,38.16,38.19,37.89,37.92,45034,0
RCI.US,60,20240415,210000,37.9,37.91,37.64,37.64,72363,0
RCI.US,60,20240415,220000,37.63,37.92,37.57,37.91,275076,0
RCI.US,60,20240416,160000,37.76,37.8,37.32,37.43,20768,0
RCI.US,60,20240416,170000,37.42,37.61,37.28,37.41,43846,0
RCI.US,60,20240416,180000,37.39,37.7,37.39,37.54,40126,0
RCI.US,60,20240416,190000,37.5313,37.635,37.48,37.54,26787,0
RCI.US,60,20240416,200000,37.53,37.73,37.5,37.625,76425,0
RCI.US,60,20240416,210000,37.615,37.82,37.47,37.82,67192,0
RCI.US,60,20240416,220000,37.83,37.83,37.65,37.7,230689,0
RCI.US,60,20240417,160000,37.81,38.21,37.81,38.15,21877,0
RCI.US,60,20240417,170000,38.0499,38.07,37.94,37.95,21753,0
RCI.US,60,20240417,180000,37.95,38.01,37.63,37.69,41163,0
RCI.US,60,20240417,190000,37.68,37.69,37.54,37.61,46542,0
RCI.US,60,20240417,200000,37.61,37.88,37.61,37.87,48947,0
RCI.US,60,20240417,210000,37.87,37.93,37.72,37.8,65256,0
RCI.US,60,20240417,220000,37.79,38,37.73,37.89,172858,0
RCI.US,60,20240418,160000,37.99,38.04,37.77,37.83,29057,0
RCI.US,60,20240418,170000,37.81,38.16,37.75,38.15,28929,0
RCI.US,60,20240418,180000,38.14,38.48,38.14,38.23,82782,0
