<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RF.US,60,20240411,160000,19.72,19.76,19.51,19.535,397613,0
RF.US,60,20240411,170000,19.535,19.54,19.195,19.275,942796,0
RF.US,60,20240411,180000,19.27,19.39,19.235,19.37,884104,0
RF.US,60,20240411,190000,19.375,19.41,19.32,19.37,607323,0
RF.US,60,20240411,200000,19.375,19.52,19.365,19.455,606064,0
RF.US,60,20240411,210000,19.45,19.53,19.42,19.4361,653488,0
RF.US,60,20240411,220000,19.44,19.495,19.4,19.41,2775136,0
RF.US,60,20240412,160000,19.05,19.3,18.94,19.2,639056,0
RF.US,60,20240412,170000,19.21,19.22,19.03,19.07,758315,0
RF.US,60,20240412,180000,19.08,19.2,19.06,19.18,374109,0
RF.US,60,20240412,190000,19.18,19.2,19.13,19.19,334114,0
RF.US,60,20240412,200000,19.19,19.21,19.1,19.185,401887,0
RF.US,60,20240412,210000,19.18,19.2386,19.145,19.18,664467,0
RF.US,60,20240412,220000,19.175,19.22,19.1,19.19,2064891,0
RF.US,60,20240415,160000,19.38,19.65,19.27,19.47,610241,0
RF.US,60,20240415,170000,19.47,19.48,19.27,19.33,752371,0
RF.US,60,20240415,180000,19.33,19.45,19.29,19.45,592857,0
RF.US,60,20240415,190000,19.45,19.49,19.35,19.355,514577,0
RF.US,60,20240415,200000,19.355,19.355,19.16,19.255,486966,0
RF.US,60,20240415,210000,19.25,19.25,19.13,19.175,492609,0
RF.US,60,20240415,220000,19.175,19.25,19.09,19.22,2425021,0
RF.US,60,20240416,160000,19.01,19.08,18.785,18.79,327389,0
RF.US,60,20240416,170000,18.78,18.925,18.74,18.77,751294,0
RF.US,60,20240416,180000,18.775,18.87,18.74,18.84,763104,0
RF.US,60,20240416,190000,18.845,18.89,18.8,18.845,546092,0
RF.US,60,20240416,200000,18.85,18.895,18.72,18.79,737954,0
RF.US,60,20240416,210000,18.79,18.88,18.66,18.87,755125,0
RF.US,60,20240416,220000,18.87,18.88,18.75,18.81,2302383,0
RF.US,60,20240417,160000,18.98,19.04,18.91,19.015,316726,0
RF.US,60,20240417,170000,19.015,19.02,18.75,18.77,714381,0
RF.US,60,20240417,180000,18.775,18.855,18.69,18.73,1383975,0
RF.US,60,20240417,190000,18.735,18.81,18.685,18.79,825171,0
RF.US,60,20240417,200000,18.79,18.97,18.78,18.96,432448,0
RF.US,60,20240417,210000,18.955,18.985,18.845,18.905,925228,0
RF.US,60,20240417,220000,18.905,18.94,18.81,18.86,2549170,0
RF.US,60,20240418,160000,18.89,19.01,18.83,18.94,312527,0
RF.US,60,20240418,170000,18.94,19.155,18.86,19.15,1157185,0
RF.US,60,20240418,180000,19.15,19.185,19.06,19.085,844281,0
RF.US,60,20240418,190000,19.085,19.125,19.035,19.045,875623,0
RF.US,60,20240418,200000,19.045,19.06,18.96,19.025,503289,0
RF.US,60,20240418,210000,19.025,19.06,18.935,19.015,704824,0
RF.US,60,20240418,220000,19.02,19.16,18.99,19,3604727,0
RF.US,60,20240419,160000,18.95,18.96,18.425,18.545,2421351,0
RF.US,60,20240419,170000,18.55,18.67,18.4,18.4625,3148708,0
RF.US,60,20240419,180000,18.46,18.695,18.43,18.69,1734339,0
RF.US,60,20240419,190000,18.69,18.915,18.58,18.875,1407977,0
RF.US,60,20240419,200000,18.88,18.945,18.815,18.89,1322070,0
RF.US,60,20240419,210000,18.89,18.89,18.62,18.755,1387429,0
RF.US,60,20240419,220000,18.75,18.91,18.72,18.91,2699857,0
RF.US,60,20240422,160000,18.84,18.91,18.7,18.81,1029071,0
RF.US,60,20240422,170000,18.81,18.93,18.76,18.765,1245532,0
RF.US,60,20240422,180000,18.76,18.855,18.73,18.8,1062647,0
RF.US,60,20240422,190000,18.8,19.05,18.77,19.03,1088673,0
RF.US,60,20240422,200000,19.02,19.14,18.99,19.1,1205136,0
RF.US,60,20240422,210000,19.095,19.225,19.06,19.2,1132682,0
RF.US,60,20240422,220000,19.205,19.27,19.11,19.18,4329835,0
RF.US,60,20240423,160000,19.24,19.3,19.08,19.295,919361,0
RF.US,60,20240423,170000,19.295,19.36,19.13,19.35,1001094,0
RF.US,60,20240423,180000,19.35,19.47,19.29,19.46,1253829,0
RF.US,60,20240423,190000,19.465,19.48,19.41,19.45,734636,0
RF.US,60,20240423,200000,19.455,19.51,19.41,19.485,858988,0
RF.US,60,20240423,210000,19.485,19.49,19.35,19.405,1157769,0
RF.US,60,20240423,220000,19.4,19.44,19.32,19.34,3665803,0
RF.US,60,20240424,160000,19.14,19.595,19.13,19.54,470845,0
RF.US,60,20240424,170000,19.55,19.69,19.53,19.62,1197397,0
RF.US,60,20240424,180000,19.615,19.64,19.505,19.55,691054,0
RF.US,60,20240424,190000,19.55,19.61,19.54,19.6,465629,0
RF.US,60,20240424,200000,19.605,19.665,19.585,19.65,454984,0
RF.US,60,20240424,210000,19.655,19.655,19.525,19.63,744895,0
RF.US,60,20240424,220000,19.625,19.83,19.62,19.77,4906576,0
RF.US,60,20240425,160000,20,20.03,19.405,19.475,933345,0
RF.US,60,20240425,170000,19.48,19.565,19.35,19.51,569664,0
RF.US,60,20240425,180000,19.51,19.55,19.44,19.535,575040,0
RF.US,60,20240425,190000,19.535,19.55,19.48,19.52,330842,0
RF.US,60,20240425,200000,19.525,19.5899,19.48,19.565,558453,0
RF.US,60,20240425,210000,19.5648,19.64,19.475,19.635,526559,0
RF.US,60,20240425,220000,19.635,19.81,19.61,19.61,4124291,0
RF.US,60,20240426,160000,19.62,19.87,19.53,19.855,191808,0
RF.US,60,20240426,170000,19.85,19.92,19.74,19.755,493861,0
RF.US,60,20240426,180000,19.75,19.79,19.71,19.79,451524,0
RF.US,60,20240426,190000,19.79,19.82,19.765,19.795,279121,0
RF.US,60,20240426,200000,19.795,19.805,19.745,19.755,324002,0
RF.US,60,20240426,210000,19.76,19.82,19.735,19.795,558555,0
RF.US,60,20240426,220000,19.795,19.8,19.61,19.62,2331122,0
RF.US,60,20240429,160000,19.65,19.8,19.58,19.66,281578,0
RF.US,60,20240429,170000,19.67,19.77,19.66,19.72,300136,0
RF.US,60,20240429,180000,19.72,19.745,19.675,19.71,326912,0
RF.US,60,20240429,190000,19.71,19.76,19.6907,19.71,314274,0
RF.US,60,20240429,200000,19.71,19.745,19.68,19.74,290443,0
RF.US,60,20240429,210000,19.735,19.77,19.7,19.705,434805,0
RF.US,60,20240429,220000,19.7,19.7,19.565,19.67,1721707,0
RF.US,60,20240430,160000,19.51,19.665,19.41,19.585,371019,0
RF.US,60,20240430,170000,19.59,19.635,19.53,19.6,377727,0
RF.US,60,20240430,180000,19.6,19.615,19.48,19.48,483534,0
RF.US,60,20240430,190000,19.48,19.495,19.36,19.41,543522,0
RF.US,60,20240430,200000,19.41,19.46,19.4,19.455,336625,0
RF.US,60,20240430,210000,19.455,19.48,19.32,19.365,468567,0
RF.US,60,20240430,220000,19.365,19.385,19.25,19.27,2201297,0
RF.US,60,20240501,160000,19.36,19.55,19.34,19.505,448434,0
RF.US,60,20240501,170000,19.51,19.65,19.475,19.65,1046520,0
RF.US,60,20240501,180000,19.655,19.705,19.565,19.625,609800,0
RF.US,60,20240501,190000,19.625,19.66,19.605,19.615,446117,0
RF.US,60,20240501,200000,19.6136,19.7,19.57,19.575,422097,0
RF.US,60,20240501,210000,19.58,19.965,19.495,19.925,743024,0
RF.US,60,20240501,220000,19.93,19.98,19.56,19.57,2441395,0
RF.US,60,20240502,160000,19.79,19.81,19.505,19.635,246282,0
RF.US,60,20240502,170000,19.65,19.66,19.39,19.45,434145,0
RF.US,60,20240502,180000,19.45,19.6,19.45,19.495,361623,0
RF.US,60,20240502,190000,19.5,19.51,19.44,19.48,285081,0
RF.US,60,20240502,200000,19.48,19.56,19.47,19.524,405657,0
RF.US,60,20240502,210000,19.53,19.62,19.51,19.6025,297728,0
RF.US,60,20240502,220000,19.61,19.66,19.51,19.64,2104530,0
RF.US,60,20240507,160000,19.95,20,19.86,19.975,204395,0
RF.US,60,20240507,170000,19.975,19.985,19.84,19.94,610159,0
RF.US,60,20240507,180000,19.935,20,19.9,19.945,307509,0
RF.US,60,20240507,190000,19.94,19.9461,19.9,19.92,192772,0
RF.US,60,20240507,200000,19.915,19.93,19.83,19.84,231697,0
RF.US,60,20240507,210000,19.84,19.86,19.76,19.76,792874,0
RF.US,60,20240507,220000,19.76,19.79,19.62,19.65,4705709,0
RF.US,60,20240508,160000,19.52,19.63,19.43,19.6,731490,0
