<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RIO.US,60,20240411,160000,66.51,66.545,66.08,66.11,162174,0
RIO.US,60,20240411,170000,66.125,66.1321,65.4,65.59,323099,0
RIO.US,60,20240411,180000,65.61,65.99,65.57,65.975,221942,0
RIO.US,60,20240411,190000,65.98,66.08,65.86,66.01,130200,0
RIO.US,60,20240411,200000,66.02,66.23,65.98,66.135,137544,0
RIO.US,60,20240411,210000,66.1099,66.275,66.1099,66.16,183037,0
RIO.US,60,20240411,220000,66.16,66.37,66.105,66.27,513214,0
RIO.US,60,20240412,160000,67.5,68.05,67.34,67.63,495894,0
RIO.US,60,20240412,170000,67.64,67.65,66.97,67.06,587218,0
RIO.US,60,20240412,180000,67.05,67.115,66.8192,66.96,511557,0
RIO.US,60,20240412,190000,66.95,67.045,66.62,66.685,198279,0
RIO.US,60,20240412,200000,66.68,66.69,66.37,66.37,370708,0
RIO.US,60,20240412,210000,66.37,66.435,66.11,66.16,247556,0
RIO.US,60,20240412,220000,66.15,66.15,65.99,65.99,743927,0
RIO.US,60,20240415,160000,67.9,68.05,67.67,67.875,463576,0
RIO.US,60,20240415,170000,67.87,67.9,67.37,67.445,530341,0
RIO.US,60,20240415,180000,67.435,67.61,67.23,67.58,330411,0
RIO.US,60,20240415,190000,67.59,67.595,67.14,67.2594,202485,0
RIO.US,60,20240415,200000,67.255,67.29,66.8,67,174154,0
RIO.US,60,20240415,210000,66.995,67.01,66.63,66.72,221956,0
RIO.US,60,20240415,220000,66.715,66.8,66.535,66.77,742880,0
RIO.US,60,20240416,160000,65.37,65.47,64.85,65.1,359344,0
RIO.US,60,20240416,170000,65.09,65.4058,64.965,65.3,311993,0
RIO.US,60,20240416,180000,65.32,65.705,65.31,65.61,262974,0
RIO.US,60,20240416,190000,65.59,65.855,65.5201,65.825,130500,0
RIO.US,60,20240416,200000,65.825,65.835,65.37,65.57,250573,0
RIO.US,60,20240416,210000,65.56,65.86,65.43,65.805,271313,0
RIO.US,60,20240416,220000,65.795,65.85,65.58,65.69,644338,0
RIO.US,60,20240417,160000,67.55,68.01,67.29,67.62,704766,0
RIO.US,60,20240417,170000,67.63,67.63,67.175,67.27,633271,0
RIO.US,60,20240417,180000,67.27,67.355,67,67.125,531208,0
RIO.US,60,20240417,190000,67.11,67.11,66.5601,66.78,144351,0
RIO.US,60,20240417,200000,66.78,67.055,66.76,67.02,133364,0
RIO.US,60,20240417,210000,67.02,67.175,66.905,66.93,149965,0
RIO.US,60,20240417,220000,66.935,66.935,66.725,66.78,600023,0
RIO.US,60,20240418,160000,67.54,67.62,67.13,67.37,492912,0
RIO.US,60,20240418,170000,67.39,67.49,67.12,67.13,286204,0
RIO.US,60,20240418,180000,67.13,67.25,66.75,66.84,398653,0
RIO.US,60,20240418,190000,66.85,66.96,66.69,66.705,175496,0
RIO.US,60,20240418,200000,66.71,66.72,66.27,66.485,221190,0
RIO.US,60,20240418,210000,66.485,66.59,66.305,66.3997,196888,0
RIO.US,60,20240418,220000,66.4,66.75,66.4,66.68,580470,0
RIO.US,60,20240419,160000,66.54,66.91,66.44,66.67,228183,0
RIO.US,60,20240419,170000,66.665,67.22,66.66,67.135,438196,0
RIO.US,60,20240419,180000,67.135,67.165,66.91,67.04,306013,0
RIO.US,60,20240419,190000,67.04,67.055,66.69,66.86,260977,0
RIO.US,60,20240419,200000,66.89,66.97,66.785,66.92,146936,0
RIO.US,60,20240419,210000,66.915,66.915,66.76,66.895,206880,0
