<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RKT.US,60,20240411,160000,12.35,12.4573,12.19,12.34,205722,0
RKT.US,60,20240411,170000,12.335,12.345,12.17,12.23,147750,0
RKT.US,60,20240411,180000,12.23,12.47,12.215,12.465,201626,0
RKT.US,60,20240411,190000,12.47,12.53,12.39,12.505,137415,0
RKT.US,60,20240411,200000,12.5,12.71,12.495,12.68,158924,0
RKT.US,60,20240411,210000,12.679,12.73,12.48,12.485,246897,0
RKT.US,60,20240411,220000,12.49,12.51,12.38,12.39,783969,0
RKT.US,60,20240412,160000,12.26,12.32,12.15,12.27,99191,0
RKT.US,60,20240412,170000,12.28,12.28,12.18,12.255,110063,0
RKT.US,60,20240412,180000,12.255,12.29,12.125,12.26,186676,0
RKT.US,60,20240412,190000,12.255,12.26,12.14,12.2,129117,0
RKT.US,60,20240412,200000,12.2,12.21,12.125,12.2,125103,0
RKT.US,60,20240412,210000,12.2,12.215,12.065,12.095,136972,0
RKT.US,60,20240412,220000,12.09,12.25,12.07,12.25,677001,0
RKT.US,60,20240415,160000,12.31,12.332,12.035,12.075,198904,0
RKT.US,60,20240415,170000,12.08,12.08,11.7214,11.8,440281,0
RKT.US,60,20240415,180000,11.8,11.9,11.75,11.885,194674,0
RKT.US,60,20240415,190000,11.885,11.92,11.775,11.805,115293,0
RKT.US,60,20240415,200000,11.805,11.83,11.685,11.78,200606,0
RKT.US,60,20240415,210000,11.78,11.8,11.69,11.7,152791,0
RKT.US,60,20240415,220000,11.7,11.75,11.625,11.67,994643,0
RKT.US,60,20240416,160000,11.55,11.65,11.435,11.56,81699,0
RKT.US,60,20240416,170000,11.55,11.55,11.32,11.365,361335,0
RKT.US,60,20240416,180000,11.365,11.5175,11.365,11.49,217004,0
RKT.US,60,20240416,190000,11.485,11.56,11.455,11.5202,86622,0
RKT.US,60,20240416,200000,11.525,11.535,11.39,11.48,126340,0
RKT.US,60,20240416,210000,11.48,11.57,11.4145,11.55,104979,0
RKT.US,60,20240416,220000,11.545,11.565,11.43,11.44,711532,0
RKT.US,60,20240417,160000,11.52,11.59,11.5,11.55,93282,0
RKT.US,60,20240417,170000,11.55,11.55,11.38,11.42,130544,0
RKT.US,60,20240417,180000,11.42,11.47,11.37,11.44,100709,0
RKT.US,60,20240417,190000,11.42,11.465,11.37,11.39,110000,0
RKT.US,60,20240417,200000,11.4,11.57,11.39,11.54,109064,0
RKT.US,60,20240417,210000,11.535,11.59,11.46,11.48,136088,0
RKT.US,60,20240417,220000,11.47,11.47,11.38,11.38,494510,0
RKT.US,60,20240418,160000,11.48,11.63,11.43,11.629,75019,0
RKT.US,60,20240418,170000,11.63,11.82,11.545,11.8001,235572,0
RKT.US,60,20240418,180000,11.805,11.9,11.725,11.735,152255,0
RKT.US,60,20240418,190000,11.74,11.79,11.65,11.66,123499,0
RKT.US,60,20240418,200000,11.665,11.69,11.62,11.66,88672,0
RKT.US,60,20240418,210000,11.665,11.665,11.555,11.58,121208,0
RKT.US,60,20240418,220000,11.58,11.62,11.515,11.53,480281,0
RKT.US,60,20240419,160000,11.48,11.6699,11.4,11.6039,64657,0
RKT.US,60,20240419,170000,11.6,11.65,11.53,11.585,115924,0
RKT.US,60,20240419,180000,11.58,11.68,11.555,11.655,93942,0
RKT.US,60,20240419,190000,11.66,11.67,11.53,11.595,109121,0
RKT.US,60,20240419,200000,11.59,11.665,11.585,11.595,115646,0
RKT.US,60,20240419,210000,11.58,11.58,11.45,11.46,206321,0
RKT.US,60,20240419,220000,11.46,11.7,11.4425,11.69,470189,0
RKT.US,60,20240422,160000,11.78,11.83,11.57,11.66,84407,0
RKT.US,60,20240422,170000,11.67,11.735,11.61,11.625,154256,0
RKT.US,60,20240422,180000,11.62,11.74,11.6,11.71,89327,0
RKT.US,60,20240422,190000,11.725,11.8,11.71,11.79,58675,0
RKT.US,60,20240422,200000,11.795,11.895,11.775,11.885,126782,0
RKT.US,60,20240422,210000,11.884,11.96,11.85,11.925,191359,0
RKT.US,60,20240422,220000,11.92,11.98,11.86,11.97,580579,0
RKT.US,60,20240423,160000,11.89,12.31,11.89,12.26,112255,0
RKT.US,60,20240423,170000,12.265,12.355,12.25,12.34,158974,0
RKT.US,60,20240423,180000,12.35,12.46,12.27,12.38,113663,0
RKT.US,60,20240423,190000,12.38,12.48,12.33,12.47,75820,0
RKT.US,60,20240423,200000,12.475,12.715,12.47,12.7,351032,0
RKT.US,60,20240423,210000,12.695,12.73,12.645,12.685,239609,0
RKT.US,60,20240423,220000,12.685,12.695,12.6,12.63,596953,0
RKT.US,60,20240424,160000,12.59,12.735,12.56,12.655,68263,0
