<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RTX.US,60,20240411,160000,101.35,101.44,100.18,100.305,388894,0
RTX.US,60,20240411,170000,100.31,100.31,99.79,100.085,652443,0
RTX.US,60,20240411,180000,100.09,100.83,99.9975,100.8,435168,0
RTX.US,60,20240411,190000,100.79,100.87,100.65,100.76,288774,0
RTX.US,60,20240411,200000,100.7711,101.105,100.73,101.075,453404,0
RTX.US,60,20240411,210000,101.08,101.57,101.075,101.5,327874,0
RTX.US,60,20240411,220000,101.5,101.525,100.76,100.78,1521567,0
RTX.US,60,20240412,160000,101.715,102.35,101.36,101.6,521129,0
RTX.US,60,20240412,170000,101.59,101.6,101.02,101.25,489271,0
RTX.US,60,20240412,180000,101.25,101.4,100.78,100.83,409828,0
RTX.US,60,20240412,190000,100.83,100.835,99.975,99.975,421753,0
RTX.US,60,20240412,200000,99.975,100.255,99.785,99.79,600343,0
RTX.US,60,20240412,210000,99.7901,100.1,99.47,99.67,700986,0
RTX.US,60,20240412,220000,99.66,100.14,99.5,100.1,1892737,0
RTX.US,60,20240415,160000,101.56,101.82,100.96,101.59,509214,0
RTX.US,60,20240415,170000,101.59,101.67,100.69,101.03,652324,0
RTX.US,60,20240415,180000,101.04,101.61,101,101.56,492715,0
RTX.US,60,20240415,190000,101.56,101.665,101.01,101.225,387179,0
RTX.US,60,20240415,200000,101.225,101.225,100.74,100.95,644705,0
RTX.US,60,20240415,210000,100.95,101.0051,100.22,100.39,597026,0
RTX.US,60,20240415,220000,100.4,100.63,99.9,100.02,4580085,0
RTX.US,60,20240416,160000,100.25,101.01,100.23,100.93,441536,0
RTX.US,60,20240416,170000,100.92,101.1032,100.69,100.94,682756,0
RTX.US,60,20240416,180000,100.955,101.23,100.78,101.075,499554,0
RTX.US,60,20240416,190000,101.07,101.12,100.9,101.09,340233,0
RTX.US,60,20240416,200000,101.0831,101.21,100.58,100.85,462830,0
RTX.US,60,20240416,210000,100.82,101.16,100.69,101.15,560516,0
RTX.US,60,20240416,220000,101.15,101.32,100.65,100.84,2503149,0
RTX.US,60,20240417,160000,101.26,101.79,101.13,101.55,360165,0
RTX.US,60,20240417,170000,101.53,101.53,100.525,100.63,623675,0
RTX.US,60,20240417,180000,100.64,101,100.515,100.575,376677,0
RTX.US,60,20240417,190000,100.57,100.615,100.15,100.29,293913,0
RTX.US,60,20240417,200000,100.28,100.8253,100.26,100.7314,370936,0
RTX.US,60,20240417,210000,100.74,101.16,100.7119,100.815,306129,0
RTX.US,60,20240417,220000,100.81,100.8399,100.545,100.75,1539021,0
RTX.US,60,20240418,160000,100.52,101.395,100.51,101.38,276263,0
RTX.US,60,20240418,170000,101.38,101.67,101.09,101.6607,496831,0
RTX.US,60,20240418,180000,101.67,101.9,101.29,101.47,449718,0
RTX.US,60,20240418,190000,101.48,101.5,101.24,101.27,184352,0
RTX.US,60,20240418,200000,101.28,101.345,101,101.11,242534,0
RTX.US,60,20240418,210000,101.12,101.21,100.87,100.9,331650,0
RTX.US,60,20240418,220000,100.905,101.179,100.68,100.71,1162044,0
RTX.US,60,20240419,160000,101.53,101.94,101.03,101.8714,564066,0
RTX.US,60,20240419,170000,101.88,102.26,101.73,101.74,606026,0
RTX.US,60,20240419,180000,101.73,102.2,101.65,101.92,399610,0
RTX.US,60,20240419,190000,101.9114,102.11,101.68,102.08,378637,0
RTX.US,60,20240419,200000,102.08,102.16,101.85,102.065,315214,0
RTX.US,60,20240419,210000,102.06,102.09,101.88,102.05,370514,0
RTX.US,60,20240419,220000,102.05,102.1,101.47,101.56,980812,0
RTX.US,60,20240422,160000,102,102.25,101.5,102.24,485329,0
RTX.US,60,20240422,170000,102.24,102.24,101.5045,101.79,727876,0
RTX.US,60,20240422,180000,101.79,102.0554,101.68,102.0105,409061,0
RTX.US,60,20240422,190000,102.03,102.1,101.61,101.72,516598,0
RTX.US,60,20240422,200000,101.73,102.24,101.53,102.04,666654,0
RTX.US,60,20240422,210000,102.04,102.07,101.67,101.75,503333,0
RTX.US,60,20240422,220000,101.75,101.84,101.365,101.56,1923899,0
RTX.US,60,20240423,160000,101,103.89,99.88,103.69,1339741,0
RTX.US,60,20240423,170000,103.68,103.73,101.1,101.86,1150461,0
RTX.US,60,20240423,180000,101.89,102.155,101.36,101.945,643613,0
RTX.US,60,20240423,190000,101.945,102.02,101.36,101.94,411974,0
RTX.US,60,20240423,200000,101.94,101.99,101.31,101.46,484023,0
RTX.US,60,20240423,210000,101.46,101.61,101.24,101.42,504306,0
RTX.US,60,20240423,220000,101.42,101.66,101.16,101.33,1724261,0
RTX.US,60,20240424,160000,101.72,101.83,100.22,100.39,469534,0
RTX.US,60,20240424,170000,100.4,100.79,100.06,100.415,628932,0
RTX.US,60,20240424,180000,100.43,100.47,100.15,100.2,367900,0
RTX.US,60,20240424,190000,100.2,100.451,100.01,100.13,370834,0
RTX.US,60,20240424,200000,100.13,101.02,100.06,101.01,418816,0
RTX.US,60,20240424,210000,101.01,101.135,100.75,100.78,556931,0
RTX.US,60,20240424,220000,100.8,101.13,100.68,101.02,1449049,0
RTX.US,60,20240425,160000,100.9,101.4,100.59,101.115,373585,0
RTX.US,60,20240425,170000,101.11,101.51,100.8701,101.14,473732,0
RTX.US,60,20240425,180000,101.17,101.67,101.14,101.475,346632,0
RTX.US,60,20240425,190000,101.49,101.86,101.41,101.71,371344,0
RTX.US,60,20240425,200000,101.71,101.84,101.2801,101.68,358526,0
RTX.US,60,20240425,210000,101.695,101.72,101.42,101.51,251452,0
RTX.US,60,20240425,220000,101.5,101.88,101.46,101.71,1468152,0
RTX.US,60,20240426,160000,101.54,101.8,100.91,101.18,317675,0
RTX.US,60,20240426,170000,101.17,101.36,100.29,100.73,652317,0
RTX.US,60,20240426,180000,100.73,101.09,100.6,101,316195,0
RTX.US,60,20240426,190000,101,101.4,100.955,101.35,251711,0
RTX.US,60,20240426,200000,101.35,101.61,101.22,101.57,269551,0
RTX.US,60,20240426,210000,101.57,101.64,101.47,101.61,192485,0
RTX.US,60,20240426,220000,101.61,101.63,101.38,101.41,1411135,0
RTX.US,60,20240429,160000,101.85,102.195,101.65,101.81,264031,0
RTX.US,60,20240429,170000,101.825,102.34,101.82,102.32,456351,0
RTX.US,60,20240429,180000,102.32,102.51,102.25,102.35,284594,0
RTX.US,60,20240429,190000,102.355,102.44,102.24,102.375,247430,0
RTX.US,60,20240429,200000,102.375,102.61,102.365,102.38,329238,0
RTX.US,60,20240429,210000,102.38,102.44,102.15,102.195,258613,0
RTX.US,60,20240429,220000,102.19,102.57,102.09,102.44,1533277,0
RTX.US,60,20240430,160000,102.34,102.82,102.1,102.68,300313,0
RTX.US,60,20240430,170000,102.635,102.76,102.07,102.08,486124,0
RTX.US,60,20240430,180000,102.07,102.15,101.74,101.94,409990,0
RTX.US,60,20240430,190000,101.9428,102.01,101.6901,101.7899,277492,0
RTX.US,60,20240430,200000,101.79,102,101.72,101.93,235289,0
RTX.US,60,20240430,210000,101.94,102.01,101.79,101.88,312368,0
RTX.US,60,20240430,220000,101.88,101.97,101.47,101.52,1872000,0
RTX.US,60,20240501,160000,101.32,102.03,101.15,101.29,174079,0
RTX.US,60,20240501,170000,101.3,101.5621,101.15,101.53,244880,0
RTX.US,60,20240501,180000,101.55,101.75,101.47,101.735,234006,0
RTX.US,60,20240501,190000,101.74,101.91,101.66,101.77,157240,0
RTX.US,60,20240501,200000,101.775,101.9707,101.7,101.76,265481,0
RTX.US,60,20240501,210000,101.78,101.97,101.59,101.83,400988,0
RTX.US,60,20240501,220000,101.83,101.87,101.14,101.22,2876541,0
RTX.US,60,20240502,160000,101.2,101.68,101.02,101.36,236408,0
RTX.US,60,20240502,170000,101.355,101.78,101.21,101.34,520841,0
RTX.US,60,20240502,180000,101.34,101.665,101.31,101.59,268854,0
RTX.US,60,20240502,190000,101.59,101.67,101.4316,101.45,196963,0
RTX.US,60,20240502,200000,101.45,101.692,101.4301,101.545,198093,0
RTX.US,60,20240502,210000,101.55,101.91,101.515,101.89,291336,0
