<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RY.US,60,20240411,160000,100.88,100.95,100.37,100.37,55059,0
RY.US,60,20240411,170000,100.385,100.385,99.63,99.63,124466,0
RY.US,60,20240411,180000,99.6,100.29,99.56,100.29,59890,0
RY.US,60,20240411,190000,100.295,100.36,100.16,100.175,33418,0
RY.US,60,20240411,200000,100.16,100.62,100.1,100.5875,32629,0
RY.US,60,20240411,210000,100.6,100.85,100.59,100.69,37763,0
RY.US,60,20240411,220000,100.72,100.81,100.32,100.36,182399,0
RY.US,60,20240412,160000,99.46,99.88,99.29,99.4651,41593,0
RY.US,60,20240412,170000,99.47,99.5,98.71,98.87,53887,0
RY.US,60,20240412,180000,98.84,99.11,98.74,99.01,61715,0
RY.US,60,20240412,190000,99,99.01,98.5101,98.57,30033,0
RY.US,60,20240412,200000,98.55,98.65,98.135,98.5,76219,0
RY.US,60,20240412,210000,98.48,98.65,98.27,98.4,132036,0
RY.US,60,20240412,220000,98.4,98.74,98.24,98.53,239481,0
RY.US,60,20240415,160000,99.29,99.72,99.17,99.47,38264,0
RY.US,60,20240415,170000,99.43,99.43,98.735,98.75,30952,0
RY.US,60,20240415,180000,98.73,98.84,98.55,98.78,33225,0
RY.US,60,20240415,190000,98.8,98.93,98.45,98.62,35417,0
RY.US,60,20240415,200000,98.56,98.65,97.78,98,41738,0
RY.US,60,20240415,210000,97.945,97.945,97.5,97.61,45302,0
RY.US,60,20240415,220000,97.6,98.015,97.51,97.92,164062,0
RY.US,60,20240416,160000,97.33,97.42,96.55,96.75,51129,0
RY.US,60,20240416,170000,96.71,96.75,96.2,96.36,81575,0
RY.US,60,20240416,180000,96.35,97.04,96.29,96.8,58199,0
RY.US,60,20240416,190000,96.76,96.91,96.61,96.79,48345,0
RY.US,60,20240416,200000,96.74,96.86,96.24,96.59,93294,0
RY.US,60,20240416,210000,96.57,96.99,96.29,96.8,54819,0
RY.US,60,20240416,220000,96.8,96.81,96.35,96.4,239384,0
RY.US,60,20240417,160000,96.56,97.93,96.56,97.6,54770,0
RY.US,60,20240417,170000,97.59,97.59,96.69,96.83,41966,0
RY.US,60,20240417,180000,96.899,97.16,96.4,96.46,59844,0
RY.US,60,20240417,190000,96.42,96.48,96.13,96.27,82264,0
RY.US,60,20240417,200000,96.275,96.81,96.22,96.78,59892,0
RY.US,60,20240417,210000,96.77,97.1,96.64,96.6896,72078,0
RY.US,60,20240417,220000,96.63,97.05,96.46,96.78,168075,0
RY.US,60,20240418,160000,96.73,97.16,96.58,97.12,22717,0
RY.US,60,20240418,170000,97.13,97.475,96.85,97.34,38841,0
RY.US,60,20240418,180000,97.35,97.7,97.14,97.19,45952,0
RY.US,60,20240418,190000,97.23,97.37,96.8,96.8,40450,0
RY.US,60,20240418,200000,96.82,96.85,96.44,96.51,50062,0
RY.US,60,20240418,210000,96.55,96.64,96.43,96.56,43912,0
RY.US,60,20240418,220000,96.53,96.98,96.53,96.9,192998,0
RY.US,60,20240419,160000,97,97.79,96.73,97.79,21662,0
RY.US,60,20240419,170000,97.75,98.04,97.71,97.81,61039,0
RY.US,60,20240419,180000,97.81,98.05,97.74,97.84,56537,0
RY.US,60,20240419,190000,97.85,97.97,97.43,97.96,56003,0
RY.US,60,20240419,200000,97.93,98.12,97.82,97.97,87332,0
RY.US,60,20240419,210000,97.88,97.885,97.45,97.78,69613,0
RY.US,60,20240419,220000,97.75,97.94,97.61,97.85,225711,0
RY.US,60,20240422,160000,98.38,98.61,98.07,98.365,38824,0
RY.US,60,20240422,170000,98.35,98.58,98.32,98.35,23095,0
RY.US,60,20240422,180000,98.3421,98.3421,98.08,98.33,37251,0
RY.US,60,20240422,190000,98.35,98.82,98.35,98.82,48700,0
RY.US,60,20240422,200000,98.84,99.32,98.8,99.155,93675,0
RY.US,60,20240422,210000,99.16,99.29,99.01,99.15,76492,0
RY.US,60,20240422,220000,99.15,99.22,98.9,99.2,208009,0
RY.US,60,20240423,160000,99.49,99.952,99.255,99.81,49343,0
RY.US,60,20240423,170000,99.89,99.95,99.54,99.9,39674,0
RY.US,60,20240423,180000,99.84,99.92,99.7,99.84,39076,0
RY.US,60,20240423,190000,99.85,100.02,99.83,99.965,43009,0
RY.US,60,20240423,200000,99.95,100.21,99.93,100.191,55746,0
RY.US,60,20240423,210000,100.19,100.25,99.935,99.95,51574,0
RY.US,60,20240423,220000,99.96,99.99,99.79,99.895,412380,0
RY.US,60,20240424,160000,98.79,98.81,98.15,98.54,47302,0
RY.US,60,20240424,170000,98.55,98.565,97.52,97.56,71034,0
RY.US,60,20240424,180000,97.59,97.59,97.07,97.25,51239,0
RY.US,60,20240424,190000,97.21,97.33,96.82,97.06,40135,0
RY.US,60,20240424,200000,97.06,97.36,96.98,97.33,37138,0
RY.US,60,20240424,210000,97.32,97.33,97.11,97.16,44380,0
RY.US,60,20240424,220000,97.13,97.51,97.105,97.27,253355,0
RY.US,60,20240425,160000,96.44,96.53,95.838,96.05,56450,0
RY.US,60,20240425,170000,96.0378,96.7,95.94,96.66,33325,0
RY.US,60,20240425,180000,96.7,97.18,96.65,97.18,52962,0
RY.US,60,20240425,190000,97.15,97.48,97.13,97.39,32996,0
RY.US,60,20240425,200000,97.39,97.69,97.32,97.66,34203,0
RY.US,60,20240425,210000,97.68,97.68,97.47,97.61,23644,0
