<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAP.US,60,20240411,160000,183.98,184.08,183.17,183.29,41670,0
SAP.US,60,20240411,170000,183.305,183.415,181.99,182.57,91603,0
SAP.US,60,20240411,180000,182.6,184.28,182.6,184.28,123803,0
SAP.US,60,20240411,190000,184.23,184.6,184.01,184.32,59594,0
SAP.US,60,20240411,200000,184.275,185.145,184.12,185.12,39029,0
SAP.US,60,20240411,210000,185.16,185.6,185.13,185.31,55023,0
SAP.US,60,20240411,220000,185.32,185.97,185.32,185.67,242315,0
SAP.US,60,20240412,160000,181.6,182.75,181.57,182.54,129023,0
SAP.US,60,20240412,170000,182.74,182.74,180.89,181.02,141176,0
SAP.US,60,20240412,180000,180.97,182.3499,180.95,181.93,115644,0
SAP.US,60,20240412,190000,182.07,182.08,180.99,181.05,25301,0
SAP.US,60,20240412,200000,181.065,181.485,180.76,181.05,25771,0
SAP.US,60,20240412,210000,180.975,181.4171,180.75,180.7732,29930,0
SAP.US,60,20240412,220000,180.74,181.15,180.57,180.78,159482,0
SAP.US,60,20240415,160000,184.17,184.45,183.92,183.98,24394,0
SAP.US,60,20240415,170000,183.95,184.13,182.12,182.198,34059,0
SAP.US,60,20240415,180000,182.235,182.61,181.93,182.5,18124,0
SAP.US,60,20240415,190000,182.58,182.705,181.91,182.22,16115,0
SAP.US,60,20240415,200000,182.2,182.4,180.33,180.71,23641,0
SAP.US,60,20240415,210000,180.67,181.02,180.39,181.02,52898,0
SAP.US,60,20240415,220000,181.01,181.065,180.2,180.23,135979,0
SAP.US,60,20240416,160000,181.5,181.88,180.61,181.3,32018,0
SAP.US,60,20240416,170000,181.15,181.69,180.23,180.23,55134,0
SAP.US,60,20240416,180000,180.27,181.575,180.13,181.245,112686,0
SAP.US,60,20240416,190000,181.105,181.51,180.84,181.47,19255,0
SAP.US,60,20240416,200000,181.435,181.99,181.01,181.6909,55942,0
SAP.US,60,20240416,210000,181.65,182.34,181.245,182.0399,36403,0
SAP.US,60,20240416,220000,182.03,182.065,180.56,180.56,202964,0
SAP.US,60,20240417,160000,181.76,181.76,180.76,180.79,32029,0
SAP.US,60,20240417,170000,180.75,180.93,179.94,180.415,29300,0
SAP.US,60,20240417,180000,180.35,180.67,179.55,179.87,47977,0
SAP.US,60,20240417,190000,179.84,179.88,179.23,179.42,24528,0
SAP.US,60,20240417,200000,179.3,180.38,179.3,180.36,23399,0
SAP.US,60,20240417,210000,180.3625,180.74,179.91,180.05,22494,0
SAP.US,60,20240417,220000,179.87,180.08,179.515,179.94,114722,0
SAP.US,60,20240418,160000,179.91,179.97,178.4,179.5,27671,0
SAP.US,60,20240418,170000,179.4,180.48,179.04,180.18,49069,0
SAP.US,60,20240418,180000,180.18,180.83,179.805,179.98,111497,0
SAP.US,60,20240418,190000,180.21,180.29,178.75,178.79,24314,0
SAP.US,60,20240418,200000,178.8,178.91,178.08,178.46,29180,0
SAP.US,60,20240418,210000,178.4,178.75,178.165,178.37,32188,0
SAP.US,60,20240418,220000,178.43,178.99,178.4,178.64,125563,0
SAP.US,60,20240419,160000,178.21,178.63,177.7,177.83,37267,0
SAP.US,60,20240419,170000,177.77,178,176.43,177.36,64481,0
SAP.US,60,20240419,180000,177.26,177.62,176.32,176.43,97302,0
SAP.US,60,20240419,190000,176.49,176.63,175.2175,176.03,50020,0
SAP.US,60,20240419,200000,176.03,176.51,175.85,176.18,71792,0
SAP.US,60,20240419,210000,176.07,176.13,175.08,175.31,43813,0
SAP.US,60,20240419,220000,175.31,176.16,175.19,175.73,151641,0
SAP.US,60,20240422,160000,176.59,177.73,176.59,177.1,87958,0
SAP.US,60,20240422,170000,177.08,177.7,176.6,176.73,118416,0
SAP.US,60,20240422,180000,176.69,177.33,176.14,177.33,106045,0
SAP.US,60,20240422,190000,177.34,177.65,177.16,177.48,40577,0
SAP.US,60,20240422,200000,177.42,178.595,177.42,178.505,36085,0
SAP.US,60,20240422,210000,178.49,178.99,178.1492,178.615,59920,0
SAP.US,60,20240422,220000,178.57,178.74,177.7115,178.18,188436,0
SAP.US,60,20240423,160000,184.83,186.07,184.82,185.94,118823,0
SAP.US,60,20240423,170000,185.97,186.38,185.13,186.18,144943,0
SAP.US,60,20240423,180000,186.23,187.19,185.86,186.8,137946,0
SAP.US,60,20240423,190000,186.73,187.4,186.4165,186.59,69960,0
SAP.US,60,20240423,200000,186.54,187,186.45,186.78,49920,0
SAP.US,60,20240423,210000,186.78,187.15,186.66,187.15,63247,0
SAP.US,60,20240423,220000,187.14,188.25,187.06,188.07,499668,0
SAP.US,60,20240424,160000,188.53,189.27,188.4,188.73,63717,0
SAP.US,60,20240424,170000,188.72,188.94,188.05,188.28,102852,0
SAP.US,60,20240424,180000,188.27,188.3,186.77,186.81,120094,0
SAP.US,60,20240424,190000,186.785,187.34,186.61,187.267,33838,0
SAP.US,60,20240424,200000,187.36,188.31,187.2,188.21,29582,0
SAP.US,60,20240424,210000,188.21,188.31,187.385,187.6,43635,0
SAP.US,60,20240424,220000,187.6,188.24,187.53,188.07,216552,0
SAP.US,60,20240425,160000,181.37,181.53,180.16,181.21,99068,0
SAP.US,60,20240425,170000,181.29,182.91,180.81,182.79,130254,0
SAP.US,60,20240425,180000,182.78,183.24,182.31,182.88,175250,0
SAP.US,60,20240425,190000,182.905,183.875,182.82,183.82,46024,0
