<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNA.US,60,20240411,160000,292.77,293.34,291.06,291.78,5222,0
SNA.US,60,20240411,170000,291.78,292.08,290.31,290.9,22047,0
SNA.US,60,20240411,180000,290.9,291.13,290.09,291.13,13671,0
SNA.US,60,20240411,190000,290.61,291.31,290.51,290.81,12983,0
SNA.US,60,20240411,200000,290.95,291.83,290.91,291.725,4995,0
SNA.US,60,20240411,210000,291.91,291.92,290.66,291.76,26943,0
SNA.US,60,20240411,220000,291.69,292.11,291.07,291.54,77859,0
SNA.US,60,20240412,160000,290.59,292.62,290.15,290.56,5441,0
SNA.US,60,20240412,170000,290.365,290.6,289.555,289.655,30066,0
SNA.US,60,20240412,180000,289.6,290.45,289.465,290.45,12313,0
SNA.US,60,20240412,190000,289.95,290.05,289.1915,289.465,15881,0
SNA.US,60,20240412,200000,289.395,289.43,288.1225,289.21,21357,0
SNA.US,60,20240412,210000,289.04,289.93,288.845,289.77,22102,0
SNA.US,60,20240412,220000,289.7,290.43,289.015,289.58,105851,0
SNA.US,60,20240415,160000,292.47,294.14,290.67,292.6,6091,0
SNA.US,60,20240415,170000,292.88,292.88,290.98,291.205,8532,0
SNA.US,60,20240415,180000,291.21,291.21,290.15,290.37,8501,0
SNA.US,60,20240415,190000,290.43,290.7295,288.82,288.87,8314,0
SNA.US,60,20240415,200000,288.82,288.82,286.585,287.79,10757,0
SNA.US,60,20240415,210000,287.8653,288.03,285.95,286.285,12564,0
SNA.US,60,20240415,220000,286.29,286.41,284.72,285.83,100965,0
SNA.US,60,20240416,160000,284.45,284.72,283.1,283.59,10301,0
SNA.US,60,20240416,170000,283.22,283.22,279.865,280.58,14855,0
SNA.US,60,20240416,180000,280.68,284.15,280.52,283.645,14109,0
SNA.US,60,20240416,190000,282.95,283.67,282.39,282.77,25910,0
SNA.US,60,20240416,200000,282.815,282.93,281.49,282.08,10198,0
SNA.US,60,20240416,210000,281.82,283.01,281.25,283.01,15528,0
SNA.US,60,20240416,220000,283.02,283.455,281.65,282.45,93692,0
SNA.US,60,20240417,160000,284.53,286.76,283.385,285.87,17033,0
SNA.US,60,20240417,170000,286.25,286.25,283.195,284,31346,0
SNA.US,60,20240417,180000,284.18,285.07,282.5,282.57,12423,0
SNA.US,60,20240417,190000,282.65,282.87,281.74,282.54,15652,0
SNA.US,60,20240417,200000,282.42,284.3,282.33,284.09,12084,0
SNA.US,60,20240417,210000,284.18,284.995,283.13,283.615,21083,0
SNA.US,60,20240417,220000,283.435,284.545,282.51,283.5,132907,0
SNA.US,60,20240418,160000,273.67,273.67,265.57,266.7538,74156,0
SNA.US,60,20240418,170000,266.85,271.05,266.09,268.92,109632,0
SNA.US,60,20240418,180000,269.015,269.36,264.54,266.39,43816,0
SNA.US,60,20240418,190000,266.48,268.89,264.72,264.75,28840,0
SNA.US,60,20240418,200000,264.77,265.32,262.725,262.725,31351,0
SNA.US,60,20240418,210000,262.875,263.33,261.541,262.28,29044,0
SNA.US,60,20240418,220000,262.06,264.5252,261.33,261.76,144629,0
SNA.US,60,20240419,160000,262.1,267.19,261.95,267.025,37616,0
SNA.US,60,20240419,170000,267.1399,267.63,265.13,266.78,28530,0
SNA.US,60,20240419,180000,266.62,268.66,266.27,268.095,20005,0
SNA.US,60,20240419,190000,268.205,268.94,266.41,267.66,20932,0
SNA.US,60,20240419,200000,267.84,268.67,267.02,268.21,21683,0
SNA.US,60,20240419,210000,267.94,268.2699,266.29,266.705,11477,0
SNA.US,60,20240419,220000,266.815,269.1,266.61,268.86,58176,0
SNA.US,60,20240422,160000,268.77,269,267.28,268.88,14137,0
SNA.US,60,20240422,170000,268.93,269.44,267.73,268.205,24338,0
SNA.US,60,20240422,180000,268.18,269.01,267.13,268.225,10199,0
SNA.US,60,20240422,190000,268.28,270.25,268.28,270.17,12461,0
SNA.US,60,20240422,200000,270.36,271.05,269.905,270.665,19556,0
SNA.US,60,20240422,210000,270.705,270.83,269.19,269.68,28653,0
SNA.US,60,20240422,220000,269.63,269.63,268.52,268.56,99190,0
SNA.US,60,20240423,160000,268.69,270.18,267.66,270.18,8857,0
SNA.US,60,20240423,170000,270.36,271.12,269.69,270.38,15222,0
SNA.US,60,20240423,180000,270.45,271.05,270.19,270.93,11856,0
SNA.US,60,20240423,190000,270.95,272.48,270.92,272.48,11661,0
SNA.US,60,20240423,200000,272.49,272.76,271.835,272,14336,0
SNA.US,60,20240423,210000,272,272.39,271.745,271.86,5958,0
