<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNOW.US,60,20240411,160000,154.66,155.98,154.33,155.5975,436993,0
SNOW.US,60,20240411,170000,155.625,156.4,154.791,156.05,414111,0
SNOW.US,60,20240411,180000,156.1304,157.53,155.7,157.4632,484851,0
SNOW.US,60,20240411,190000,157.5,158.79,157.09,157.9746,703774,0
SNOW.US,60,20240411,200000,157.98,158.59,157.5,158.29,472198,0
SNOW.US,60,20240411,210000,158.3,159.41,158.18,159.08,393646,0
SNOW.US,60,20240411,220000,159.13,159.915,158.69,159.35,1288467,0
SNOW.US,60,20240412,160000,157.1,159.67,157,159.67,299721,0
SNOW.US,60,20240412,170000,159.66,160.52,158.52,159.15,719176,0
SNOW.US,60,20240412,180000,159.135,160.01,158.6929,159.82,467769,0
SNOW.US,60,20240412,190000,159.79,159.79,158.55,158.56,298760,0
SNOW.US,60,20240412,200000,158.555,158.5999,157.0454,157.0454,272075,0
SNOW.US,60,20240412,210000,157.05,157.99,156.78,157.19,266893,0
SNOW.US,60,20240412,220000,157.25,158.65,157.075,158.56,1126917,0
SNOW.US,60,20240415,160000,156.38,157.03,154.1,155.09,501418,0
SNOW.US,60,20240415,170000,155.17,155.31,152.56,153.83,641976,0
SNOW.US,60,20240415,180000,153.88,154.44,153.26,154.38,319218,0
SNOW.US,60,20240415,190000,154.35,154.68,152.8001,153.345,381672,0
SNOW.US,60,20240415,200000,153.3326,153.9,151.5,152.21,450849,0
SNOW.US,60,20240415,210000,152.145,152.55,151.76,151.97,367020,0
SNOW.US,60,20240415,220000,151.97,152.21,151.09,151.98,1656686,0
SNOW.US,60,20240416,160000,151.51,152.0699,149.11,149.94,617972,0
SNOW.US,60,20240416,170000,149.855,151.14,149.28,150.43,381724,0
SNOW.US,60,20240416,180000,150.44,151.37,150.1762,150.57,265464,0
SNOW.US,60,20240416,190000,150.55,150.55,149.68,150.19,305541,0
SNOW.US,60,20240416,200000,150.22,150.57,149.28,150.39,279212,0
SNOW.US,60,20240416,210000,150.35,151.16,149.7,150.355,204687,0
SNOW.US,60,20240416,220000,150.35,151.25,150.11,150.3,1181219,0
SNOW.US,60,20240417,160000,151.04,152.44,150.8,151.16,252834,0
SNOW.US,60,20240417,170000,151.135,151.135,149.5,150.17,305101,0
SNOW.US,60,20240417,180000,150.15,151.26,150,151.02,247745,0
SNOW.US,60,20240417,190000,151.02,151.17,149.55,150.12,216165,0
SNOW.US,60,20240417,200000,150.095,151.38,149.91,150.91,272780,0
SNOW.US,60,20240417,210000,150.89,151.28,150.23,150.255,450772,0
SNOW.US,60,20240417,220000,150.215,150.42,148.77,148.8,846647,0
SNOW.US,60,20240418,160000,148.67,149.29,147.6401,148.48,245898,0
SNOW.US,60,20240418,170000,148.49,150.9,148.25,150.22,351378,0
SNOW.US,60,20240418,180000,150.23,150.88,149.585,149.675,308386,0
SNOW.US,60,20240418,190000,149.76,150.3,149.4,149.77,175287,0
SNOW.US,60,20240418,200000,149.82,149.9,148.42,148.5788,175187,0
SNOW.US,60,20240418,210000,148.59,149.14,148.19,148.47,193087,0
SNOW.US,60,20240418,220000,148.41,148.79,147.99,148.41,950194,0
SNOW.US,60,20240419,160000,147.66,150.09,147.45,149.17,382730,0
SNOW.US,60,20240419,170000,149.06,149.57,147.7,148.29,353089,0
SNOW.US,60,20240419,180000,148.25,148.31,146.8,147,300011,0
SNOW.US,60,20240419,190000,147.035,147.2,145.5815,146.69,514965,0
SNOW.US,60,20240419,200000,146.67,147.17,146.28,146.73,289595,0
SNOW.US,60,20240419,210000,146.71,146.7563,145.23,145.31,283434,0
SNOW.US,60,20240419,220000,145.32,145.56,144.55,145.46,944725,0
SNOW.US,60,20240422,160000,145.45,147.25,145.13,146.185,342965,0
SNOW.US,60,20240422,170000,146.19,146.43,144.6,145.09,385453,0
SNOW.US,60,20240422,180000,145.08,145.85,144.32,145.8,221551,0
SNOW.US,60,20240422,190000,145.87,146.81,145.565,146.81,159432,0
SNOW.US,60,20240422,200000,146.83,148.085,146.8,148.04,225379,0
SNOW.US,60,20240422,210000,148.025,148.16,147.47,147.57,149132,0
SNOW.US,60,20240422,220000,147.57,148.4,147.12,147.21,753305,0
SNOW.US,60,20240423,160000,148.93,151.7599,148.801,151.65,419509,0
