<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SO.US,60,20240411,160000,70.11,70.11,69.42,69.52,186620,0
SO.US,60,20240411,170000,69.51,69.51,68.98,69.045,265805,0
SO.US,60,20240411,180000,69.045,69.36,68.96,69.33,251266,0
SO.US,60,20240411,190000,69.33,69.4,69.25,69.385,152770,0
SO.US,60,20240411,200000,69.385,69.64,69.29,69.64,180106,0
SO.US,60,20240411,210000,69.64,69.87,69.625,69.79,265446,0
SO.US,60,20240411,220000,69.795,69.83,69.55,69.58,1237793,0
SO.US,60,20240412,160000,69.84,69.93,69.46,69.515,142876,0
SO.US,60,20240412,170000,69.515,69.64,69.27,69.335,315889,0
SO.US,60,20240412,180000,69.34,69.47,68.99,69.18,294467,0
SO.US,60,20240412,190000,69.17,69.3,68.7199,68.72,526830,0
SO.US,60,20240412,200000,68.73,68.755,68.32,68.73,381771,0
SO.US,60,20240412,210000,68.73,68.89,68.5,68.525,314426,0
SO.US,60,20240412,220000,68.51,68.77,68.4,68.73,1922682,0
SO.US,60,20240415,160000,68.99,69.48,68.69,68.83,187927,0
SO.US,60,20240415,170000,68.84,68.84,68.17,68.32,276264,0
SO.US,60,20240415,180000,68.32,68.64,68.215,68.575,213006,0
SO.US,60,20240415,190000,68.58,68.61,68.32,68.465,175554,0
SO.US,60,20240415,200000,68.46,68.515,68.1,68.22,223893,0
SO.US,60,20240415,210000,68.211,68.27,67.95,68.08,267450,0
SO.US,60,20240415,220000,68.08,68.52,68.02,68.39,1787455,0
SO.US,60,20240416,160000,68.24,68.24,67.77,67.8,230457,0
SO.US,60,20240416,170000,67.79,67.85,67.53,67.68,254095,0
SO.US,60,20240416,180000,67.69,68.11,67.58,67.92,439062,0
SO.US,60,20240416,190000,67.92,68.115,67.85,68.045,162550,0
SO.US,60,20240416,200000,68.05,68.05,67.73,67.945,282078,0
SO.US,60,20240416,210000,67.94,68.2,67.76,68.11,384274,0
SO.US,60,20240416,220000,68.105,68.105,67.54,67.77,1825030,0
SO.US,60,20240417,160000,68.09,68.55,68.02,68.44,239018,0
SO.US,60,20240417,170000,68.44,68.79,68.374,68.61,612923,0
SO.US,60,20240417,180000,68.63,68.82,68.58,68.79,436558,0
SO.US,60,20240417,190000,68.795,69.2,68.74,69.18,406442,0
SO.US,60,20240417,200000,69.185,69.6,69.17,69.55,834640,0
SO.US,60,20240417,210000,69.53,69.98,69.5,69.84,920587,0
SO.US,60,20240417,220000,69.835,69.965,69.69,69.8,2122032,0
SO.US,60,20240418,160000,70,70.24,69.695,69.94,183525,0
SO.US,60,20240418,170000,69.95,69.97,69.43,69.6511,371804,0
SO.US,60,20240418,180000,69.66,69.84,69.56,69.7975,339761,0
SO.US,60,20240418,190000,69.79,69.925,69.715,69.885,336844,0
SO.US,60,20240418,200000,69.89,70.265,69.89,70.26,446403,0
SO.US,60,20240418,210000,70.24,70.47,70.15,70.405,372533,0
SO.US,60,20240418,220000,70.41,70.69,70.35,70.57,1442024,0
SO.US,60,20240419,160000,70.87,71.36,70.7,71.1516,444194,0
SO.US,60,20240419,170000,71.1589,71.69,71.09,71.62,739486,0
SO.US,60,20240419,180000,71.62,71.87,71.605,71.855,401739,0
SO.US,60,20240419,190000,71.86,71.94,71.63,71.88,509256,0
SO.US,60,20240419,200000,71.89,72.055,71.75,71.81,563956,0
SO.US,60,20240419,210000,71.8299,72.05,71.69,72.03,440000,0
SO.US,60,20240419,220000,72.005,72.18,71.84,72.15,2213135,0
SO.US,60,20240422,160000,71.93,72.11,71.67,72.08,213893,0
SO.US,60,20240422,170000,72.05,72.41,71.89,72.34,442554,0
SO.US,60,20240422,180000,72.34,72.48,72.21,72.4,378798,0
SO.US,60,20240422,190000,72.4,72.705,72.385,72.7,346495,0
SO.US,60,20240422,200000,72.7,73.035,72.66,73,421950,0
SO.US,60,20240422,210000,73,73.01,72.73,72.82,302490,0
SO.US,60,20240422,220000,72.81,73.149,72.72,72.98,1841585,0
SO.US,60,20240423,160000,72.97,73.65,72.55,73.49,351100,0
SO.US,60,20240423,170000,73.47,73.77,73.31,73.45,940416,0
SO.US,60,20240423,180000,73.4413,73.73,73.365,73.635,709954,0
SO.US,60,20240423,190000,73.635,73.655,73.125,73.29,267327,0
SO.US,60,20240423,200000,73.285,73.36,73.14,73.21,337537,0
SO.US,60,20240423,210000,73.21,73.25,73.06,73.11,363360,0
SO.US,60,20240423,220000,73.115,73.35,73.075,73.25,2004603,0
SO.US,60,20240424,160000,72.75,72.88,72.11,72.835,226250,0
SO.US,60,20240424,170000,72.85,73.16,72.75,72.92,523444,0
SO.US,60,20240424,180000,72.93,73.475,72.905,73.4284,299733,0
SO.US,60,20240424,190000,73.43,73.53,73.26,73.445,216077,0
SO.US,60,20240424,200000,73.44,73.88,73.401,73.84,325355,0
SO.US,60,20240424,210000,73.84,73.93,73.77,73.89,670740,0
SO.US,60,20240424,220000,73.885,74.22,73.825,73.91,2464963,0
SO.US,60,20240425,160000,73.87,74.08,73.49,73.655,231352,0
