<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SONY.US,60,20240411,160000,16.7919,16.8038,16.742,16.768,91902.060199638,0
SONY.US,60,20240411,170000,16.767,16.767,16.6264,16.6324,160729.51348449,0
SONY.US,60,20240411,180000,16.6364,16.6942,16.6334,16.6932,74873.311369722,0
SONY.US,60,20240411,190000,16.6922,16.737,16.6882,16.7161,156645.42345869,0
SONY.US,60,20240411,200000,16.7082,16.762,16.6962,16.754,108449.14730661,0
SONY.US,60,20240411,210000,16.748,16.7819,16.748,16.754,150449.0460854,0
SONY.US,60,20240411,220000,16.76,16.7759,16.75,16.754,408072.84283546,0
SONY.US,60,20240412,160000,16.8078,16.8556,16.7919,16.8238,286729.209820872,0
SONY.US,60,20240412,170000,16.8387,16.8387,16.7141,16.7281,394867.28393141,0
SONY.US,60,20240412,180000,16.7301,16.7839,16.7291,16.759,185836.13079295,0
SONY.US,60,20240412,190000,16.742,16.76,16.6982,16.7121,133094.17213058,0
SONY.US,60,20240412,200000,16.7102,16.7251,16.6803,16.696,99603.630457128,0
SONY.US,60,20240412,210000,16.6882,16.745,16.6822,16.7221,442812.6946028,0
SONY.US,60,20240412,220000,16.7181,16.76,16.7102,16.74,933620.97297312,0
SONY.US,60,20240415,160000,16.6524,16.6763,16.6284,16.6344,196196.875145856,0
SONY.US,60,20240415,170000,16.6324,16.6344,16.5387,16.5686,241779.13298905,0
SONY.US,60,20240415,180000,16.5657,16.6105,16.5547,16.6065,221479.0982908,0
SONY.US,60,20240415,190000,16.6025,16.6284,16.5547,16.5666,161963.77164953,0
SONY.US,60,20240415,200000,16.5686,16.5826,16.467,16.4849,427665.43687813,0
SONY.US,60,20240415,210000,16.475,16.477,16.3853,16.4182,234940.53998516,0
SONY.US,60,20240415,220000,16.4192,16.4192,16.3673,16.4032,1245998.6695408,0
SONY.US,60,20240416,160000,16.6424,16.6683,16.5228,16.5906,345818.06514494994,0
SONY.US,60,20240416,170000,16.5906,16.6364,16.5308,16.5686,335447.28617281,0
SONY.US,60,20240416,180000,16.5726,16.6304,16.5637,16.6145,279439.05895173,0
SONY.US,60,20240416,190000,16.5985,16.6185,16.5806,16.6015,118418.54150963,0
SONY.US,60,20240416,200000,16.5985,16.6185,16.5278,16.5607,186714.1599754,0
SONY.US,60,20240416,210000,16.5547,16.6005,16.5248,16.5906,218528.92023777,0
SONY.US,60,20240416,220000,16.5985,16.6105,16.5308,16.5368,919401.91752704,0
SONY.US,60,20240417,160000,16.3992,16.3992,16.3016,16.3374,157608.746904582,0
SONY.US,60,20240417,170000,16.3374,16.3394,16.2796,16.3275,178967.43393138,0
SONY.US,60,20240417,180000,16.3315,16.3434,16.2796,16.2956,251763.57912091,0
SONY.US,60,20240417,190000,16.2876,16.2976,16.2159,16.2358,270563.43824456,0
SONY.US,60,20240417,200000,16.2338,16.2916,16.2278,16.2856,151522.7503428,0
SONY.US,60,20240417,210000,16.2767,16.3275,16.2557,16.2796,216040.33466923,0
SONY.US,60,20240417,220000,16.2796,16.3056,16.2458,16.2597,662309.95559607,0
SONY.US,60,20240418,160000,16.3574,16.4331,16.3494,16.388,160839.89429599798,0
SONY.US,60,20240418,170000,16.3916,16.4271,16.3673,16.3992,154352.5129651,0
SONY.US,60,20240418,180000,16.4032,16.457,16.3992,16.4062,171762.57732568,0
SONY.US,60,20240418,190000,16.4112,16.4251,16.3614,16.3653,204370.07250706,0
SONY.US,60,20240418,200000,16.3693,16.3813,16.3155,16.3374,114670.61122797,0
SONY.US,60,20240418,210000,16.3394,16.3494,16.3135,16.3175,131011.98864077,0
SONY.US,60,20240418,220000,16.3255,16.3514,16.3175,16.3195,435311.81672987,0
SONY.US,60,20240419,160000,16.2458,16.3753,16.2179,16.3235,219562.48601825399,0
SONY.US,60,20240419,170000,16.3235,16.3354,16.2637,16.2856,430445.02640429,0
SONY.US,60,20240419,180000,16.2737,16.2936,16.2468,16.2497,114745.87087218,0
SONY.US,60,20240419,190000,16.2497,16.2677,16.2059,16.2418,201530.27526554,0
SONY.US,60,20240419,200000,16.2338,16.2677,16.2149,16.2418,88415.030017908,0
SONY.US,60,20240419,210000,16.2238,16.2497,16.1983,16.2198,111324.06571543,0
SONY.US,60,20240419,220000,16.2097,16.2368,16.183,16.2039,505468.85706243,0
SONY.US,60,20240422,160000,16.1919,16.2039,16.1222,16.1441,231192.609703506,0
SONY.US,60,20240422,170000,16.1421,16.1919,16.1282,16.178,264035.91843675,0
SONY.US,60,20240422,180000,16.174,16.2049,16.1541,16.2039,241718.92527368,0
SONY.US,60,20240422,190000,16.2039,16.2497,16.2009,16.2378,306040.83452516,0
SONY.US,60,20240422,200000,16.2418,16.2896,16.2338,16.2776,166203.39827336,0
SONY.US,60,20240422,210000,16.2776,16.2896,16.2537,16.2657,184692.18420095,0
SONY.US,60,20240422,220000,16.2717,16.2737,16.2368,16.2557,584215.53145416,0
SONY.US,60,20240423,160000,16.174,16.2956,16.1501,16.2707,367136.613694836,0
SONY.US,60,20240423,170000,16.2717,16.3235,16.2458,16.2856,412051.56935936,0
SONY.US,60,20240423,180000,16.2776,16.3011,16.2537,16.2776,209698.45531713,0
SONY.US,60,20240423,190000,16.2745,16.308,16.2697,16.3006,168626.75881693,0
SONY.US,60,20240423,200000,16.2956,16.3075,16.2796,16.2976,192127.8370489,0
SONY.US,60,20240423,210000,16.2976,16.3215,16.2856,16.3056,170914.65200091,0
SONY.US,60,20240423,220000,16.3056,16.3135,16.2886,16.3056,921047.59508044,0
SONY.US,60,20240424,160000,16.451,16.5607,16.3873,16.5417,372856.346654796,0
SONY.US,60,20240424,170000,16.5387,16.5637,16.4929,16.5088,431568.90375782,0
SONY.US,60,20240424,180000,16.5118,16.5168,16.4087,16.4311,149987.45360092,0
SONY.US,60,20240424,190000,16.4371,16.4809,16.4251,16.471,152119.81018687,0
SONY.US,60,20240424,200000,16.467,16.5288,16.463,16.5228,129311.12068162,0
SONY.US,60,20240424,210000,16.5268,16.5278,16.4889,16.4989,151146.45212175,0
SONY.US,60,20240424,220000,16.4989,16.5284,16.4849,16.4849,582313.97111045,0
SONY.US,60,20240425,160000,16.1999,16.2497,16.176,16.2358,104299.83225583199,0
SONY.US,60,20240425,170000,16.2278,16.3354,16.1909,16.3125,248316.68741609,0
SONY.US,60,20240425,180000,16.3115,16.3594,16.3056,16.3484,211058.14622252,0
SONY.US,60,20240425,190000,16.3434,16.3693,16.3255,16.3564,158411.51644282,0
SONY.US,60,20240425,200000,16.3634,16.4197,16.3315,16.4197,108609.70121426,0
SONY.US,60,20240425,210000,16.4152,16.4401,16.3972,16.4212,104249.65915969,0
