<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPOT.US,60,20240411,160000,300.79,302.6,299.02,302.19,53493,0
SPOT.US,60,20240411,170000,302.195,302.195,299.04,300.1,101306,0
SPOT.US,60,20240411,180000,300.18,302,300.0507,301.2429,76202,0
SPOT.US,60,20240411,190000,301.105,302.97,300.79,302.73,55939,0
SPOT.US,60,20240411,200000,302.6301,305.61,302.51,305.2499,98322,0
SPOT.US,60,20240411,210000,304.985,305.74,304.29,304.88,69041,0
SPOT.US,60,20240411,220000,304.99,305.47,303.56,303.57,280386,0
SPOT.US,60,20240412,160000,301,302.8752,299,301.6743,36340,0
SPOT.US,60,20240412,170000,301.37,303.355,301.0063,301.595,81973,0
SPOT.US,60,20240412,180000,301.75,302.37,300.58,302.18,56601,0
SPOT.US,60,20240412,190000,301.8,302.29,299.88,300.805,86246,0
SPOT.US,60,20240412,200000,300.8,301.825,300.8,301.09,45888,0
SPOT.US,60,20240412,210000,301.145,301.22,300.41,301.12,92747,0
SPOT.US,60,20240412,220000,300.96,301.73,300.44,300.45,359177,0
SPOT.US,60,20240415,160000,302.72,304.59,300.15,303.6888,83519,0
SPOT.US,60,20240415,170000,303.93,304.07,299.57,300,179051,0
SPOT.US,60,20240415,180000,300,300.78,298.35,298.59,125544,0
SPOT.US,60,20240415,190000,298.52,299.32,294.74,296.415,145885,0
SPOT.US,60,20240415,200000,296.41,296.41,291.37,292.62,99426,0
SPOT.US,60,20240415,210000,292.75,292.75,290.89,291.99,128430,0
SPOT.US,60,20240415,220000,291.75,292.42,290.35,290.52,460954,0
SPOT.US,60,20240416,160000,291.3,294.38,289.01,292.28,94136,0
SPOT.US,60,20240416,170000,292.485,295.95,291.82,295.475,125490,0
SPOT.US,60,20240416,180000,295.475,297.88,295,296.695,100815,0
SPOT.US,60,20240416,190000,296.76,298.2682,296.4789,297.71,44111,0
SPOT.US,60,20240416,200000,297.66,298.69,296.8,297.41,84568,0
SPOT.US,60,20240416,210000,297.37,300.79,297.34,300.46,110992,0
SPOT.US,60,20240416,220000,300.31,300.93,297.66,298.08,586372,0
SPOT.US,60,20240417,160000,298.32,300.045,297.42,298.07,79841,0
SPOT.US,60,20240417,170000,297.87,299.52,295.5,298.2,115580,0
SPOT.US,60,20240417,180000,298.08,299.6299,297.18,297.18,72619,0
SPOT.US,60,20240417,190000,297.04,297.335,294.57,295.04,125471,0
SPOT.US,60,20240417,200000,295.07,296.68,294.69,296.385,79732,0
SPOT.US,60,20240417,210000,296.29,297.2,295.45,296.145,66327,0
SPOT.US,60,20240417,220000,295.95,296.2,293.27,293.58,418453,0
SPOT.US,60,20240418,160000,294.78,295.96,290.61,293.02,164336,0
SPOT.US,60,20240418,170000,293.3,296.801,292.4374,295.44,118199,0
SPOT.US,60,20240418,180000,295.49,296.225,293.66,294.63,136959,0
SPOT.US,60,20240418,190000,294.43,294.635,293.03,293.41,91284,0
SPOT.US,60,20240418,200000,293.365,293.55,291.54,293.03,137253,0
SPOT.US,60,20240418,210000,292.992,292.992,290.38,290.74,140035,0
SPOT.US,60,20240418,220000,290.845,291.75,288.67,289.2,548796,0
SPOT.US,60,20240419,160000,284.8,285,275.88,282.31,401250,0
SPOT.US,60,20240419,170000,282.45,282.95,275.72,277.39,530300,0
SPOT.US,60,20240419,180000,277.4,278.076,274.49,274.805,376898,0
SPOT.US,60,20240419,190000,274.71,275.63,270.45,275.38,309219,0
SPOT.US,60,20240419,200000,275.12,276.64,273.2,275.625,182103,0
SPOT.US,60,20240419,210000,275.625,276.06,271.23,273.08,233960,0
SPOT.US,60,20240419,220000,273.08,277.2998,273.08,275.92,892489,0
SPOT.US,60,20240422,160000,280.97,280.97,271.9,272.69,500619,0
SPOT.US,60,20240422,170000,272.57,273.1275,268.01,268.98,598538,0
SPOT.US,60,20240422,180000,269.14,271.67,267.76,271.6,368227,0
SPOT.US,60,20240422,190000,271.555,271.72,269.59,270.05,264393,0
SPOT.US,60,20240422,200000,270.01,274.7,269.93,274.2375,455812,0
SPOT.US,60,20240422,210000,274.24,276.06,272.565,274.605,479525,0
SPOT.US,60,20240422,220000,274.7,275.165,271.17,272.24,1268663,0
SPOT.US,60,20240423,160000,301.13,314.8,298.5,306.14,1695929,0
SPOT.US,60,20240423,170000,306.41,315.78,304.1,314.1225,1528936,0
SPOT.US,60,20240423,180000,313.89,314.4556,308.65,314.1556,942826,0
SPOT.US,60,20240423,190000,314.065,319.3,313.09,317.3289,1013406,0
SPOT.US,60,20240423,200000,317.1752,319.3,313.55,313.675,523277,0
SPOT.US,60,20240423,210000,313.5925,313.7715,309.85,311.38,470815,0
SPOT.US,60,20240423,220000,311.4,312.34,300.87,303.495,1846826,0
SPOT.US,60,20240424,160000,301.35,305.64,296.5801,297.1721,767886,0
SPOT.US,60,20240424,170000,297.125,297.8496,285.82,286.1469,824095,0
SPOT.US,60,20240424,180000,286.085,286.26,278.78,281.0091,759301,0
SPOT.US,60,20240424,190000,280.81,283.7,278.14,282.31,697517,0
SPOT.US,60,20240424,200000,282.45,286.88,281.6401,284.7415,405452,0
SPOT.US,60,20240424,210000,284.67,284.79,280.829,281.39,268340,0
SPOT.US,60,20240424,220000,281.33,282.11,278.99,281.23,948006,0
SPOT.US,60,20240425,160000,275.67,280.22,271.65,280.02,264817,0
