<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRE.US,60,20240411,160000,70.5,70.65,69.77,69.8,52876,0
SRE.US,60,20240411,170000,69.8,69.8,69.04,69.04,111071,0
SRE.US,60,20240411,180000,69.04,69.21,68.87,69.18,111705,0
SRE.US,60,20240411,190000,69.19,69.25,69,69.11,107171,0
SRE.US,60,20240411,200000,69.12,69.33,69.07,69.32,86382,0
SRE.US,60,20240411,210000,69.32,69.5,69.31,69.37,143209,0
SRE.US,60,20240411,220000,69.37,69.47,69.18,69.25,2045381,0
SRE.US,60,20240412,160000,69.39,69.63,69.18,69.26,54741,0
SRE.US,60,20240412,170000,69.21,69.57,69.1506,69.4499,118692,0
SRE.US,60,20240412,180000,69.4499,69.5,69.05,69.2,97643,0
SRE.US,60,20240412,190000,69.11,69.305,68.73,68.75,377128,0
SRE.US,60,20240412,200000,68.74,68.84,68.46,68.83,120339,0
SRE.US,60,20240412,210000,68.82,68.98,68.6,68.62,144764,0
SRE.US,60,20240412,220000,68.61,68.75,68.47,68.69,704759,0
SRE.US,60,20240415,160000,69.11,69.31,68.51,68.67,143973,0
SRE.US,60,20240415,170000,68.665,68.71,67.89,68.09,162240,0
SRE.US,60,20240415,180000,68.1,68.51,68.01,68.4,264070,0
SRE.US,60,20240415,190000,68.41,68.51,68.19,68.33,138265,0
SRE.US,60,20240415,200000,68.33,68.41,67.92,68.06,213464,0
SRE.US,60,20240415,210000,68.06,68.14,67.86,68,176434,0
SRE.US,60,20240415,220000,68,68.18,67.625,68.11,1194729,0
SRE.US,60,20240416,160000,67.88,67.935,67.03,67.03,66766,0
SRE.US,60,20240416,170000,67.038,67.038,66.62,66.76,196255,0
SRE.US,60,20240416,180000,66.77,67.28,66.63,67.05,195548,0
SRE.US,60,20240416,190000,67.05,67.23,66.98,67.15,111825,0
SRE.US,60,20240416,200000,67.145,67.15,66.67,66.97,225264,0
SRE.US,60,20240416,210000,66.95,67.24,66.71,67.07,192581,0
SRE.US,60,20240416,220000,67.06,67.07,66.4,66.41,1558396,0
SRE.US,60,20240417,160000,66.87,67.35,66.7,67.26,77447,0
SRE.US,60,20240417,170000,67.22,67.48,66.94,67.13,128263,0
SRE.US,60,20240417,180000,67.13,67.5,67.12,67.23,204988,0
SRE.US,60,20240417,190000,67.26,67.72,67.19,67.69,153353,0
SRE.US,60,20240417,200000,67.68,67.96,67.6,67.86,98660,0
SRE.US,60,20240417,210000,67.86,68.15,67.74,67.86,300019,0
SRE.US,60,20240417,220000,67.85,68.04,67.77,67.94,910779,0
SRE.US,60,20240418,160000,68.18,68.38,67.73,68.14,47286,0
SRE.US,60,20240418,170000,68.17,68.19,67.55,67.74,294590,0
SRE.US,60,20240418,180000,67.74,68,67.68,67.77,166555,0
SRE.US,60,20240418,190000,67.76,67.81,67.6,67.605,135688,0
SRE.US,60,20240418,200000,67.62,67.96,67.585,67.93,313490,0
SRE.US,60,20240418,210000,67.93,68.1,67.86,68.09,357301,0
SRE.US,60,20240418,220000,68.1,68.58,68.07,68.44,1046093,0
SRE.US,60,20240419,160000,68.66,68.96,68.63,68.825,194447,0
SRE.US,60,20240419,170000,68.81,69.37,68.76,69.29,145335,0
SRE.US,60,20240419,180000,69.3,69.6,69.27,69.53,176209,0
SRE.US,60,20240419,190000,69.53,69.81,69.38,69.81,237283,0
SRE.US,60,20240419,200000,69.8,70.015,69.76,69.84,223897,0
SRE.US,60,20240419,210000,69.82,70.12,69.7,70.09,205150,0
SRE.US,60,20240419,220000,70.1,70.155,69.89,70.08,510966,0
SRE.US,60,20240422,160000,70.08,70.24,69.7,70.17,78606,0
SRE.US,60,20240422,170000,70.1,70.9,70.03,70.84,195733,0
SRE.US,60,20240422,180000,70.84,70.87,70.54,70.66,168251,0
SRE.US,60,20240422,190000,70.68,70.87,70.56,70.87,155144,0
SRE.US,60,20240422,200000,70.87,71.23,70.77,71.22,154274,0
SRE.US,60,20240422,210000,71.2285,71.25,70.94,71.03,279353,0
SRE.US,60,20240422,220000,71.035,71.2,70.82,71.13,1479043,0
SRE.US,60,20240423,160000,71.11,71.97,70.73,71.81,193644,0
SRE.US,60,20240423,170000,71.78,71.97,71.485,71.58,234656,0
SRE.US,60,20240423,180000,71.565,71.84,71.47,71.79,233302,0
SRE.US,60,20240423,190000,71.8,71.83,71.66,71.6802,111019,0
SRE.US,60,20240423,200000,71.68,71.7,71.52,71.64,106083,0
SRE.US,60,20240423,210000,71.64,71.67,71.18,71.23,201706,0
SRE.US,60,20240423,220000,71.23,71.635,71.23,71.53,1064379,0
SRE.US,60,20240424,160000,70.94,71.12,70.52,71.1,166399,0
SRE.US,60,20240424,170000,71.08,71.47,70.98,71.23,195470,0
SRE.US,60,20240424,180000,71.23,71.75,71.19,71.7,126962,0
SRE.US,60,20240424,190000,71.69,71.82,71.55,71.71,94807,0
SRE.US,60,20240424,200000,71.7,72.0925,71.67,72.03,85839,0
SRE.US,60,20240424,210000,72.03,72.17,71.94,72.07,101300,0
SRE.US,60,20240424,220000,72.07,72.25,71.87,72.04,839412,0
