<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SU.US,60,20240411,160000,39.31,39.31,38.8257,39.02,443262,0
SU.US,60,20240411,170000,39.02,39.035,38.57,38.68,462027,0
SU.US,60,20240411,180000,38.68,38.83,38.555,38.7,274053,0
SU.US,60,20240411,190000,38.695,38.84,38.685,38.79,196218,0
SU.US,60,20240411,200000,38.7954,38.83,38.51,38.53,333881,0
SU.US,60,20240411,210000,38.53,38.54,38.37,38.41,732336,0
SU.US,60,20240411,220000,38.415,38.615,38.25,38.36,1438078,0
SU.US,60,20240412,160000,38.82,38.925,38.43,38.57,492039,0
SU.US,60,20240412,170000,38.56,38.67,38.41,38.57,564080,0
SU.US,60,20240412,180000,38.56,38.66,38.25,38.33,599837,0
SU.US,60,20240412,190000,38.32,38.355,38.1,38.14,463684,0
SU.US,60,20240412,200000,38.135,38.175,37.875,37.995,494843,0
SU.US,60,20240412,210000,37.99,38.075,37.59,37.595,481721,0
SU.US,60,20240412,220000,37.59,37.72,37.45,37.69,1288921,0
SU.US,60,20240415,160000,37.68,37.91,37.61,37.86,408311,0
SU.US,60,20240415,170000,37.865,37.865,37.3442,37.495,606205,0
SU.US,60,20240415,180000,37.495,37.58,37.34,37.575,272897,0
SU.US,60,20240415,190000,37.575,37.595,37.275,37.35,254095,0
SU.US,60,20240415,200000,37.345,37.395,37.11,37.3,540133,0
SU.US,60,20240415,210000,37.28,37.302,37.14,37.19,392270,0
SU.US,60,20240415,220000,37.19,37.25,37.035,37.18,1311712,0
SU.US,60,20240416,160000,37.05,37.41,36.932,37.19,473649,0
SU.US,60,20240416,170000,37.19,37.46,37.02,37.455,848353,0
SU.US,60,20240416,180000,37.455,37.72,37.455,37.6,761107,0
SU.US,60,20240416,190000,37.6,37.61,37.405,37.52,551221,0
SU.US,60,20240416,200000,37.525,37.57,37.35,37.505,415527,0
SU.US,60,20240416,210000,37.5,37.76,37.39,37.75,469174,0
SU.US,60,20240416,220000,37.755,37.79,37.58,37.58,1441034,0
SU.US,60,20240417,160000,37.68,38.05,37.49,38.02,181704,0
SU.US,60,20240417,170000,38.02,38.28,37.91,38.01,492883,0
SU.US,60,20240417,180000,38.01,38.07,37.695,37.705,322122,0
SU.US,60,20240417,190000,37.7,37.705,37.345,37.61,297413,0
SU.US,60,20240417,200000,37.6,37.887,37.545,37.88,260750,0
SU.US,60,20240417,210000,37.88,38.12,37.79,37.795,352090,0
SU.US,60,20240417,220000,37.79,37.98,37.72,37.89,916808,0
SU.US,60,20240418,160000,38.03,38.3404,37.975,38.34,258855,0
SU.US,60,20240418,170000,38.35,38.4,38.2,38.28,495108,0
SU.US,60,20240418,180000,38.285,38.405,38.16,38.25,526364,0
SU.US,60,20240418,190000,38.245,38.405,38.16,38.19,505789,0
SU.US,60,20240418,200000,38.18,38.22,37.855,38.01,331159,0
SU.US,60,20240418,210000,38.01,38.06,37.85,37.985,449288,0
SU.US,60,20240418,220000,37.98,38.14,37.92,38.05,1315612,0
SU.US,60,20240419,160000,38.01,38.56,37.94,38.52,205751,0
SU.US,60,20240419,170000,38.53,38.89,38.51,38.78,505364,0
SU.US,60,20240419,180000,38.785,38.87,38.62,38.75,325255,0
SU.US,60,20240419,190000,38.75,38.9,38.61,38.89,303611,0
SU.US,60,20240419,200000,38.89,38.9,38.7814,38.81,273398,0
SU.US,60,20240419,210000,38.795,38.795,38.49,38.58,316651,0
SU.US,60,20240419,220000,38.58,38.65,38.47,38.53,805773,0
SU.US,60,20240422,160000,38.34,38.65,38.12,38.585,183959,0
SU.US,60,20240422,170000,38.595,38.99,38.56,38.915,344007,0
SU.US,60,20240422,180000,38.92,39,38.75,38.98,203874,0
