<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUN.US,60,20240411,160000,54.36,54.44,53.68,53.99,40692,0
SUN.US,60,20240411,170000,53.865,54.35,53.76,54.02,30817,0
SUN.US,60,20240411,180000,54.035,54.23,53.99,54.1396,36818,0
SUN.US,60,20240411,190000,54.13,54.3,54.03,54.0901,20604,0
SUN.US,60,20240411,200000,54.19,54.26,54.0301,54.045,21704,0
SUN.US,60,20240411,210000,54.0453,54.2,53.76,53.83,33541,0
SUN.US,60,20240411,220000,53.82,54.26,53.77,54.11,108006,0
SUN.US,60,20240412,160000,54.3,54.8,54.25,54.56,18499,0
SUN.US,60,20240412,170000,54.6092,54.64,54.05,54.35,65693,0
SUN.US,60,20240412,180000,54.36,54.75,54.17,54.24,61688,0
SUN.US,60,20240412,190000,54.3,54.3,53.84,53.865,18039,0
SUN.US,60,20240412,200000,53.81,53.81,53.54,53.64,36217,0
SUN.US,60,20240412,210000,53.62,53.745,52.94,53.025,67350,0
SUN.US,60,20240412,220000,53.04,53.79,52.95,53.35,224214,0
SUN.US,60,20240415,160000,53.51,54.1,53.22,53.43,21381,0
SUN.US,60,20240415,170000,53.43,53.44,52.86,53.02,46145,0
SUN.US,60,20240415,180000,53.09,53.1,52.51,52.97,42484,0
SUN.US,60,20240415,190000,52.91,52.91,52.6206,52.74,32908,0
SUN.US,60,20240415,200000,52.73,52.73,52.26,52.4,36879,0
SUN.US,60,20240415,210000,52.445,52.5,52.18,52.2,32203,0
SUN.US,60,20240415,220000,52.26,52.33,51.71,51.78,124604,0
SUN.US,60,20240416,160000,51.78,51.945,51.03,51.28,58808,0
SUN.US,60,20240416,170000,51.22,51.62,51.17,51.47,34297,0
SUN.US,60,20240416,180000,51.485,51.565,50.805,50.805,80188,0
SUN.US,60,20240416,190000,50.83,51.15,50.81,50.9984,29838,0
SUN.US,60,20240416,200000,50.95,51.125,50.76,51.05,33359,0
SUN.US,60,20240416,210000,51.005,51.16,50.74,51.16,48626,0
SUN.US,60,20240416,220000,51.0701,51.31,50.985,51.13,140597,0
SUN.US,60,20240417,160000,51.61,51.94,51.12,51.91,26833,0
SUN.US,60,20240417,170000,51.92,52.24,51.73,52.0401,59419,0
SUN.US,60,20240417,180000,52.05,53.685,52.02,53.24,79696,0
SUN.US,60,20240417,190000,53.23,53.88,53.0401,53.695,113545,0
SUN.US,60,20240417,200000,53.6901,53.8999,53.45,53.67,47939,0
SUN.US,60,20240417,210000,53.61,53.755,53.47,53.54,49598,0
SUN.US,60,20240417,220000,53.525,54.11,53.5,54,168410,0
SUN.US,60,20240418,160000,54.11,54.5,53.82,54,33268,0
SUN.US,60,20240418,170000,53.9,54.715,53.86,54.5213,64595,0
SUN.US,60,20240418,180000,54.57,55.12,54.5,54.72,70600,0
SUN.US,60,20240418,190000,54.7142,55.075,54.62,54.89,45956,0
SUN.US,60,20240418,200000,54.905,54.905,54.38,54.44,56844,0
SUN.US,60,20240418,210000,54.415,54.54,54.14,54.19,41389,0
SUN.US,60,20240418,220000,54.195,54.62,54.17,54.37,115237,0
SUN.US,60,20240419,160000,54.37,55.065,54.285,54.915,7658,0
SUN.US,60,20240419,170000,54.91,56.19,54.91,55.87,70168,0
SUN.US,60,20240419,180000,55.8532,55.96,55.44,55.59,52213,0
SUN.US,60,20240419,190000,55.59,55.68,55.085,55.255,33070,0
SUN.US,60,20240419,200000,55.255,55.29,54.97,55.105,18917,0
SUN.US,60,20240419,210000,55.06,55.19,54.96,55.17,22050,0
SUN.US,60,20240419,220000,55.17,55.545,55.03,55.51,96737,0
SUN.US,60,20240422,160000,55.55,55.83,55.41,55.79,23691,0
SUN.US,60,20240422,170000,55.735,56.17,55.7325,55.88,52676,0
SUN.US,60,20240422,180000,55.87,56.13,55.61,55.83,51865,0
SUN.US,60,20240422,190000,55.83,56.06,55.65,55.755,27670,0
SUN.US,60,20240422,200000,55.75,55.94,55.6,55.8775,30569,0
SUN.US,60,20240422,210000,55.89,56.12,55.88,56,40416,0
SUN.US,60,20240422,220000,55.98,56.06,55.68,55.9,199743,0
SUN.US,60,20240423,160000,55.73,55.985,55.54,55.94,5669,0
SUN.US,60,20240423,170000,55.935,56.21,55.9,56.07,25317,0
SUN.US,60,20240423,180000,56.15,56.5,56.0301,56.45,51681,0
SUN.US,60,20240423,190000,56.4186,56.48,56.09,56.25,12927,0
SUN.US,60,20240423,200000,56.25,56.38,56.14,56.28,8018,0
SUN.US,60,20240423,210000,56.28,56.38,56.09,56.38,15997,0
SUN.US,60,20240423,220000,56.335,56.685,56.29,56.64,93289,0
SUN.US,60,20240424,160000,56.63,56.63,56.16,56.39,4841,0
SUN.US,60,20240424,170000,56.365,56.49,55.76,55.76,17658,0
SUN.US,60,20240424,180000,55.7,55.915,55.58,55.82,35239,0
SUN.US,60,20240424,190000,55.8,56.09,55.77,56,21638,0
SUN.US,60,20240424,200000,56.005,56.32,55.99,56.29,9327,0
