<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYY.US,60,20240411,160000,77.07,77.22,76.81,76.94,56769,0
SYY.US,60,20240411,170000,76.95,76.97,76.41,76.535,194022,0
SYY.US,60,20240411,180000,76.52,76.76,76.495,76.73,106469,0
SYY.US,60,20240411,190000,76.74,76.95,76.7,76.83,103493,0
SYY.US,60,20240411,200000,76.83,76.92,76.67,76.72,104157,0
SYY.US,60,20240411,210000,76.7137,76.81,76.65,76.75,145549,0
SYY.US,60,20240411,220000,76.76,76.8,76.48,76.57,846846,0
SYY.US,60,20240412,160000,76.11,76.405,75.85,76.11,108414,0
SYY.US,60,20240412,170000,76.09,76.09,75.6,75.975,138467,0
SYY.US,60,20240412,180000,75.95,75.99,75.55,75.63,114793,0
SYY.US,60,20240412,190000,75.61,75.705,75.46,75.5292,132015,0
SYY.US,60,20240412,200000,75.52,75.56,75.34,75.38,130000,0
SYY.US,60,20240412,210000,75.38,75.6,75.28,75.47,150557,0
SYY.US,60,20240412,220000,75.44,75.44,75.13,75.25,701555,0
SYY.US,60,20240415,160000,75.81,76.11,75.66,75.75,84035,0
SYY.US,60,20240415,170000,75.755,75.755,75.29,75.59,104492,0
SYY.US,60,20240415,180000,75.59,75.93,75.53,75.91,83165,0
SYY.US,60,20240415,190000,75.93,76.01,75.7,75.74,71900,0
SYY.US,60,20240415,200000,75.72,75.73,75.44,75.49,86311,0
SYY.US,60,20240415,210000,75.48,75.6,75.19,75.291,114218,0
SYY.US,60,20240415,220000,75.28,75.685,75.23,75.65,1027864,0
SYY.US,60,20240416,160000,75.93,75.955,75.43,75.585,71915,0
SYY.US,60,20240416,170000,75.585,75.92,75.435,75.895,194303,0
SYY.US,60,20240416,180000,75.91,76.16,75.865,76.07,178800,0
SYY.US,60,20240416,190000,76.08,76.14,75.945,76.06,121637,0
SYY.US,60,20240416,200000,76.06,76.07,75.77,75.86,118574,0
SYY.US,60,20240416,210000,75.84,76.07,75.67,76.01,111635,0
SYY.US,60,20240416,220000,76.01,76.03,75.785,75.83,657621,0
SYY.US,60,20240417,160000,76.34,76.49,75.77,75.82,66206,0
SYY.US,60,20240417,170000,75.8,75.83,75.26,75.39,215524,0
SYY.US,60,20240417,180000,75.41,75.5097,74.73,74.88,231497,0
SYY.US,60,20240417,190000,74.89,74.94,74.66,74.91,115168,0
SYY.US,60,20240417,200000,74.89,75.15,74.885,75.02,100833,0
SYY.US,60,20240417,210000,75.02,75.3,74.99,75.14,107847,0
SYY.US,60,20240417,220000,75.12,75.46,74.98,75.44,736417,0
SYY.US,60,20240418,160000,75.75,75.975,75.62,75.89,56752,0
SYY.US,60,20240418,170000,75.88,75.97,75.64,75.97,174930,0
SYY.US,60,20240418,180000,75.98,76.04,75.68,75.81,114917,0
SYY.US,60,20240418,190000,75.815,75.89,75.52,75.52,77822,0
SYY.US,60,20240418,200000,75.53,75.67,75.445,75.6,116727,0
SYY.US,60,20240418,210000,75.61,75.69,75.52,75.63,102515,0
SYY.US,60,20240418,220000,75.64,75.72,75.48,75.64,726935,0
SYY.US,60,20240419,160000,76.02,76.17,75.81,76.08,195809,0
SYY.US,60,20240419,170000,76.09,76.25,75.9,76.005,145071,0
SYY.US,60,20240419,180000,76,76.12,75.9,75.99,147573,0
SYY.US,60,20240419,190000,76.005,76.26,75.83,76.18,127058,0
SYY.US,60,20240419,200000,76.18,76.34,76.12,76.29,99180,0
SYY.US,60,20240419,210000,76.29,76.47,76.24,76.47,121707,0
SYY.US,60,20240419,220000,76.45,76.77,76.42,76.73,574393,0
SYY.US,60,20240422,160000,77.09,77.2,76.61,76.88,55829,0
SYY.US,60,20240422,170000,76.875,77.16,76.73,77.04,144754,0
SYY.US,60,20240422,180000,77.03,77.24,77.01,77.06,152245,0
SYY.US,60,20240422,190000,77.07,77.29,77.04,77.24,88270,0
SYY.US,60,20240422,200000,77.25,77.62,77.2,77.555,125461,0
SYY.US,60,20240422,210000,77.56,77.7,77.44,77.525,111622,0
SYY.US,60,20240422,220000,77.525,77.56,77.19,77.32,794420,0
SYY.US,60,20240423,160000,77.64,77.71,77.41,77.54,76653,0
SYY.US,60,20240423,170000,77.52,77.54,77.1,77.36,159032,0
SYY.US,60,20240423,180000,77.36,77.38,77.11,77.265,96859,0
SYY.US,60,20240423,190000,77.265,77.35,77,77.03,113402,0
SYY.US,60,20240423,200000,77.03,77.08,76.91,76.99,109120,0
SYY.US,60,20240423,210000,77,77.23,76.9,76.96,134631,0
SYY.US,60,20240423,220000,76.96,76.99,76.81,76.96,959061,0
SYY.US,60,20240424,160000,76.8,77.15,76.6,76.95,119641,0
SYY.US,60,20240424,170000,76.98,77.32,76.85,77.32,115677,0
SYY.US,60,20240424,180000,77.31,77.44,77.13,77.315,87833,0
SYY.US,60,20240424,190000,77.31,77.42,77.19,77.23,89325,0
SYY.US,60,20240424,200000,77.24,77.46,77.21,77.43,93382,0
SYY.US,60,20240424,210000,77.42,77.45,77.19,77.2,91641,0
SYY.US,60,20240424,220000,77.19,77.53,77.1599,77.29,672671,0
SYY.US,60,20240425,160000,77.38,77.95,77.02,77.1,120140,0
SYY.US,60,20240425,170000,77.1,77.2,76.765,76.78,171687,0
SYY.US,60,20240425,180000,76.78,76.96,76.71,76.91,124978,0
SYY.US,60,20240425,190000,76.91,77.06,76.87,77.03,96488,0
SYY.US,60,20240425,200000,77.03,77.04,76.74,76.91,102766,0
SYY.US,60,20240425,210000,76.91,76.93,76.601,76.77,108000,0
SYY.US,60,20240425,220000,76.795,77.07,76.78,77.07,1043636,0
SYY.US,60,20240426,160000,77.35,77.68,77.24,77.335,71418,0
SYY.US,60,20240426,170000,77.33,77.77,76.815,76.92,214515,0
SYY.US,60,20240426,180000,76.9,76.905,76.6,76.72,116659,0
SYY.US,60,20240426,190000,76.71,76.73,76.56,76.66,92989,0
SYY.US,60,20240426,200000,76.66,76.98,76.58,76.97,109290,0
SYY.US,60,20240426,210000,76.96,77.155,76.79,77.07,118154,0
SYY.US,60,20240426,220000,77.07,77.13,76.92,77.07,767542,0
SYY.US,60,20240429,160000,77.08,77.91,77.08,77.29,201048,0
SYY.US,60,20240429,170000,77.295,77.435,77.03,77.3,390525,0
SYY.US,60,20240429,180000,77.3,77.3,76.9,76.98,192937,0
SYY.US,60,20240429,190000,76.97,77.27,76.965,77.15,152678,0
SYY.US,60,20240429,200000,77.15,77.45,77.15,77.3,203407,0
SYY.US,60,20240429,210000,77.3,77.39,77.19,77.3,251886,0
SYY.US,60,20240429,220000,77.29,77.29,77.085,77.22,952638,0
SYY.US,60,20240430,160000,74.45,75.42,74.16,74.92,790398,0
SYY.US,60,20240430,170000,74.94,75.84,74.41,75.61,1076058,0
SYY.US,60,20240430,180000,75.63,76.07,75.16,75.279,381550,0
SYY.US,60,20240430,190000,75.29,75.31,74.71,74.98,362836,0
SYY.US,60,20240430,200000,74.97,75.07,74.75,74.99,300626,0
SYY.US,60,20240430,210000,75,75.06,74.7,74.85,414977,0
SYY.US,60,20240430,220000,74.86,75.18,74.2,74.32,2699116,0
SYY.US,60,20240501,160000,74.19,74.79,73.45,73.545,255051,0
SYY.US,60,20240501,170000,73.57,73.66,72.89,73.18,509474,0
SYY.US,60,20240501,180000,73.19,73.69,73.075,73.515,290534,0
SYY.US,60,20240501,190000,73.5,73.64,73.255,73.31,217867,0
SYY.US,60,20240501,200000,73.3,73.46,73.21,73.29,233480,0
SYY.US,60,20240501,210000,73.27,73.5,73.1,73.35,294732,0
SYY.US,60,20240501,220000,73.37,73.55,72.961,73.03,1856200,0
SYY.US,60,20240502,160000,73.26,73.7232,73.08,73.33,79486,0
SYY.US,60,20240502,170000,73.36,73.8,73.2,73.795,269349,0
SYY.US,60,20240502,180000,73.79,74.33,73.78,74.01,385578,0
SYY.US,60,20240502,190000,74.035,74.17,73.86,73.99,212530,0
SYY.US,60,20240502,200000,74.005,74.34,74,74.21,155147,0
SYY.US,60,20240502,210000,74.2,74.44,74.15,74.39,250236,0
SYY.US,60,20240502,220000,74.41,74.48,74.12,74.25,941637,0
SYY.US,60,20240507,160000,75.73,75.87,75.44,75.68,89335,0
SYY.US,60,20240507,170000,75.7,75.9,75.58,75.8,315016,0
SYY.US,60,20240507,180000,75.8,75.97,75.68,75.88,220703,0
SYY.US,60,20240507,190000,75.88,75.955,75.71,75.74,310969,0
SYY.US,60,20240507,200000,75.74,75.89,75.65,75.77,228693,0
SYY.US,60,20240507,210000,75.77,75.8,75.62,75.659,222321,0
SYY.US,60,20240507,220000,75.65,75.94,75.44,75.81,1285041,0
SYY.US,60,20240508,160000,75.51,76.28,75.41,75.85,101413,0
SYY.US,60,20240508,170000,75.78,75.8,75.2,75.28,265434,0
SYY.US,60,20240508,180000,75.29,75.38,74.75,74.82,364893,0
SYY.US,60,20240508,190000,74.82,75,74.69,74.71,245393,0
SYY.US,60,20240508,200000,74.71,74.8,74.61,74.66,117761,0
