<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
T.US,60,20240411,160000,16.67,16.695,16.5,16.505,3268721,0
T.US,60,20240411,170000,16.505,16.51,16.42,16.4531,6094430,0
T.US,60,20240411,180000,16.46,16.53,16.45,16.52,3552384,0
T.US,60,20240411,190000,16.53,16.54,16.47,16.4799,3442580,0
T.US,60,20240411,200000,16.475,16.56,16.465,16.555,2461244,0
T.US,60,20240411,210000,16.55,16.57,16.47,16.515,4433953,0
T.US,60,20240411,220000,16.515,16.53,16.42,16.42,11540872,0
T.US,60,20240412,160000,16.41,16.45,16.33,16.395,2769798,0
T.US,60,20240412,170000,16.39,16.46,16.37,16.435,4295054,0
T.US,60,20240412,180000,16.435,16.44,16.4,16.425,2360978,0
T.US,60,20240412,190000,16.42,16.43,16.34,16.34,2400389,0
T.US,60,20240412,200000,16.345,16.35,16.28,16.335,3374423,0
T.US,60,20240412,210000,16.33,16.37,16.3,16.315,3158125,0
T.US,60,20240412,220000,16.315,16.32,16.2525,16.31,9428926,0
T.US,60,20240415,160000,16.46,16.54,16.37,16.3971,2478555,0
T.US,60,20240415,170000,16.395,16.41,16.28,16.31,4654855,0
T.US,60,20240415,180000,16.305,16.4,16.3,16.385,4213596,0
T.US,60,20240415,190000,16.39,16.41,16.27,16.2901,2999944,0
T.US,60,20240415,200000,16.295,16.3,16.175,16.21,3536371,0
T.US,60,20240415,210000,16.215,16.23,16.17,16.185,2722279,0
T.US,60,20240415,220000,16.185,16.295,16.13,16.24,13112003,0
T.US,60,20240416,160000,16.22,16.23,16.03,16.0601,3014459,0
T.US,60,20240416,170000,16.0651,16.11,15.98,15.9877,5021706,0
T.US,60,20240416,180000,15.989,16.08,15.9401,16.065,5471009,0
T.US,60,20240416,190000,16.06,16.09,16.04,16.055,2551911,0
T.US,60,20240416,200000,16.055,16.06,15.99,16.015,2676184,0
T.US,60,20240416,210000,16.0135,16.06,15.95,16.05,2974907,0
T.US,60,20240416,220000,16.055,16.13,16.02,16.09,14781584,0
T.US,60,20240417,160000,16.11,16.24,16.08,16.225,1941430,0
T.US,60,20240417,170000,16.225,16.25,16.11,16.12,3078469,0
T.US,60,20240417,180000,16.12,16.13,16.06,16.1,3239331,0
T.US,60,20240417,190000,16.1,16.12,16.07,16.075,2258956,0
T.US,60,20240417,200000,16.07,16.12,16.06,16.11,2671114,0
T.US,60,20240417,210000,16.1001,16.17,16.1,16.125,2978761,0
T.US,60,20240417,220000,16.125,16.16,16.1,16.12,8295635,0
T.US,60,20240418,160000,16.11,16.18,16.09,16.155,1655103,0
T.US,60,20240418,170000,16.155,16.23,16.12,16.2,4317309,0
T.US,60,20240418,180000,16.1955,16.2,16.12,16.195,4166178,0
T.US,60,20240418,190000,16.2,16.22,16.16,16.185,2949776,0
T.US,60,20240418,200000,16.19,16.24,16.18,16.23,2458046,0
T.US,60,20240418,210000,16.225,16.255,16.205,16.235,2276090,0
T.US,60,20240418,220000,16.235,16.345,16.23,16.33,8567920,0
T.US,60,20240419,160000,16.33,16.41,16.3,16.4046,4458676,0
T.US,60,20240419,170000,16.405,16.425,16.285,16.29,5758807,0
T.US,60,20240419,180000,16.285,16.36,16.26,16.355,6898145,0
T.US,60,20240419,190000,16.355,16.39,16.28,16.375,4103504,0
T.US,60,20240419,200000,16.38,16.43,16.35,16.41,2869203,0
T.US,60,20240419,210000,16.415,16.51,16.38,16.5065,3954134,0
T.US,60,20240419,220000,16.505,16.525,16.42,16.51,13950928,0
T.US,60,20240422,160000,16.69,16.73,16.38,16.425,4598191,0
T.US,60,20240422,170000,16.425,16.44,16.3,16.36,7222885,0
T.US,60,20240422,180000,16.355,16.39,16.225,16.23,5918599,0
T.US,60,20240422,190000,16.235,16.24,16.1725,16.194,5596830,0
T.US,60,20240422,200000,16.195,16.35,16.17,16.34,5412416,0
T.US,60,20240422,210000,16.335,16.36,16.26,16.345,4908229,0
T.US,60,20240422,220000,16.345,16.38,16.27,16.31,13790998,0
T.US,60,20240423,160000,16.38,16.49,16.29,16.46,3430602,0
T.US,60,20240423,170000,16.465,16.48,16.37,16.465,6724840,0
T.US,60,20240423,180000,16.455,16.47,16.4,16.465,4864153,0
T.US,60,20240423,190000,16.465,16.52,16.45,16.515,4222488,0
T.US,60,20240423,200000,16.5125,16.53,16.4601,16.49,3342090,0
T.US,60,20240423,210000,16.495,16.5,16.435,16.465,4531162,0
T.US,60,20240423,220000,16.47,16.52,16.44,16.5,14078707,0
T.US,60,20240424,160000,16.9,17.03,16.46,16.58,11470329,0
T.US,60,20240424,170000,16.58,16.6,16.38,16.445,12333626,0
T.US,60,20240424,180000,16.44,16.54,16.43,16.462,6830479,0
T.US,60,20240424,190000,16.465,16.84,16.46,16.785,7559778,0
T.US,60,20240424,200000,16.785,16.85,16.72,16.825,5845895,0
T.US,60,20240424,210000,16.83,16.925,16.79,16.85,5517407,0
T.US,60,20240424,220000,16.855,16.95,16.78,16.81,16427763,0
T.US,60,20240425,160000,16.7,16.9955,16.66,16.665,4332926,0
T.US,60,20240425,170000,16.665,16.675,16.5,16.6034,6885587,0
T.US,60,20240425,180000,16.605,16.65,16.53,16.5699,4435067,0
T.US,60,20240425,190000,16.56,16.61,16.54,16.58,2864931,0
T.US,60,20240425,200000,16.5824,16.65,16.52,16.635,3585027,0
T.US,60,20240425,210000,16.64,16.645,16.54,16.565,3904895,0
T.US,60,20240425,220000,16.56,16.63,16.55,16.58,12479074,0
T.US,60,20240426,160000,16.47,16.71,16.39,16.66,3821143,0
T.US,60,20240426,170000,16.665,16.78,16.63,16.755,5082323,0
T.US,60,20240426,180000,16.76,16.88,16.755,16.865,4560277,0
T.US,60,20240426,190000,16.865,16.88,16.8,16.8358,2591697,0
T.US,60,20240426,200000,16.835,16.88,16.8025,16.815,2032569,0
T.US,60,20240426,210000,16.82,16.8457,16.78,16.8,1993710,0
T.US,60,20240426,220000,16.805,16.81,16.74,16.75,10785966,0
T.US,60,20240429,160000,17.01,17.28,16.99,17.22,5826332,0
T.US,60,20240429,170000,17.2284,17.28,17.18,17.2299,5894881,0
T.US,60,20240429,180000,17.2273,17.24,17.17,17.175,3562909,0
T.US,60,20240429,190000,17.17,17.19,17.11,17.125,3343818,0
T.US,60,20240429,200000,17.13,17.16,17.105,17.11,3082914,0
T.US,60,20240429,210000,17.115,17.16,17.035,17.055,3399954,0
T.US,60,20240429,220000,17.055,17.07,17,17.02,13705197,0
T.US,60,20240430,160000,16.91,16.94,16.8,16.84,2002197,0
T.US,60,20240430,170000,16.845,16.9674,16.82,16.95,3683178,0
T.US,60,20240430,180000,16.96,16.96,16.87,16.925,3586580,0
T.US,60,20240430,190000,16.92,16.945,16.89,16.935,2456748,0
T.US,60,20240430,200000,16.935,16.98,16.88,16.97,2330074,0
T.US,60,20240430,210000,16.97,16.98,16.88,16.92,2432511,0
T.US,60,20240430,220000,16.9183,16.95,16.89,16.89,11656373,0
T.US,60,20240501,160000,16.83,16.955,16.78,16.8388,3780744,0
T.US,60,20240501,170000,16.835,16.91,16.81,16.91,3235317,0
T.US,60,20240501,180000,16.91,17.04,16.9,17.04,4011954,0
T.US,60,20240501,190000,17.035,17.08,17.015,17.02,4519144,0
T.US,60,20240501,200000,17.025,17.05,17.01,17.02,2917981,0
T.US,60,20240501,210000,17.02,17.1,16.97,17.05,7009151,0
T.US,60,20240501,220000,17.05,17.0599,16.89,16.92,10652919,0
T.US,60,20240502,160000,16.99,16.99,16.81,16.84,2512732,0
T.US,60,20240502,170000,16.84,16.91,16.82,16.844,3361032,0
T.US,60,20240502,180000,16.845,16.9,16.81,16.825,3096145,0
T.US,60,20240502,190000,16.83,16.84,16.77,16.795,2443886,0
T.US,60,20240502,200000,16.8,16.89,16.79,16.8639,2738055,0
T.US,60,20240502,210000,16.865,16.88,16.84,16.855,1743784,0
T.US,60,20240502,220000,16.855,16.8599,16.73,16.82,11219417,0
T.US,60,20240507,160000,17.06,17.19,17.06,17.17,3295118,0
T.US,60,20240507,170000,17.17,17.21,17.05,17.07,4145783,0
T.US,60,20240507,180000,17.065,17.08,17.02,17.02,2306317,0
T.US,60,20240507,190000,17.02,17.05,17,17.035,1992541,0
T.US,60,20240507,200000,17.035,17.04,17.01,17.015,1568095,0
T.US,60,20240507,210000,17.02,17.09,17.01,17.09,2395934,0
T.US,60,20240507,220000,17.09,17.13,17.06,17.08,9087162,0
T.US,60,20240508,160000,17.03,17.135,17.03,17.055,1763840,0
