<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAL.US,60,20240411,160000,12,12.34,11.86,12.24,1117516,0
TAL.US,60,20240411,170000,12.24,12.24,12,12.07,1775378,0
TAL.US,60,20240411,180000,12.06,12.105,11.87,12.095,667272,0
TAL.US,60,20240411,190000,12.095,12.105,11.96,12.01,832566,0
TAL.US,60,20240411,200000,12.0025,12.12,12,12.055,774435,0
TAL.US,60,20240411,210000,12.05,12.235,12.05,12.21,785271,0
TAL.US,60,20240411,220000,12.205,12.26,12.145,12.21,2238325,0
TAL.US,60,20240412,160000,11.97,12.17,11.45,11.63,776570,0
TAL.US,60,20240412,170000,11.62,11.955,11.6,11.83,1056583,0
TAL.US,60,20240412,180000,11.82,11.94,11.785,11.875,571422,0
TAL.US,60,20240412,190000,11.875,11.895,11.685,11.735,788425,0
TAL.US,60,20240412,200000,11.74,11.89,11.7,11.865,808119,0
TAL.US,60,20240412,210000,11.865,11.89,11.665,11.67,1063484,0
TAL.US,60,20240412,220000,11.665,11.74,11.6,11.7,2482866,0
TAL.US,60,20240415,160000,11.83,12.15,11.83,11.975,712224,0
TAL.US,60,20240415,170000,11.97,12.09,11.845,11.86,794867,0
TAL.US,60,20240415,180000,11.865,11.95,11.82,11.885,736339,0
TAL.US,60,20240415,190000,11.885,11.91,11.82,11.87,848360,0
TAL.US,60,20240415,200000,11.87,11.915,11.71,11.755,466893,0
TAL.US,60,20240415,210000,11.755,11.76,11.7,11.71,342875,0
TAL.US,60,20240415,220000,11.71,11.77,11.625,11.76,3179918,0
TAL.US,60,20240416,160000,11.44,11.74,11.43,11.43,349350,0
TAL.US,60,20240416,170000,11.43,11.625,11.36,11.45,515649,0
TAL.US,60,20240416,180000,11.46,11.53,11.42,11.43,298265,0
TAL.US,60,20240416,190000,11.425,11.51,11.385,11.505,373212,0
TAL.US,60,20240416,200000,11.505,11.51,11.385,11.42,284503,0
TAL.US,60,20240416,210000,11.425,11.49,11.365,11.365,288720,0
TAL.US,60,20240416,220000,11.365,11.385,11.29,11.32,1049140,0
TAL.US,60,20240417,160000,11.42,11.535,11.385,11.465,365365,0
TAL.US,60,20240417,170000,11.47,11.65,11.46,11.64,736344,0
TAL.US,60,20240417,180000,11.63,11.71,11.61,11.64,348691,0
TAL.US,60,20240417,190000,11.635,11.73,11.59,11.705,422507,0
TAL.US,60,20240417,200000,11.71,11.875,11.705,11.875,450544,0
TAL.US,60,20240417,210000,11.875,11.89,11.785,11.82,459463,0
TAL.US,60,20240417,220000,11.815,11.83,11.62,11.62,1315795,0
TAL.US,60,20240418,160000,11.8,12.0801,11.78,11.86,318472,0
TAL.US,60,20240418,170000,11.84,12.07,11.735,11.995,707202,0
TAL.US,60,20240418,180000,11.995,12.01,11.88,11.88,314778,0
TAL.US,60,20240418,190000,11.88,11.8994,11.72,11.72,314762,0
TAL.US,60,20240418,200000,11.725,11.7495,11.61,11.69,389188,0
TAL.US,60,20240418,210000,11.68,11.685,11.59,11.61,168929,0
TAL.US,60,20240418,220000,11.605,11.68,11.595,11.65,950008,0
TAL.US,60,20240419,160000,11.55,11.625,11.41,11.5,244809,0
TAL.US,60,20240419,170000,11.5,11.51,11.41,11.475,214863,0
TAL.US,60,20240419,180000,11.47,11.54,11.435,11.48,191250,0
TAL.US,60,20240419,190000,11.475,11.4988,11.41,11.495,174388,0
TAL.US,60,20240419,200000,11.495,11.54,11.47,11.49,131953,0
TAL.US,60,20240419,210000,11.49,11.49,11.4213,11.435,159424,0
TAL.US,60,20240419,220000,11.43,11.48,11.38,11.44,491459,0
TAL.US,60,20240422,160000,11.6,11.78,11.6,11.61,680592,0
TAL.US,60,20240422,170000,11.612,11.755,11.612,11.7,498394,0
TAL.US,60,20240422,180000,11.7,11.74,11.67,11.685,432003,0
TAL.US,60,20240422,190000,11.685,11.875,11.6725,11.87,419823,0
TAL.US,60,20240422,200000,11.88,12.02,11.87,11.99,508999,0
TAL.US,60,20240422,210000,11.99,12.1,11.98,12.05,533346,0
TAL.US,60,20240422,220000,12.05,12.06,11.945,11.95,2206899,0
TAL.US,60,20240423,160000,12.57,12.66,12.03,12.06,766166,0
TAL.US,60,20240423,170000,12.07,12.24,11.985,12.15,742492,0
TAL.US,60,20240423,180000,12.1489,12.2,12.02,12.095,507625,0
TAL.US,60,20240423,190000,12.09,12.15,12.075,12.13,292034,0
TAL.US,60,20240423,200000,12.135,12.23,12.135,12.21,310713,0
TAL.US,60,20240423,210000,12.2,12.27,12.17,12.23,288146,0
TAL.US,60,20240423,220000,12.225,12.24,12.19,12.19,1134163,0
TAL.US,60,20240424,160000,12,12.275,11.67,11.7,1412834,0
TAL.US,60,20240424,170000,11.69,12.255,11.63,12,2763011,0
TAL.US,60,20240424,180000,11.995,12.18,11.9625,12.1,1313394,0
TAL.US,60,20240424,190000,12.1,12.17,12.06,12.17,1132061,0
