<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TAP.US,60,20240411,160000,65.637,66.0441,65.4239,65.86,74061.53157791121,0
TAP.US,60,20240411,170000,65.8454,65.86,65.3076,65.6855,83552.816148065,0
TAP.US,60,20240411,180000,65.6662,65.7147,64.9975,65.2883,263144.26528469,0
TAP.US,60,20240411,190000,65.2979,65.4723,65.201,65.4433,37506.981034566,0
TAP.US,60,20240411,200000,65.4626,65.6662,65.3174,65.5015,61566.427766214,0
TAP.US,60,20240411,210000,65.4918,65.7631,65.4918,65.6855,95939.571962385,0
TAP.US,60,20240411,220000,65.6855,65.7873,65.5596,65.7147,460198.31594128,0
TAP.US,60,20240412,160000,65.453,65.5789,65.1429,65.2446,33934.592778220045,0
TAP.US,60,20240412,170000,65.2107,65.2253,64.3676,64.3676,108290.21177758,0
TAP.US,60,20240412,180000,64.3676,64.6583,64.0478,64.6583,73162.759142534,0
TAP.US,60,20240412,190000,64.6583,64.765,64.5226,64.5712,45923.040716472,0
TAP.US,60,20240412,200000,64.5614,64.6099,64.4064,64.513,48067.299178831,0
TAP.US,60,20240412,210000,64.4934,64.5904,64.3579,64.3967,66400.812220571,0
TAP.US,60,20240412,220000,64.3676,64.5614,64.2513,64.2901,579850.62104371,0
TAP.US,60,20240415,160000,64.8037,64.8037,64.2998,64.4064,56259.43966615993,0
TAP.US,60,20240415,170000,64.3967,64.4738,64.0284,64.2901,169488.25635272,0
TAP.US,60,20240415,180000,64.2901,64.2998,63.6601,63.6772,108831.95176446,0
TAP.US,60,20240415,190000,63.6796,63.7274,63.379,63.5196,80223.952914393,0
TAP.US,60,20240415,200000,63.505,63.505,63.0884,63.2434,93081.248603033,0
TAP.US,60,20240415,210000,63.2338,63.3694,63.0012,63.0496,111377.61375996,0
TAP.US,60,20240415,220000,63.0398,63.0496,62.6911,62.7686,841000.25129099,0
TAP.US,60,20240416,160000,62.6329,62.7977,62.0224,62.2356,35631.01285142426,0
TAP.US,60,20240416,170000,62.2162,62.2162,61.722,62.1474,138667.89458479,0
TAP.US,60,20240416,180000,62.158,62.2787,61.8383,61.974,126623.72481932,0
TAP.US,60,20240416,190000,61.974,62.129,61.8455,61.9448,128400.63197629,0
TAP.US,60,20240416,200000,61.94,62.095,61.6736,61.7511,91106.219393718,0
TAP.US,60,20240416,210000,61.7461,61.9932,61.5281,61.7703,124921.11343198,0
TAP.US,60,20240416,220000,61.7801,61.7898,61.218,61.3052,951216.99365049,0
TAP.US,60,20240417,160000,61.6736,61.9886,61.5088,61.9836,77179.89013096664,0
TAP.US,60,20240417,170000,61.974,62.3615,61.5862,61.8577,107381.12048531,0
TAP.US,60,20240417,180000,61.8624,62.0999,61.8479,62.0418,106633.00336057,0
TAP.US,60,20240417,190000,62.0224,62.2211,61.9546,62.0611,80393.182167437,0
TAP.US,60,20240417,200000,62.0418,62.0756,61.9397,61.9982,67965.150925545,0
TAP.US,60,20240417,210000,61.9982,62.0128,61.625,61.6445,108939.26787615,0
TAP.US,60,20240417,220000,61.6445,61.688,61.4021,61.5766,750239.71360318,0
TAP.US,60,20240418,160000,61.9546,62.2936,61.9546,62.2113,27792.8091555245,0
TAP.US,60,20240418,170000,62.2356,62.3325,61.9448,62.129,75001.579440861,0
TAP.US,60,20240418,180000,62.129,62.158,61.877,61.9789,89321.057151235,0
TAP.US,60,20240418,190000,61.9836,62.032,61.7269,61.7607,70404.528695043,0
TAP.US,60,20240418,200000,61.7703,61.7946,61.5862,61.6347,69898.904707287,0
TAP.US,60,20240418,210000,61.6396,61.7316,61.5184,61.7025,80124.89188822,0
TAP.US,60,20240418,220000,61.7123,61.94,61.6832,61.9062,697455.66493858,0
TAP.US,60,20240419,160000,62.032,62.3765,61.7413,62.2065,81684.07116474792,0
TAP.US,60,20240419,170000,62.1774,62.4779,62.1678,62.3131,46252.212251358,0
TAP.US,60,20240419,180000,62.3035,62.7347,62.2936,62.5651,145225.52814028,0
TAP.US,60,20240419,190000,62.5651,62.662,62.3325,62.662,74910.773500203,0
TAP.US,60,20240419,200000,62.6281,62.6281,62.3228,62.4198,59899.932378,0
TAP.US,60,20240419,210000,62.4149,62.4149,62.1871,62.381,68920.677073834,0
TAP.US,60,20240419,220000,62.376,62.4973,62.1871,62.2648,215532.02769484,0
TAP.US,60,20240422,160000,62.3858,62.4973,62.0563,62.1774,43257.67998101815,0
TAP.US,60,20240422,170000,62.1678,62.851,62.1096,62.7298,125796.1524965,0
TAP.US,60,20240422,180000,62.7395,62.7686,62.4099,62.7395,103538.37817837,0
TAP.US,60,20240422,190000,62.7395,63.0206,62.6814,62.9332,116670.15546036,0
TAP.US,60,20240422,200000,62.9431,63.2192,62.8848,63.1368,88569.844369427,0
TAP.US,60,20240422,210000,63.1368,63.1368,62.8655,62.9431,89507.828460997,0
TAP.US,60,20240422,220000,62.9431,62.9721,62.5069,62.5264,600781.39036541,0
TAP.US,60,20240423,160000,61.9546,62.8169,61.7413,61.9158,115883.85856511728,0
TAP.US,60,20240423,170000,61.8964,62.1668,61.6783,61.9109,328103.53319731,0
TAP.US,60,20240423,180000,61.8964,62.1678,61.7777,61.9352,84653.838178545,0
TAP.US,60,20240423,190000,61.9352,61.9836,61.7656,61.9304,87801.0895309,0
TAP.US,60,20240423,200000,61.9254,62.0418,61.8092,62.0128,85250.268106958,0
TAP.US,60,20240423,210000,62.0078,62.1774,61.9352,62.1193,69474.799688986,0
TAP.US,60,20240423,220000,62.129,62.3035,62.0514,62.1871,724412.64668577,0
TAP.US,60,20240424,160000,60.5009,61.2859,59.7934,61.0629,230253.9408240359,0
TAP.US,60,20240424,170000,61.0871,61.9352,61.0533,61.9062,248294.39833001,0
TAP.US,60,20240424,180000,61.9254,62.1096,61.722,61.9932,154233.89020784,0
TAP.US,60,20240424,190000,62.0029,62.1387,61.9062,61.9642,107354.29145739,0
TAP.US,60,20240424,200000,61.9546,62.1968,61.9062,61.9448,108751.4646807,0
TAP.US,60,20240424,210000,61.9546,62.1678,61.9062,62.066,141063.93315534,0
TAP.US,60,20240424,220000,62.0611,62.158,61.7025,61.7316,814785.1953544,0
TAP.US,60,20240425,160000,61.4507,61.9158,60.8692,60.9661,76167.61026976633,0
TAP.US,60,20240425,170000,60.9419,61.0582,60.7044,60.7286,130811.11694649,0
TAP.US,60,20240425,180000,60.7141,60.7722,60.3943,60.6947,109012.53176009,0
TAP.US,60,20240425,190000,60.656,60.7819,60.4137,60.7722,78530.628498256,0
TAP.US,60,20240425,200000,60.7528,60.9466,60.5446,60.8595,59343.745991469,0
TAP.US,60,20240425,210000,60.8352,60.9177,60.6269,60.9078,91981.258458242,0
TAP.US,60,20240425,220000,60.9177,61.0242,60.8013,60.8788,719785.67125496,0
TAP.US,60,20240426,160000,60.9661,61.3198,60.9078,60.9951,34180.18157227273,0
TAP.US,60,20240426,170000,61.0629,61.1792,60.811,61.1211,54115.181203801,0
TAP.US,60,20240426,180000,61.1114,61.1986,60.937,61.0871,71355.927300575,0
TAP.US,60,20240426,190000,61.0533,61.1792,60.8788,60.9177,65239.940820111,0
TAP.US,60,20240426,200000,60.9177,60.937,60.7722,60.9078,72095.7893398,0
TAP.US,60,20240426,210000,60.8982,60.9612,60.7044,60.8692,112445.61544838,0
TAP.US,60,20240426,220000,60.8788,60.9466,60.5784,60.6075,627870.45348084,0
TAP.US,60,20240429,160000,60.8013,61.8479,60.7949,61.2083,120914.30130044,0
TAP.US,60,20240429,170000,61.189,62.2065,61.0533,61.6541,402250.71128743,0
TAP.US,60,20240429,180000,61.6541,61.7995,61.4991,61.6154,79018.710429294,0
TAP.US,60,20240429,190000,61.6154,61.7897,61.6057,61.6154,79832.868238149,0
TAP.US,60,20240429,200000,61.6154,61.7123,61.5088,61.533,91766.626234869,0
TAP.US,60,20240429,210000,61.5184,61.6832,61.4749,61.6445,142758.28945717,0
TAP.US,60,20240429,220000,61.625,61.7025,61.3925,61.596,852924.7223165,0
TAP.US,60,20240430,160000,60.5688,60.9951,56.4985,57.0702,648492.6889814361,0
TAP.US,60,20240430,170000,57.0654,57.8455,56.421,57.7632,765591.07700286,0
TAP.US,60,20240430,180000,57.7583,57.9135,56.828,57.2882,456277.15032195,0
TAP.US,60,20240430,190000,57.2738,57.3028,56.7505,56.925,396051.14206614,0
TAP.US,60,20240430,200000,56.9152,57.0697,56.2756,56.2852,338581.30048643,0
TAP.US,60,20240430,210000,56.2852,56.4888,56.0916,56.3976,332136.14247108,0
TAP.US,60,20240430,220000,56.3967,56.5421,55.4906,55.4906,1567006.129481,0
TAP.US,60,20240501,160000,55.0933,56.7505,55.006,56.014,230524.2948746317,0
TAP.US,60,20240501,170000,56.0527,56.1012,55.1514,55.1612,318304.74669175,0
TAP.US,60,20240501,180000,55.1493,55.7233,55.1493,55.6166,216639.24103945,0
TAP.US,60,20240501,190000,55.607,55.6554,55.2387,55.2775,95058.341583726,0
TAP.US,60,20240501,200000,55.2677,55.3549,55.103,55.2677,101028.832182,0
TAP.US,60,20240501,210000,55.2677,55.83,55.1321,55.82,194598.16271607,0
TAP.US,60,20240501,220000,55.83,55.83,55.2871,55.3163,862964.97007336,0
TAP.US,60,20240502,160000,55.3744,56.9443,55.3549,56.8474,190769.86680877677,0
TAP.US,60,20240502,170000,56.8377,56.9733,56.421,56.4598,209420.16875713,0
TAP.US,60,20240502,180000,56.45,56.7892,56.2756,56.5082,228595.70052134,0
TAP.US,60,20240502,190000,56.5179,56.8765,56.4404,56.828,132266.0757684,0
TAP.US,60,20240502,200000,56.828,56.879,56.6316,56.702,152968.79835276,0
TAP.US,60,20240502,210000,56.6924,56.7602,56.5567,56.6293,216884.8298335,0
TAP.US,60,20240502,220000,56.6245,56.6245,55.8831,56.014,951305.73581977,0
TAP.US,60,20240507,160000,55.888,56.6245,55.8154,56.3775,132013.26377451816,0
TAP.US,60,20240507,170000,56.3725,56.3919,55.8396,56.0043,218502.82659432,0
TAP.US,60,20240507,180000,56.014,56.0916,55.8686,55.8928,190571.74475643,0
TAP.US,60,20240507,190000,55.888,55.9364,55.6941,55.8056,191611.88553124,0
TAP.US,60,20240507,200000,55.8246,55.9316,55.7233,55.7814,206713.5325941,0
TAP.US,60,20240507,210000,55.7717,56.5034,55.7717,56.3821,338087.02724126,0
TAP.US,60,20240507,220000,56.3829,56.5567,56.2951,56.4695,1025789.3086446,0
TAP.US,60,20240508,160000,56.6438,57.1478,56.5761,56.92,81168.1283200994,0
TAP.US,60,20240508,170000,56.9346,56.9346,56.4791,56.6148,146018.01634966,0
TAP.US,60,20240508,180000,56.6245,56.7699,56.5761,56.7602,104886.02088859,0
TAP.US,60,20240508,190000,56.7602,56.8086,56.6682,56.7505,88955.769617224,0
TAP.US,60,20240508,200000,56.7505,56.8135,56.6826,56.702,103472.33749425,0
TAP.US,60,20240508,210000,56.702,56.7505,56.4645,56.4695,204999.57046418,0
TAP.US,60,20240508,220000,56.45,56.5469,56.169,56.4113,644467.30290749,0
TAP.US,60,20240509,160000,56.4791,56.8377,56.4695,56.6003,30939.02862219096,0
TAP.US,60,20240509,170000,56.6148,57.0509,56.6003,56.954,184099.75771316,0
TAP.US,60,20240509,180000,56.9637,56.9637,56.7989,56.857,75384.40903159,0
TAP.US,60,20240509,190000,56.8474,56.9636,56.7844,56.8764,73177.205542184,0
TAP.US,60,20240509,200000,56.857,56.8765,56.7311,56.7941,82739.690224899,0
TAP.US,60,20240509,210000,56.7941,56.8925,56.736,56.8377,115451.4984613,0
TAP.US,60,20240509,220000,56.8377,57.0315,56.7505,56.9928,565226.737055,0
TAP.US,60,20240510,160000,57.0024,57.4483,56.9443,57.3028,74370.065399011,0
TAP.US,60,20240510,170000,57.2932,57.4095,57.0219,57.2544,136661.9088048,0
TAP.US,60,20240510,180000,57.264,57.2738,56.9832,57.1962,79044.507571526,0
TAP.US,60,20240510,190000,57.1888,57.2349,57.1091,57.2059,80485.019993785,0
TAP.US,60,20240510,200000,57.2157,57.2836,57.1381,57.2544,67296.48899888,0
TAP.US,60,20240510,210000,57.264,57.4966,57.2448,57.4966,145928.24229469,0
TAP.US,60,20240510,220000,57.4966,57.5878,57.1866,57.2253,682253.92496385,0
TAP.US,60,20240513,160000,57.2253,57.5111,57.0219,57.4773,44859.16657080705,0
TAP.US,60,20240513,170000,57.4725,57.5452,57.2544,57.2836,95004.683527882,0
