<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TGT.US,60,20240411,160000,172.79,173.045,171.62,172.04,133949,0
TGT.US,60,20240411,170000,172.05,172.05,170.43,170.85,189969,0
TGT.US,60,20240411,180000,170.86,171.2,170.385,171.05,126200,0
TGT.US,60,20240411,190000,171.065,171.66,171.025,171.41,104431,0
TGT.US,60,20240411,200000,171.44,172.23,171.195,171.93,101802,0
TGT.US,60,20240411,210000,171.97,172.43,171.835,171.97,97501,0
TGT.US,60,20240411,220000,172.03,172.12,171.29,171.33,868057,0
TGT.US,60,20240412,160000,170.82,171.06,168.97,169.49,179324,0
TGT.US,60,20240412,170000,169.42,169.42,167.78,168.095,278851,0
TGT.US,60,20240412,180000,168.055,169.025,168.035,168.34,145235,0
TGT.US,60,20240412,190000,168.34,168.385,167.15,167.24,134083,0
TGT.US,60,20240412,200000,167.245,167.63,166.755,166.975,225146,0
TGT.US,60,20240412,210000,166.95,167.28,166.51,166.84,164643,0
TGT.US,60,20240412,220000,166.81,166.82,165.7814,166.12,956460,0
TGT.US,60,20240415,160000,169.18,169.8,167.42,168.01,189378,0
TGT.US,60,20240415,170000,168.01,168.16,166.785,166.9,275444,0
TGT.US,60,20240415,180000,166.92,167.7225,166.81,167.505,190586,0
TGT.US,60,20240415,190000,167.5,167.7675,166.81,166.91,123050,0
TGT.US,60,20240415,200000,166.9,167.245,166.31,166.82,119717,0
TGT.US,60,20240415,210000,166.81,166.94,165.73,165.96,189766,0
TGT.US,60,20240415,220000,165.975,166.15,164.96,165.01,2256322,0
TGT.US,60,20240416,160000,165.06,166,162.63,162.83,118284,0
TGT.US,60,20240416,170000,162.91,163.655,162.28,162.83,331266,0
TGT.US,60,20240416,180000,162.8,163.69,162.54,163.13,256411,0
TGT.US,60,20240416,190000,163.08,163.5825,163,163.11,150486,0
TGT.US,60,20240416,200000,163.13,163.495,162.5,162.91,176998,0
TGT.US,60,20240416,210000,162.905,163.73,162.2101,163.675,260887,0
TGT.US,60,20240416,220000,163.675,163.71,162.84,163.32,1021850,0
TGT.US,60,20240417,160000,166.75,167.94,165.995,167.26,401662,0
TGT.US,60,20240417,170000,167.29,167.29,164.95,165.17,396745,0
TGT.US,60,20240417,180000,165.18,165.82,164.37,164.45,287310,0
TGT.US,60,20240417,190000,164.46,164.46,163.87,164.1359,190386,0
TGT.US,60,20240417,200000,164.1,165.11,164.07,164.7901,200493,0
TGT.US,60,20240417,210000,164.77,165.48,164.39,164.535,218859,0
TGT.US,60,20240417,220000,164.52,164.74,163.87,164.47,882677,0
TGT.US,60,20240418,160000,165.72,166.32,165.18,166.12,207356,0
TGT.US,60,20240418,170000,166.1,167.325,165.64,167.145,341355,0
TGT.US,60,20240418,180000,167.16,167.53,166.93,167.14,214912,0
TGT.US,60,20240418,190000,167.14,167.53,166.56,166.81,214875,0
TGT.US,60,20240418,200000,166.82,166.95,166.21,166.645,175488,0
TGT.US,60,20240418,210000,166.6,166.8,166.26,166.565,189891,0
TGT.US,60,20240418,220000,166.56,166.98,166.36,166.58,823320,0
TGT.US,60,20240419,160000,167.33,168.08,166.9475,168.01,247170,0
TGT.US,60,20240419,170000,168.04,168.47,166.77,167.4225,381011,0
TGT.US,60,20240419,180000,167.425,168.15,167.04,167.68,143051,0
TGT.US,60,20240419,190000,167.65,167.95,167.12,167.85,198389,0
TGT.US,60,20240419,200000,167.86,168.13,167.6,167.865,159329,0
TGT.US,60,20240419,210000,167.87,167.92,167.36,167.855,173388,0
TGT.US,60,20240419,220000,167.83,168.39,167.5,168.3,554323,0
TGT.US,60,20240422,160000,168.76,169.09,166.94,167.33,120203,0
TGT.US,60,20240422,170000,167.315,167.61,166.0342,166.38,122800,0
TGT.US,60,20240422,180000,166.38,166.71,166.15,166.635,74265,0
TGT.US,60,20240422,190000,166.735,167.63,166.5301,167.63,65020,0
TGT.US,60,20240422,200000,167.6,168.56,167.49,168.43,106479,0
TGT.US,60,20240422,210000,168.4,168.45,167.56,167.67,207929,0
TGT.US,60,20240422,220000,167.68,167.81,166.9,167.11,768473,0
TGT.US,60,20240423,160000,167.64,168.01,166.45,167.5,80449,0
TGT.US,60,20240423,170000,167.475,168.01,166.37,166.37,162086,0
TGT.US,60,20240423,180000,166.42,167,166.1301,166.3704,102467,0
TGT.US,60,20240423,190000,166.4,166.83,166.28,166.51,151181,0
TGT.US,60,20240423,200000,166.47,166.58,166.245,166.54,71184,0
TGT.US,60,20240423,210000,166.52,166.595,166.3,166.47,106990,0
TGT.US,60,20240423,220000,166.45,166.53,166.1,166.53,597778,0
TGT.US,60,20240424,160000,165.03,166.0475,164.79,165.505,137625,0
TGT.US,60,20240424,170000,165.56,166.012,165.24,165.685,163016,0
TGT.US,60,20240424,180000,165.69,166.54,165.43,165.8,204551,0
TGT.US,60,20240424,190000,165.77,166.16,165.56,165.855,105298,0
TGT.US,60,20240424,200000,165.855,166.25,165.75,166.095,88170,0
TGT.US,60,20240424,210000,166.08,166.1,165.64,165.66,119115,0
TGT.US,60,20240424,220000,165.64,166.295,165.25,165.34,730302,0
TGT.US,60,20240425,160000,163.89,164.63,163.1777,163.3937,114506,0
TGT.US,60,20240425,170000,163.39,164.155,163.36,164.07,122055,0
TGT.US,60,20240425,180000,164.075,164.66,163.99,164.435,170534,0
TGT.US,60,20240425,190000,164.435,165.15,164.32,165.01,150632,0
TGT.US,60,20240425,200000,165.06,165.08,164.41,164.8,75559,0
TGT.US,60,20240425,210000,164.8,164.84,164.21,164.52,146207,0
TGT.US,60,20240425,220000,164.54,164.85,163.905,164.44,1222222,0
TGT.US,60,20240426,160000,165.15,165.755,164.14,165.65,104511,0
TGT.US,60,20240426,170000,165.54,166.25,165.095,165.11,103817,0
TGT.US,60,20240426,180000,165.125,165.63,165.07,165.285,102123,0
TGT.US,60,20240426,190000,165.25,165.865,165.14,165.7901,118336,0
TGT.US,60,20240426,200000,165.805,166.275,165.705,165.78,92393,0
TGT.US,60,20240426,210000,165.71,165.81,165.13,165.49,70341,0
TGT.US,60,20240426,220000,165.5,165.51,164.48,164.74,661252,0
TGT.US,60,20240429,160000,164.7,165.72,163.47,163.49,169284,0
TGT.US,60,20240429,170000,163.5399,163.92,162.88,163.415,244909,0
TGT.US,60,20240429,180000,163.41,163.5,162.36,162.64,225052,0
TGT.US,60,20240429,190000,162.64,163.09,162.06,162.09,158677,0
TGT.US,60,20240429,200000,162.14,162.88,162.13,162.72,121278,0
TGT.US,60,20240429,210000,162.69,163.12,162.65,162.96,90744,0
TGT.US,60,20240429,220000,162.93,163.75,162.26,163.73,814323,0
TGT.US,60,20240430,160000,162.45,162.63,160.84,160.855,154485,0
TGT.US,60,20240430,170000,160.865,161.79,160.7,161.515,185427,0
TGT.US,60,20240430,180000,161.49,161.76,160.86,161.2474,91404,0
TGT.US,60,20240430,190000,161.25,161.41,160.43,160.57,113765,0
TGT.US,60,20240430,200000,160.58,161.24,160.42,161.13,127633,0
TGT.US,60,20240430,210000,161.15,161.23,160.84,161.065,92398,0
TGT.US,60,20240430,220000,161.07,161.37,160.74,160.98,1411209,0
TGT.US,60,20240501,160000,160.83,161.63,158.415,158.69,229180,0
TGT.US,60,20240501,170000,158.61,159.1107,157.47,158.06,359827,0
TGT.US,60,20240501,180000,158.08,158.29,157.37,157.97,275560,0
TGT.US,60,20240501,190000,157.95,158.75,157.91,158.13,167391,0
TGT.US,60,20240501,200000,158.13,158.52,157.94,158.11,164692,0
TGT.US,60,20240501,210000,158.245,159.11,157.5,158.86,242482,0
TGT.US,60,20240501,220000,158.9,159.22,156.33,156.43,1461894,0
TGT.US,60,20240502,160000,157.29,157.46,155.8,157.05,272887,0
TGT.US,60,20240502,170000,157.055,157.93,156.74,157.22,478108,0
TGT.US,60,20240502,180000,157.2,157.95,157.06,157.13,441688,0
TGT.US,60,20240502,190000,157.14,157.22,156.69,156.9497,254740,0
TGT.US,60,20240502,200000,156.935,158.08,156.9,158.075,159043,0
TGT.US,60,20240502,210000,158.06,158.64,158.034,158.51,160645,0
TGT.US,60,20240502,220000,158.49,158.5,157.77,158.12,921485,0
TGT.US,60,20240507,160000,161.07,162.36,160.66,161.29,339795,0
TGT.US,60,20240507,170000,161.29,161.37,159.92,160.69,346863,0
TGT.US,60,20240507,180000,160.68,161.09,160.22,160.8572,130691,0
TGT.US,60,20240507,190000,160.9199,160.9199,160.25,160.65,118352,0
TGT.US,60,20240507,200000,160.67,160.74,160.05,160.21,71980,0
TGT.US,60,20240507,210000,160.23,160.29,159.92,160.01,77987,0
TGT.US,60,20240507,220000,160.01,160.55,159.84,160.41,646036,0
TGT.US,60,20240508,160000,159,161.25,158.99,160.93,131160,0
TGT.US,60,20240508,170000,160.88,160.95,159.69,160.465,149744,0
TGT.US,60,20240508,180000,160.45,160.96,160.32,160.6,101641,0
TGT.US,60,20240508,190000,160.6,160.91,160.37,160.75,100060,0
TGT.US,60,20240508,200000,160.76,160.87,160.46,160.57,100764,0
TGT.US,60,20240508,210000,160.55,160.9,160.04,160.04,117629,0
TGT.US,60,20240508,220000,160.02,160.57,159.3,159.59,851691,0
TGT.US,60,20240509,160000,159.44,160.5,159.04,160.42,74034,0
TGT.US,60,20240509,170000,160.425,162.935,160.39,162.75,233988,0
TGT.US,60,20240509,180000,162.7334,162.88,162.145,162.29,280995,0
TGT.US,60,20240509,190000,162.28,163.18,162.14,163.04,105766,0
TGT.US,60,20240509,200000,163.07,163.35,162.89,163.07,116093,0
TGT.US,60,20240509,210000,163.07,163.89,162.975,163.72,122721,0
TGT.US,60,20240509,220000,163.71,164.4,163.66,164.32,747396,0
TGT.US,60,20240510,160000,164.61,165.65,163.17,163.29,165248,0
TGT.US,60,20240510,170000,163.3,163.3,162.36,162.98,215996,0
TGT.US,60,20240510,180000,162.99,162.99,162.39,162.485,112616,0
TGT.US,60,20240510,190000,162.47,162.88,161.7,162.65,280278,0
TGT.US,60,20240510,200000,162.615,163.17,162.01,163.17,133801,0
TGT.US,60,20240510,210000,163.14,163.18,162.37,162.48,115846,0
TGT.US,60,20240510,220000,162.48,163.485,162.47,163.13,650005,0
TGT.US,60,20240513,160000,164.21,164.4,162.43,163.44,213892,0
TGT.US,60,20240513,170000,163.51,163.59,161.95,162.18,141474,0
TGT.US,60,20240513,180000,162.18,162.49,161.39,161.615,157985,0
TGT.US,60,20240513,190000,161.615,161.73,160.92,160.99,154183,0
TGT.US,60,20240513,200000,160.99,161.31,160.79,161.08,110151,0
TGT.US,60,20240513,210000,161.11,161.15,160.745,161.01,112013,0
TGT.US,60,20240513,220000,161.025,161.25,160.59,160.9,680636,0
TGT.US,60,20240514,160000,160.3,161.6,160.08,161.3,193825,0
TGT.US,60,20240514,170000,161.345,161.6,160.18,160.265,191525,0
TGT.US,60,20240514,180000,160.31,160.4,159.019,159.13,233406,0
TGT.US,60,20240514,190000,159.13,159.23,158.725,158.9,131007,0
TGT.US,60,20240514,200000,158.925,159.18,158.58,159.07,99631,0
TGT.US,60,20240514,210000,159.07,159.66,159.0096,159.515,108988,0
TGT.US,60,20240514,220000,159.51,159.5493,158.77,158.96,711446,0
TGT.US,60,20240515,160000,160.61,161.08,159.09,159.43,129615,0
TGT.US,60,20240515,170000,159.5,159.5,158.56,159.36,130003,0
TGT.US,60,20240515,180000,159.4,159.48,158.69,158.69,92995,0
TGT.US,60,20240515,190000,158.66,158.83,158.46,158.675,105800,0
TGT.US,60,20240515,200000,158.7,158.7,158.05,158.11,231896,0
TGT.US,60,20240515,210000,158.095,158.35,157.61,157.61,155739,0
TGT.US,60,20240515,220000,157.64,157.78,157.04,157.51,873014,0
TGT.US,60,20240516,160000,160.25,163.65,159.72,162.1075,649000,0
TGT.US,60,20240516,170000,162.125,163.45,161.4,162.395,707765,0
TGT.US,60,20240516,180000,162.34,162.78,161.68,162.71,305478,0
TGT.US,60,20240516,190000,162.71,163.3052,162.46,162.965,308831,0
TGT.US,60,20240516,200000,163,163.325,162.65,163,239108,0
TGT.US,60,20240516,210000,163,163.04,161.99,162.27,335269,0
TGT.US,60,20240516,220000,162.3,162.34,160.64,160.65,1066639,0
TGT.US,60,20240517,160000,160.18,160.465,159.1,160.21,207401,0
TGT.US,60,20240517,170000,160.16,160.16,159.195,159.83,253181,0
TGT.US,60,20240517,180000,159.84,160.055,159.25,159.7226,342975,0
TGT.US,60,20240517,190000,159.77,159.94,159.42,159.73,110468,0
TGT.US,60,20240517,200000,159.72,159.85,159.52,159.67,98742,0
TGT.US,60,20240517,210000,159.66,160.17,159.3875,160.16,186562,0
TGT.US,60,20240517,220000,160.18,160.37,159.86,160.13,1244207,0
TGT.US,60,20240520,160000,159.9,160.8,157.78,158.25,288464,0
TGT.US,60,20240520,170000,158.31,158.8,157.39,158.34,396292,0
TGT.US,60,20240520,180000,158.355,158.43,157.27,157.39,286492,0
TGT.US,60,20240520,190000,157.39,157.39,156.45,156.9101,282088,0
TGT.US,60,20240520,200000,156.95,157.17,156.57,156.575,224321,0
TGT.US,60,20240520,210000,156.5782,157,156.25,156.6,232602,0
TGT.US,60,20240520,220000,156.595,156.83,155.96,156.71,946566,0
TGT.US,60,20240521,160000,156.71,156.84,154.86,155.9125,408404,0
TGT.US,60,20240521,170000,155.91,156.22,155.15,155.36,377703,0
TGT.US,60,20240521,180000,155.35,155.38,154.9,155.18,297736,0
TGT.US,60,20240521,190000,155.18,155.61,154.9201,155.39,294642,0
TGT.US,60,20240521,200000,155.3938,155.65,155.27,155.49,217491,0
TGT.US,60,20240521,210000,155.4801,155.79,155.18,155.46,404087,0
TGT.US,60,20240521,220000,155.4917,155.89,154.65,155.78,1742914,0
TGT.US,60,20240522,160000,140.54,143.62,139.98,142.06,3116498,0
