<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THS.US,60,20240411,160000,37.16,37.18,36.93,37.11,5669,0
THS.US,60,20240411,170000,37.1,37.14,36.79,36.85,9304,0
THS.US,60,20240411,180000,36.8,37.12,36.66,37.12,19734,0
THS.US,60,20240411,190000,37.15,37.21,36.9,37.13,142537,0
THS.US,60,20240411,200000,37.11,37.22,36.94,37.03,50130,0
THS.US,60,20240411,210000,37.025,37.07,36.84,36.98,23938,0
THS.US,60,20240411,220000,36.98,37.1,36.945,37.06,139713,0
THS.US,60,20240412,160000,36.98,37.055,36.91,36.925,4881,0
THS.US,60,20240412,170000,36.89,37.0825,36.83,36.98,13241,0
THS.US,60,20240412,180000,36.985,36.985,36.865,36.94,23171,0
THS.US,60,20240412,190000,36.94,37.025,36.82,36.84,19179,0
THS.US,60,20240412,200000,36.82,36.85,36.71,36.77,18122,0
THS.US,60,20240412,210000,36.775,36.89,36.45,36.45,28004,0
THS.US,60,20240412,220000,36.43,36.475,36.18,36.32,139804,0
THS.US,60,20240415,160000,36.4,36.64,36.4,36.47,4717,0
THS.US,60,20240415,170000,36.45,36.45,36,36.16,14020,0
THS.US,60,20240415,180000,36.18,36.25,36.04,36.185,21862,0
THS.US,60,20240415,190000,36.22,36.25,36.08,36.17,13900,0
THS.US,60,20240415,200000,36.16,36.34,35.995,36.34,27391,0
THS.US,60,20240415,210000,36.325,36.43,36.17,36.19,21352,0
THS.US,60,20240415,220000,36.185,36.39,36.16,36.31,177331,0
THS.US,60,20240416,160000,36.33,36.4,36.25,36.25,4227,0
THS.US,60,20240416,170000,36.19,36.31,35.9,36.22,49128,0
THS.US,60,20240416,180000,36.21,36.39,36.16,36.19,16512,0
THS.US,60,20240416,190000,36.15,36.24,36.12,36.135,14330,0
THS.US,60,20240416,200000,36.12,36.19,35.98,36.12,24903,0
THS.US,60,20240416,210000,36.13,36.3,36.08,36.16,17543,0
THS.US,60,20240416,220000,36.17,36.17,35.93,35.95,187979,0
THS.US,60,20240417,160000,36.23,36.32,36.16,36.28,2616,0
THS.US,60,20240417,170000,36.24,36.24,35.91,36.055,13148,0
THS.US,60,20240417,180000,36.08,36.15,35.93,36.14,16195,0
THS.US,60,20240417,190000,36.14,36.19,36.04,36.11,13146,0
THS.US,60,20240417,200000,36.115,36.23,36,36.06,12597,0
THS.US,60,20240417,210000,36.05,36.06,35.86,35.89,16793,0
THS.US,60,20240417,220000,35.87,35.9,35.72,35.72,138176,0
THS.US,60,20240418,160000,35.75,35.8506,35.59,35.8506,4102,0
THS.US,60,20240418,170000,35.89,36.14,35.89,36.115,10820,0
THS.US,60,20240418,180000,36.105,36.19,36.04,36.11,8711,0
THS.US,60,20240418,190000,36.18,36.337,36.1,36.27,14378,0
THS.US,60,20240418,200000,36.29,36.345,36.22,36.22,11817,0
THS.US,60,20240418,210000,36.22,36.31,36.1104,36.23,14225,0
THS.US,60,20240418,220000,36.23,36.67,36.23,36.63,175750,0
THS.US,60,20240419,160000,36.66,36.99,36.66,36.99,17866,0
THS.US,60,20240419,170000,36.92,37,36.79,36.81,10946,0
THS.US,60,20240419,180000,36.78,36.94,36.78,36.83,8407,0
THS.US,60,20240419,190000,36.86,36.86,36.74,36.775,10961,0
THS.US,60,20240419,200000,36.75,36.85,36.72,36.75,26363,0
THS.US,60,20240419,210000,36.72,36.81,36.675,36.78,13842,0
THS.US,60,20240419,220000,36.79,36.87,36.66,36.74,105460,0
THS.US,60,20240422,160000,36.88,37.03,36.68,36.7,6145,0
THS.US,60,20240422,170000,36.63,36.93,36.57,36.84,20058,0
THS.US,60,20240422,180000,36.84,36.87,36.45,36.625,44340,0
THS.US,60,20240422,190000,36.63,36.76,36.51,36.66,25560,0
THS.US,60,20240422,200000,36.66,37.03,36.65,36.985,18086,0
THS.US,60,20240422,210000,37,37.02,36.755,36.865,14333,0
THS.US,60,20240422,220000,36.89,36.9,36.62,36.67,176005,0
THS.US,60,20240423,160000,36.62,36.99,36.59,36.885,3824,0
THS.US,60,20240423,170000,36.885,37.01,36.6575,36.85,15688,0
THS.US,60,20240423,180000,36.89,36.905,36.56,36.64,14501,0
THS.US,60,20240423,190000,36.63,36.66,36.435,36.65,12111,0
THS.US,60,20240423,200000,36.66,36.71,36.595,36.655,10085,0
THS.US,60,20240423,210000,36.64,36.75,36.64,36.75,15732,0
THS.US,60,20240423,220000,36.74,36.81,36.64,36.69,155298,0
THS.US,60,20240424,160000,36.34,36.49,36.245,36.41,6634,0
THS.US,60,20240424,170000,36.41,36.61,36.35,36.57,54245,0
THS.US,60,20240424,180000,36.575,36.605,36.34,36.41,20041,0
THS.US,60,20240424,190000,36.38,36.58,36.34,36.58,19814,0
THS.US,60,20240424,200000,36.56,36.77,36.55,36.755,44709,0
THS.US,60,20240424,210000,36.76,36.78,36.58,36.68,25832,0
THS.US,60,20240424,220000,36.67,36.83,36.6,36.75,194933,0
THS.US,60,20240425,160000,36.71,36.91,36.23,36.23,5117,0
THS.US,60,20240425,170000,36.11,36.315,36.02,36.05,10262,0
THS.US,60,20240425,180000,36.06,36.07,35.98,36.02,31914,0
THS.US,60,20240425,190000,36,36.025,35.905,35.99,36421,0
THS.US,60,20240425,200000,35.98,36.06,35.955,36.02,23035,0
THS.US,60,20240425,210000,36.01,36.07,35.95,35.99,42645,0
THS.US,60,20240425,220000,35.99,36.025,35.87,35.9,154639,0
THS.US,60,20240426,160000,35.9173,36.12,35.8675,36.07,2240,0
THS.US,60,20240426,170000,36.07,36.18,36.03,36.06,19044,0
THS.US,60,20240426,180000,36.04,36.055,35.92,36,32870,0
THS.US,60,20240426,190000,35.99,36.07,35.99,36.03,14171,0
THS.US,60,20240426,200000,36.02,36.06,35.98,36.05,17175,0
THS.US,60,20240426,210000,36.06,36.08,35.99,36.08,15793,0
THS.US,60,20240426,220000,36.08,36.08,35.83,35.84,136910,0
THS.US,60,20240429,160000,36,36.54,35.92,36.3,25953,0
THS.US,60,20240429,170000,36.295,36.34,36.085,36.27,10195,0
THS.US,60,20240429,180000,36.25,36.545,36.23,36.545,14808,0
THS.US,60,20240429,190000,36.58,36.58,36.39,36.41,18582,0
THS.US,60,20240429,200000,36.4,36.49,36.33,36.475,13457,0
THS.US,60,20240429,210000,36.49,36.87,36.47,36.855,27853,0
THS.US,60,20240429,220000,36.84,37.27,36.78,37.22,220260,0
THS.US,60,20240430,160000,37.09,37.17,37.06,37.16,3289,0
THS.US,60,20240430,170000,37.165,37.77,37.14,37.55,21555,0
