<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TJX.US,60,20240411,160000,96.18,96.51,95.4,95.43,201004,0
TJX.US,60,20240411,170000,95.45,95.45,94.85,94.945,336967,0
TJX.US,60,20240411,180000,94.95,95.15,94.84,95.12,439404,0
TJX.US,60,20240411,190000,95.13,95.32,94.97,95.15,333358,0
TJX.US,60,20240411,200000,95.14,95.57,95.12,95.5,347893,0
TJX.US,60,20240411,210000,95.5,95.86,95.5,95.69,292836,0
TJX.US,60,20240411,220000,95.68,95.9,95.535,95.86,1514186,0
TJX.US,60,20240412,160000,94.92,95.335,94.53,94.54,311100,0
TJX.US,60,20240412,170000,94.53,94.6,94.33,94.41,306999,0
TJX.US,60,20240412,180000,94.4,94.72,94.38,94.61,222257,0
TJX.US,60,20240412,190000,94.61,94.61,93.95,93.96,204310,0
TJX.US,60,20240412,200000,93.96,94.35,93.92,94.26,218818,0
TJX.US,60,20240412,210000,94.25,94.4,94.12,94.245,208707,0
TJX.US,60,20240412,220000,94.245,94.43,93.93,94.42,1472318,0
TJX.US,60,20240415,160000,95.33,95.43,94.47,94.73,202901,0
TJX.US,60,20240415,170000,94.75,94.75,93.93,93.95,347752,0
TJX.US,60,20240415,180000,93.955,94.37,93.875,94.25,275670,0
TJX.US,60,20240415,190000,94.255,94.37,93.99,94.1,257332,0
TJX.US,60,20240415,200000,94.1,94.17,93.415,93.54,323803,0
TJX.US,60,20240415,210000,93.53,93.55,93.23,93.345,397499,0
TJX.US,60,20240415,220000,93.34,93.41,92.95,92.98,1647523,0
TJX.US,60,20240416,160000,93.42,93.55,93.05,93.46,132006,0
TJX.US,60,20240416,170000,93.43,93.72,93.22,93.69,340715,0
TJX.US,60,20240416,180000,93.695,93.85,93.47,93.685,241253,0
TJX.US,60,20240416,190000,93.67,93.89,93.55,93.8179,162844,0
TJX.US,60,20240416,200000,93.81,93.82,93.35,93.515,188255,0
TJX.US,60,20240416,210000,93.515,93.72,92.99,93.5,278011,0
TJX.US,60,20240416,220000,93.5,93.775,93.37,93.38,1340167,0
TJX.US,60,20240417,160000,94.26,94.26,93.22,93.345,176961,0
TJX.US,60,20240417,170000,93.35,93.52,92.83,92.92,399122,0
TJX.US,60,20240417,180000,92.945,93.06,92.81,93,268151,0
TJX.US,60,20240417,190000,93.01,93.08,92.81,92.89,204390,0
TJX.US,60,20240417,200000,92.87,93.04,92.83,92.93,168944,0
TJX.US,60,20240417,210000,92.92,93.35,92.88,93.1599,206798,0
TJX.US,60,20240417,220000,93.14,93.335,92.935,93.13,1613539,0
TJX.US,60,20240418,160000,93.65,93.7,93.17,93.2,132754,0
TJX.US,60,20240418,170000,93.19,93.555,93.18,93.49,212638,0
TJX.US,60,20240418,180000,93.4998,93.57,93.16,93.36,174297,0
TJX.US,60,20240418,190000,93.38,93.4,93.04,93.13,133492,0
TJX.US,60,20240418,200000,93.13,93.16,92.67,92.73,201557,0
