<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TM.US,60,20240411,160000,246.5,246.8823,245.86,246.11,4704,0
TM.US,60,20240411,170000,245.915,245.915,244.4701,245.2,4448,0
TM.US,60,20240411,180000,245.29,246.11,245.27,246.11,5086,0
TM.US,60,20240411,190000,246.5072,246.5072,245.66,246.1147,6846,0
TM.US,60,20240411,200000,246.03,246.85,246,246.56,22925,0
TM.US,60,20240411,210000,246.6561,247.1537,246.53,247.1075,22179,0
TM.US,60,20240411,220000,246.965,247.13,246.78,246.99,26278,0
TM.US,60,20240412,160000,245.01,245.27,243.1094,244.77,22696,0
TM.US,60,20240412,170000,244.74,244.77,243.45,243.82,9077,0
TM.US,60,20240412,180000,243.76,244.48,243.3632,244.12,7426,0
TM.US,60,20240412,190000,244.14,244.25,243.29,243.41,7479,0
TM.US,60,20240412,200000,243.41,243.5653,242.69,243.11,8089,0
TM.US,60,20240412,210000,243.08,243.4699,242.9137,243.0712,5676,0
TM.US,60,20240412,220000,243,243.12,242.63,242.97,34223,0
TM.US,60,20240415,160000,245.71,246.07,244.9001,245.25,7344,0
TM.US,60,20240415,170000,245.32,245.45,243.915,244.13,8220,0
TM.US,60,20240415,180000,243.98,244.4999,243.315,244.2761,4767,0
TM.US,60,20240415,190000,244.465,244.63,243.35,243.39,6075,0
TM.US,60,20240415,200000,243.3,243.519,241.5225,242.21,5091,0
TM.US,60,20240415,210000,242.09,242.1941,241.43,241.65,7990,0
TM.US,60,20240415,220000,241.6025,241.9,241.33,241.67,29193,0
TM.US,60,20240416,160000,236.29,236.53,234.64,235.5167,24662,0
TM.US,60,20240416,170000,235.58,236.98,235.29,236.01,14022,0
TM.US,60,20240416,180000,236,236.6099,235.88,236.38,12497,0
TM.US,60,20240416,190000,236.24,237,236.07,236.95,8487,0
TM.US,60,20240416,200000,236.9,237.08,236.02,236.5825,8275,0
TM.US,60,20240416,210000,236.56,237.37,236.3901,237.16,15148,0
TM.US,60,20240416,220000,237.06,237.22,236.41,236.52,43670,0
TM.US,60,20240417,160000,234.59,235.29,234.17,234.9149,14586,0
TM.US,60,20240417,170000,234.91,234.91,233.57,233.96,22825,0
TM.US,60,20240417,180000,234.2,234.505,233.6916,234.29,16780,0
TM.US,60,20240417,190000,234.335,234.335,233.01,233.4,18300,0
TM.US,60,20240417,200000,233.52,234.38,233.41,234.38,11705,0
TM.US,60,20240417,210000,234.39,234.99,234.06,234.06,9935,0
TM.US,60,20240417,220000,233.9615,234.38,233.69,233.97,54110,0
TM.US,60,20240418,160000,233.73,233.73,232.685,233.01,10490,0
TM.US,60,20240418,170000,233.115,233.735,232.98,233.41,8786,0
TM.US,60,20240418,180000,233.48,234.11,233.44,233.76,7569,0
TM.US,60,20240418,190000,233.75,233.75,232.54,232.69,10630,0
TM.US,60,20240418,200000,232.64,232.7,231.73,231.985,11099,0
