<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TR.US,60,20240411,160000,29.9116,29.9212,29.6391,29.7576,3250.190869744696,0
TR.US,60,20240411,170000,29.6998,29.7287,29.5074,29.5554,8042.352088179,0
TR.US,60,20240411,180000,29.4977,29.6277,29.2758,29.6277,7909.3519502866,0
TR.US,60,20240411,190000,29.5844,29.6421,29.5497,29.565,5048.8099220235,0
TR.US,60,20240411,200000,29.6036,29.6998,29.5844,29.6998,7217.3356078154,0
TR.US,60,20240411,210000,29.6614,29.6661,29.6036,29.6421,4848.2706516077,0
TR.US,60,20240411,220000,29.6421,29.6921,29.4015,29.4015,18676.128738105,0
TR.US,60,20240412,160000,29.3534,29.3534,29.3534,29.3534,742.9304577581386,0
TR.US,60,20240412,170000,29.2283,29.2283,28.7758,29.1031,4847.2315880304,0
TR.US,60,20240412,180000,29.1401,29.1513,28.9781,28.9781,3289.6752856815,0
TR.US,60,20240412,190000,29.0839,29.1319,28.9973,29.0309,12468.762927409,0
TR.US,60,20240412,200000,29.0069,29.0092,28.8626,28.9395,3894.4102876608,0
TR.US,60,20240412,210000,29.0261,29.0791,28.8915,28.9491,4057.5432692944,0
TR.US,60,20240412,220000,28.978,28.978,28.747,28.8144,17322.228896903,0
TR.US,60,20240415,160000,28.8817,28.8817,28.6413,28.747,9887.72900143559,0
TR.US,60,20240415,170000,28.6701,28.8144,28.6122,28.8001,9456.5176168627,0
TR.US,60,20240415,180000,28.8001,28.8905,28.7758,28.7962,7194.4762091152,0
TR.US,60,20240415,190000,28.8432,29.0213,28.8432,28.9587,7330.5935377394,0
TR.US,60,20240415,200000,28.9973,29.055,28.8721,29.0309,7574.7734784012,0
TR.US,60,20240415,210000,29.0309,29.0309,28.8769,28.8915,5926.8186448286,0
TR.US,60,20240415,220000,28.8915,29.1417,28.8721,29.1128,23515.047817517,0
TR.US,60,20240416,160000,29.0454,29.1609,29.0454,29.1609,727.344504098877,0
TR.US,60,20240416,170000,29.055,29.2089,28.827,29.1224,5408.3259197638,0
TR.US,60,20240416,180000,29.1319,29.1898,28.9683,29.0454,4933.473864945,0
TR.US,60,20240416,190000,29.0503,29.0503,28.9491,28.9587,5039.4583498279,0
TR.US,60,20240416,200000,28.9924,29.286,28.9587,29.286,4805.669044939,0
TR.US,60,20240416,210000,29.3051,29.3051,29.061,29.1753,5888.3732924691,0
TR.US,60,20240416,220000,29.1417,29.1705,28.9973,29.0069,23148.258374735,0
TR.US,60,20240417,160000,29.1993,29.2956,29.1993,29.1993,627.5944006796024,0
TR.US,60,20240417,170000,29.1609,29.1609,28.853,28.901,1221.9387668861,0
TR.US,60,20240417,180000,28.9299,28.9299,28.8144,28.8289,1142.9699350125,0
TR.US,60,20240417,190000,28.8099,28.8915,28.8099,28.8915,1064.0011031389,0
TR.US,60,20240417,200000,28.8721,28.9587,28.8626,28.9299,1249.9934834728,0
TR.US,60,20240417,210000,28.9347,28.9347,28.6316,28.7182,6870.2883730025,0
TR.US,60,20240417,220000,28.7182,28.8915,28.5739,28.6989,34200.777646306,0
TR.US,60,20240418,160000,28.8626,28.8626,28.7758,28.7758,1566.9078745444376,0
TR.US,60,20240418,170000,28.8529,28.9251,28.8529,28.9251,337.69566261733576,0
TR.US,60,20240418,180000,28.9828,29.1513,28.9203,29.0646,7982.0864006965,0
TR.US,60,20240418,190000,29.0117,29.0261,28.9781,29.0166,2534.2760649959,0
TR.US,60,20240418,200000,29.0309,29.1466,28.9683,29.0261,4203.0121701142,0
TR.US,60,20240418,210000,29.0261,29.1319,28.9203,29.0261,3732.3163696045,0
TR.US,60,20240418,220000,29.0357,29.1801,28.9587,28.9973,20183.809988744,0
TR.US,60,20240419,160000,28.9299,29.3534,28.9299,29.3534,820.8602260544468,0
TR.US,60,20240419,170000,29.0969,29.2089,29.055,29.1271,4619.6766646052,0
TR.US,60,20240419,180000,29.1031,29.4015,29.0743,29.3534,2233.9866911608,0
TR.US,60,20240419,190000,29.4015,29.4015,29.2956,29.2956,2774.2997513486,0
TR.US,60,20240419,200000,29.2089,29.3534,29.2089,29.2571,1467.1577711252,0
TR.US,60,20240419,210000,29.2548,29.363,29.0743,29.3341,5468.5916072463,0
TR.US,60,20240419,220000,29.3534,29.363,29.0454,29.1031,17664.08081383,0
TR.US,60,20240422,160000,29.2475,29.2507,29.1685,29.1993,1444.2983724249127,0
TR.US,60,20240422,170000,29.3197,29.44,29.2089,29.44,4058.5823328717,0
TR.US,60,20240422,180000,29.4881,29.5844,29.4015,29.4207,2389.8462277535,0
TR.US,60,20240422,190000,29.3822,29.4496,29.3245,29.4496,840.60243402284,0
TR.US,60,20240422,200000,29.4688,29.5362,29.44,29.517,5129.8568810517,0
TR.US,60,20240422,210000,29.4906,29.5362,29.4785,29.5265,4324.5826086565,0
TR.US,60,20240422,220000,29.4785,29.4881,29.2956,29.3149,20420.716484365,0
TR.US,60,20240423,160000,29.1128,29.1128,29.1128,29.1128,653.5709901117051,0
TR.US,60,20240423,170000,29.4616,29.4616,29.2956,29.4112,1086.8605018392,0
TR.US,60,20240423,180000,29.387,29.4881,29.3822,29.4015,3174.339228603,0
TR.US,60,20240423,190000,29.3918,29.4303,29.3437,29.368,3550.4802435798,0
TR.US,60,20240423,200000,29.4015,29.5459,29.3918,29.3918,3702.1835258633,0
TR.US,60,20240423,210000,29.4207,29.4207,29.363,29.387,2203.8538474196,0
TR.US,60,20240423,220000,29.4073,29.4159,29.1801,29.1801,19810.786164499,0
TR.US,60,20240424,160000,29.0166,29.1609,29.0166,29.0513,1740.431491950884,0
TR.US,60,20240424,170000,29.0454,29.1801,29.0454,29.1801,1158.5558886718,0
TR.US,60,20240424,180000,29.2668,29.286,29.1236,29.2186,2627.7917869515,0
TR.US,60,20240424,190000,29.1993,29.2426,29.1138,29.2426,4340.1685623157,0
TR.US,60,20240424,200000,29.2668,29.3144,29.1801,29.1801,2907.2998892409396,0
TR.US,60,20240424,210000,29.1783,29.2089,29.1224,29.1609,4465.8952551671,0
TR.US,60,20240424,220000,29.1319,29.2283,29.0858,29.1705,18747.824124937,0
TR.US,60,20240425,160000,29.2475,29.7095,29.1993,29.4207,1829.7909595973176,0
TR.US,60,20240425,170000,29.3245,30.0751,29.2186,29.6036,5995.3968409293,0
TR.US,60,20240425,180000,29.5362,29.5554,29.1417,29.4255,5311.6930070764,0
TR.US,60,20240425,190000,29.3726,29.3726,29.2186,29.3257,5163.1069155247,0
TR.US,60,20240425,200000,29.3341,29.4112,29.2475,29.2763,3332.2768923501,0
TR.US,60,20240425,210000,29.2793,29.3389,29.1224,29.1993,5371.9586945588,0
TR.US,60,20240425,220000,29.1319,29.3051,29.0069,29.055,25933.987825434,0
TR.US,60,20240426,160000,29.0646,29.1417,29.0646,29.1417,701.3679146667741,0
TR.US,60,20240426,170000,29.1319,29.1801,28.8337,28.9395,2600.7761339421,0
TR.US,60,20240426,180000,29.1224,29.1271,28.9836,29.0935,2176.8381944102,0
TR.US,60,20240426,190000,29.1319,29.1656,29.0406,29.0406,2603.893324674,0
TR.US,60,20240426,200000,28.9973,29.0646,28.8817,29.0646,1652.1110878817,0
TR.US,60,20240426,210000,29.0646,29.1614,28.9636,28.9636,1764.3299542284,0
