<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TREX.US,60,20240411,160000,92.95,93.2,92.01,92.545,40480,0
TREX.US,60,20240411,170000,92.62,92.82,92.07,92.4,46388,0
TREX.US,60,20240411,180000,92.4032,92.85,92.365,92.78,58308,0
TREX.US,60,20240411,190000,92.905,92.905,92.485,92.645,16601,0
TREX.US,60,20240411,200000,92.645,92.97,92.485,92.84,46779,0
TREX.US,60,20240411,210000,92.87,93.1,92.76,92.94,57616,0
TREX.US,60,20240411,220000,92.93,93.06,92.6,92.76,171312,0
TREX.US,60,20240412,160000,91.76,92.51,91.4,91.59,8368,0
TREX.US,60,20240412,170000,91.415,91.75,91.1401,91.44,18537,0
TREX.US,60,20240412,180000,91.47,92.165,91.47,91.965,13527,0
TREX.US,60,20240412,190000,91.9625,91.965,91.61,91.71,12904,0
TREX.US,60,20240412,200000,91.735,91.92,91.1,91.6,27460,0
TREX.US,60,20240412,210000,91.54,91.65,91.26,91.3801,27068,0
TREX.US,60,20240412,220000,91.38,92.01,91.13,91.92,119518,0
TREX.US,60,20240415,160000,92.67,92.67,91.99,92.09,3914,0
TREX.US,60,20240415,170000,92.2,92.2,90.38,90.54,25462,0
TREX.US,60,20240415,180000,90.38,91.01,90.33,90.9,35720,0
TREX.US,60,20240415,190000,90.92,91.08,90.45,90.655,23909,0
TREX.US,60,20240415,200000,90.625,90.66,89.48,89.85,33819,0
TREX.US,60,20240415,210000,89.81,89.97,89.5,89.82,22791,0
TREX.US,60,20240415,220000,89.77,90.35,89.63,90.2,188261,0
TREX.US,60,20240416,160000,89.6,90.01,88.47,88.52,28161,0
TREX.US,60,20240416,170000,88.465,89.345,87.97,89.215,42222,0
TREX.US,60,20240416,180000,89.22,90.045,89.22,89.725,29477,0
TREX.US,60,20240416,190000,89.53,89.75,89.37,89.58,31601,0
TREX.US,60,20240416,200000,89.61,89.68,88.675,89.07,35376,0
TREX.US,60,20240416,210000,89.03,89.72,88.955,89.72,17465,0
TREX.US,60,20240416,220000,89.72,89.72,88.78,88.98,165771,0
TREX.US,60,20240417,160000,89.81,89.81,88.97,89.23,7242,0
TREX.US,60,20240417,170000,89.08,89.08,87.755,87.96,13572,0
