<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRP.US,60,20240411,160000,32.4894,32.603,32.1404,32.1578,190050.55570421024,0
TRP.US,60,20240411,170000,32.1535,32.1665,31.8173,31.861,581584.7610144,0
TRP.US,60,20240411,180000,31.8567,32.171,31.8304,32.1404,576469.65437398,0
TRP.US,60,20240411,190000,32.149,32.2276,32.0443,32.1142,335358.53471228,0
TRP.US,60,20240411,200000,32.1097,32.3149,32.0967,32.2276,373028.17335737,0
TRP.US,60,20240411,210000,32.2363,32.2887,32.1752,32.2014,409089.38877219,0
TRP.US,60,20240411,220000,32.2014,32.28,32.0618,32.1054,3048897.977043,0
TRP.US,60,20240412,160000,31.9483,32.1752,31.7833,32.0182,304570.51881948364,0
TRP.US,60,20240412,170000,32.0268,32.0268,31.8173,31.861,357577.4581817,0
TRP.US,60,20240412,180000,31.8523,31.9483,31.7039,31.7738,421718.48969134,0
TRP.US,60,20240412,190000,31.765,31.7738,31.6341,31.669,306702.48152,0
TRP.US,60,20240412,200000,31.669,31.73,31.5729,31.6428,270454.53320879,0
TRP.US,60,20240412,210000,31.6341,31.6865,31.4769,31.4813,380146.93543207,0
TRP.US,60,20240412,220000,31.4769,31.5817,31.4377,31.5205,2638665.2788806,0
TRP.US,60,20240415,160000,31.6166,31.8435,31.5905,31.7388,164292.87200807856,0
TRP.US,60,20240415,170000,31.7519,31.7519,31.4595,31.5031,310246.96974967,0
TRP.US,60,20240415,180000,31.5031,31.5643,31.311,31.5381,345684.97844279,0
TRP.US,60,20240415,190000,31.5381,31.5643,31.3722,31.5424,312944.85914232,0
TRP.US,60,20240415,200000,31.5467,31.5467,31.2762,31.3155,329556.06771704,0
TRP.US,60,20240415,210000,31.311,31.381,31.25,31.3198,406815.37159834,0
TRP.US,60,20240415,220000,31.3155,31.4857,31.255,31.4245,6044827.9651438,0
TRP.US,60,20240416,160000,31.2762,31.3897,30.8572,30.9794,239013.5249789242,0
TRP.US,60,20240416,170000,30.9837,31.154,30.8135,30.9924,424144.87174384,0
TRP.US,60,20240416,180000,30.9924,31.1714,30.9794,31.0361,262160.38492735,0
TRP.US,60,20240416,190000,31.0318,31.0492,30.9182,31.0492,291625.23213712,0
TRP.US,60,20240416,200000,31.0448,31.071,30.9139,30.9967,406422.4305955,0
TRP.US,60,20240416,210000,30.9924,31.0492,30.7437,30.9227,831893.90782413,0
TRP.US,60,20240416,220000,30.9227,30.9358,30.687,30.7175,2681912.846805,0
TRP.US,60,20240417,160000,30.8572,31.0536,30.7611,31.0099,101664.03327903464,0
TRP.US,60,20240417,170000,31.0055,31.0143,30.7655,30.8659,211810.0933365,0
TRP.US,60,20240417,180000,30.8747,30.8965,30.6957,30.7393,551957.23852066,0
TRP.US,60,20240417,190000,30.7349,30.7393,30.5255,30.6127,450711.34945747,0
TRP.US,60,20240417,200000,30.6127,30.8528,30.5822,30.844,295894.88554112,0
TRP.US,60,20240417,210000,30.8397,30.9358,30.6912,30.7132,252824.88570836,0
TRP.US,60,20240417,220000,30.7087,30.7611,30.604,30.6389,1799326.1128132,0
TRP.US,60,20240418,160000,30.674,30.7611,30.508,30.7611,106493.88537220718,0
TRP.US,60,20240418,170000,30.7611,30.8834,30.7087,30.8834,328034.71013171,0
