<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSM.US,60,20240411,160000,147.2,147.2,145.02,145.53,1521888,0
TSM.US,60,20240411,170000,145.53,147.56,144.13,144.4,1645921,0
TSM.US,60,20240411,180000,144.43,145.3892,144.39,145.35,960792,0
TSM.US,60,20240411,190000,145.37,145.975,145.07,145.68,614909,0
TSM.US,60,20240411,200000,145.69,147.11,145.5,146.43,951841,0
TSM.US,60,20240411,210000,146.44,147.48,146.44,147.25,788267,0
TSM.US,60,20240411,220000,147.26,147.4,146.76,147.2,1923573,0
TSM.US,60,20240412,160000,145.11,145.4,143.82,144.44,1115472,0
TSM.US,60,20240412,170000,144.46,144.46,142.25,142.2975,1639775,0
TSM.US,60,20240412,180000,142.325,146.51,142.32,143.51,959170,0
TSM.US,60,20240412,190000,143.549,143.69,142.66,142.94,635248,0
TSM.US,60,20240412,200000,142.96,143.215,142.56,142.64,599533,0
TSM.US,60,20240412,210000,142.63,143.0999,142.2779,142.33,764508,0
TSM.US,60,20240412,220000,142.34,143.23,142.15,142.52,2772384,0
TSM.US,60,20240415,160000,145.02,145.48,143.91,144.5599,1398452,0
TSM.US,60,20240415,170000,144.56,145.33,142.59,142.87,1584003,0
TSM.US,60,20240415,180000,142.91,143.919,142.6534,143.5,773999,0
TSM.US,60,20240415,190000,143.51,143.88,142.3,142.75,662488,0
TSM.US,60,20240415,200000,142.76,142.95,139.95,140.9,1229166,0
TSM.US,60,20240415,210000,140.89,141.22,140.3,140.77,676896,0
TSM.US,60,20240415,220000,140.76,140.83,139.8801,140.14,3491152,0
TSM.US,60,20240416,160000,137.89,138.6499,137.06,138.06,1626691,0
TSM.US,60,20240416,170000,138.088,139.69,137.76,138.825,1990192,0
TSM.US,60,20240416,180000,138.83,139.73,138.56,139.2733,814794,0
TSM.US,60,20240416,190000,139.245,140.075,139.1,139.955,694455,0
TSM.US,60,20240416,200000,139.98,140.28,139.05,139.73,752458,0
TSM.US,60,20240416,210000,139.675,140.5399,139.29,140.26,635633,0
TSM.US,60,20240416,220000,140.27,140.28,139.53,139.8,3305204,0
TSM.US,60,20240417,160000,141.13,142.57,140.31,140.935,2520318,0
TSM.US,60,20240417,170000,140.92,141.2499,139.24,139.94,2294530,0
TSM.US,60,20240417,180000,139.9499,140.3899,138.64,139.03,1494756,0
TSM.US,60,20240417,190000,139.02,139.07,137.3601,137.78,1436103,0
TSM.US,60,20240417,200000,137.765,139.23,137.67,139.17,1067083,0
TSM.US,60,20240417,210000,139.19,139.75,138.53,138.86,1143081,0
TSM.US,60,20240417,220000,138.85,139.63,138.12,139.03,4201155,0
TSM.US,60,20240418,160000,132.89,133.83,130.34,132.195,7680865,0
TSM.US,60,20240418,170000,132.17,134.74,131.02,133.54,6254142,0
TSM.US,60,20240418,180000,133.55,135.13,133.11,133.93,2968235,0
TSM.US,60,20240418,190000,133.92,134.4,132.38,132.475,2154321,0
TSM.US,60,20240418,200000,132.475,132.935,131.08,132.61,2310308,0
TSM.US,60,20240418,210000,132.61,132.97,131.64,131.72,1599095,0
TSM.US,60,20240418,220000,131.73,132.68,131.62,132.27,4332724,0
TSM.US,60,20240419,160000,129.37,131.525,128.23,129.365,3871896,0
TSM.US,60,20240419,170000,129.435,129.895,126.75,128.97,4177110,0
TSM.US,60,20240419,180000,128.98,129.06,127.91,128,1852574,0
TSM.US,60,20240419,190000,127.97,128.22,126.64,127.915,2085779,0
TSM.US,60,20240419,200000,127.89,128.48,127.4696,128.17,1043379,0
TSM.US,60,20240419,210000,128.15,128.67,127.27,128.08,2029748,0
TSM.US,60,20240419,220000,128.07,129.13,127.55,127.715,4340385,0
TSM.US,60,20240422,160000,126.75,128.2699,125.78,126.98,2450814,0
TSM.US,60,20240422,170000,127.015,128.1899,126.66,127.46,2493582,0
TSM.US,60,20240422,180000,127.44,128.82,126.93,128.37,1310121,0
TSM.US,60,20240422,190000,128.37,129.25,128.13,128.91,856010,0
TSM.US,60,20240422,200000,128.9,130.58,128.79,130.34,1207911,0
TSM.US,60,20240422,210000,130.31,130.6606,130.01,130.4,923732,0
TSM.US,60,20240422,220000,130.36,130.475,129.47,129.75,2481463,0
TSM.US,60,20240423,160000,131.36,132.55,130.66,132.0731,1487536,0
TSM.US,60,20240423,170000,132.08,132.9099,131.6076,132.26,1671860,0
TSM.US,60,20240423,180000,132.335,132.72,131.862,132.16,873571,0
TSM.US,60,20240423,190000,132.1799,132.93,132.05,132.29,758143,0
TSM.US,60,20240423,200000,132.27,132.68,132.03,132.595,459105,0
TSM.US,60,20240423,210000,132.6,133.71,132.55,133.64,1012681,0
TSM.US,60,20240423,220000,133.63,133.635,132.86,133.53,3005728,0
TSM.US,60,20240424,160000,136.09,136.29,135.03,135.27,1668327,0
