<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSN.US,60,20240411,160000,58.23,58.67,58.13,58.59,65115,0
TSN.US,60,20240411,170000,58.6,58.79,58.44,58.44,178729,0
TSN.US,60,20240411,180000,58.43,58.655,58.27,58.65,92502,0
TSN.US,60,20240411,190000,58.65,59.08,58.6,59.05,150990,0
TSN.US,60,20240411,200000,59.06,59.415,59.05,59.39,102815,0
TSN.US,60,20240411,210000,59.3925,59.525,59.28,59.315,151072,0
TSN.US,60,20240411,220000,59.315,59.45,59.241,59.34,660268,0
TSN.US,60,20240412,160000,59.24,59.24,58.495,58.51,40147,0
TSN.US,60,20240412,170000,58.52,58.55,58.3,58.42,81135,0
TSN.US,60,20240412,180000,58.41,58.48,58.15,58.31,61587,0
TSN.US,60,20240412,190000,58.315,58.4199,57.97,57.975,67364,0
TSN.US,60,20240412,200000,57.96,58.01,57.84,58.01,62153,0
TSN.US,60,20240412,210000,58.01,58.17,57.73,57.78,110801,0
TSN.US,60,20240412,220000,57.77,57.88,57.67,57.78,489231,0
TSN.US,60,20240415,160000,58.12,58.36,58.03,58.215,39930,0
TSN.US,60,20240415,170000,58.21,58.35,57.9,58.22,142022,0
TSN.US,60,20240415,180000,58.23,58.24,58.07,58.12,92822,0
TSN.US,60,20240415,190000,58.11,58.165,57.96,58.09,130722,0
TSN.US,60,20240415,200000,58.07,58.23,57.86,57.9525,213497,0
TSN.US,60,20240415,210000,57.9429,57.99,57.54,57.61,94556,0
TSN.US,60,20240415,220000,57.61,58.21,57.58,58.12,816320,0
TSN.US,60,20240416,160000,59.1,59.18,58.64,58.94,134669,0
TSN.US,60,20240416,170000,58.95,58.95,58.27,58.319,339291,0
TSN.US,60,20240416,180000,58.32,58.43,58.21,58.255,100731,0
TSN.US,60,20240416,190000,58.23,58.435,58.1,58.1,102114,0
TSN.US,60,20240416,200000,58.1,58.315,58.03,58.17,71647,0
TSN.US,60,20240416,210000,58.16,58.355,58.07,58.27,79973,0
TSN.US,60,20240416,220000,58.29,58.3,58,58.15,699167,0
TSN.US,60,20240417,160000,58.55,58.99,58.39,58.9485,65072,0
TSN.US,60,20240417,170000,58.94,58.94,58.2,58.365,85899,0
TSN.US,60,20240417,180000,58.38,58.57,58.2,58.23,104251,0
TSN.US,60,20240417,190000,58.22,58.26,57.96,58.03,80883,0
TSN.US,60,20240417,200000,58.03,58.43,58.015,58.41,84626,0
TSN.US,60,20240417,210000,58.41,58.58,58.31,58.429,102490,0
TSN.US,60,20240417,220000,58.42,58.625,58.3,58.58,569857,0
TSN.US,60,20240418,160000,58.71,58.8989,58.46,58.7,54369,0
TSN.US,60,20240418,170000,58.6701,58.93,58.61,58.74,78430,0
TSN.US,60,20240418,180000,58.71,58.805,58.545,58.71,55113,0
TSN.US,60,20240418,190000,58.719,58.87,58.69,58.76,63101,0
TSN.US,60,20240418,200000,58.77,58.785,58.57,58.679,72849,0
TSN.US,60,20240418,210000,58.661,58.81,58.54,58.79,59664,0
TSN.US,60,20240418,220000,58.775,59.025,58.75,58.87,597309,0
TSN.US,60,20240419,160000,58.88,59.21,58.71,59.21,86584,0
TSN.US,60,20240419,170000,59.22,59.48,59.18,59.405,173100,0
TSN.US,60,20240419,180000,59.4,59.79,59.38,59.79,153571,0
TSN.US,60,20240419,190000,59.76,59.9,59.54,59.89,86766,0
TSN.US,60,20240419,200000,59.89,59.9099,59.72,59.76,30446,0
TSN.US,60,20240419,210000,59.75,59.96,59.719,59.96,63172,0
TSN.US,60,20240419,220000,59.95,59.995,59.8,59.96,247228,0
TSN.US,60,20240422,160000,60.15,60.49,59.77,60.07,60376,0
TSN.US,60,20240422,170000,60.075,60.6,59.925,60.46,94540,0
TSN.US,60,20240422,180000,60.45,60.51,60.32,60.34,84192,0
TSN.US,60,20240422,190000,60.36,60.56,60.28,60.5,77589,0
TSN.US,60,20240422,200000,60.49,60.83,60.49,60.82,74895,0
TSN.US,60,20240422,210000,60.83,60.88,60.76,60.86,83130,0
TSN.US,60,20240422,220000,60.85,60.89,60.58,60.61,620914,0
TSN.US,60,20240423,160000,60.47,61.17,60.34,61.17,60061,0
TSN.US,60,20240423,170000,61.17,61.22,60.77,61.05,151742,0
TSN.US,60,20240423,180000,61.055,61.1097,60.78,60.88,46521,0
TSN.US,60,20240423,190000,60.87,60.87,60.685,60.81,40093,0
TSN.US,60,20240423,200000,60.81,60.93,60.8,60.93,35673,0
TSN.US,60,20240423,210000,60.93,61.08,60.9,61.0725,58598,0
TSN.US,60,20240423,220000,61.08,61.13,60.92,60.98,516684,0
TSN.US,60,20240424,160000,60.37,60.7,60,60.59,52982,0
TSN.US,60,20240424,170000,60.61,60.96,60.61,60.89,70073,0
TSN.US,60,20240424,180000,60.9,61.36,60.82,61.23,85070,0
TSN.US,60,20240424,190000,61.23,61.43,61.22,61.43,40666,0
TSN.US,60,20240424,200000,61.42,61.585,61.42,61.56,78632,0
TSN.US,60,20240424,210000,61.57,61.6,61.38,61.412,50937,0
TSN.US,60,20240424,220000,61.415,61.5799,61.31,61.32,536670,0
TSN.US,60,20240425,160000,61.42,61.71,60.851,60.87,86520,0
TSN.US,60,20240425,170000,60.8999,61.02,60.721,60.77,105246,0
TSN.US,60,20240425,180000,60.7701,60.8958,60.7,60.875,133497,0
TSN.US,60,20240425,190000,60.875,61.005,60.87,60.94,75726,0
TSN.US,60,20240425,200000,60.945,61.01,60.86,60.98,84038,0
TSN.US,60,20240425,210000,60.98,61,60.63,60.71,80515,0
TSN.US,60,20240425,220000,60.71,60.99,60.68,60.89,464070,0
TSN.US,60,20240426,160000,60.92,61.3,60.73,60.965,64342,0
TSN.US,60,20240426,170000,60.95,61.05,60.79,60.94,83123,0
TSN.US,60,20240426,180000,60.935,61.005,60.76,60.82,71208,0
TSN.US,60,20240426,190000,60.81,61.015,60.805,61.01,57397,0
TSN.US,60,20240426,200000,61.01,61.03,60.85,61,65481,0
TSN.US,60,20240426,210000,60.99,61,60.8429,60.91,69848,0
TSN.US,60,20240426,220000,60.91,60.91,60.61,60.63,593674,0
TSN.US,60,20240429,160000,60.63,61.02,60.63,60.8515,46395,0
TSN.US,60,20240429,170000,60.865,60.95,60.71,60.91,61361,0
TSN.US,60,20240429,180000,60.9,60.9,60.72,60.78,51848,0
TSN.US,60,20240429,190000,60.78,61,60.77,60.955,57989,0
TSN.US,60,20240429,200000,60.955,61,60.91,60.94,50767,0
TSN.US,60,20240429,210000,60.94,61,60.84,60.845,72725,0
TSN.US,60,20240429,220000,60.84,61.03,60.705,60.96,538689,0
TSN.US,60,20240430,160000,60.6,60.65,59.846,60.31,167725,0
TSN.US,60,20240430,170000,60.31,60.73,60.295,60.55,110588,0
TSN.US,60,20240430,180000,60.55,60.6,60.3,60.45,120260,0
TSN.US,60,20240430,190000,60.45,60.705,60.45,60.5814,61735,0
TSN.US,60,20240430,200000,60.575,60.7,60.515,60.7,78142,0
TSN.US,60,20240430,210000,60.7,60.82,60.66,60.72,84697,0
TSN.US,60,20240430,220000,60.73,60.87,60.61,60.65,769700,0
TSN.US,60,20240501,160000,60.36,61.02,60.21,60.4,134295,0
TSN.US,60,20240501,170000,60.4,60.7,60,60,269834,0
TSN.US,60,20240501,180000,59.98,60.46,59.98,60.39,97749,0
TSN.US,60,20240501,190000,60.4,60.43,60.27,60.28,81713,0
TSN.US,60,20240501,200000,60.28,60.55,60.275,60.37,115920,0
TSN.US,60,20240501,210000,60.38,60.69,60.25,60.575,107135,0
TSN.US,60,20240501,220000,60.59,60.67,60.24,60.29,547583,0
TSN.US,60,20240502,160000,60.54,60.98,60.48,60.78,77884,0
TSN.US,60,20240502,170000,60.81,61.14,60.64,60.8,188753,0
TSN.US,60,20240502,180000,60.8,60.99,60.77,60.98,86592,0
TSN.US,60,20240502,190000,60.97,61.005,60.77,60.97,105398,0
TSN.US,60,20240502,200000,60.98,61.13,60.97,61.025,167794,0
TSN.US,60,20240502,210000,61.04,61.19,61,61.14,195953,0
TSN.US,60,20240502,220000,61.14,61.19,60.87,60.95,928155,0
TSN.US,60,20240507,160000,58.69,59.09,58.3,58.54,238919,0
TSN.US,60,20240507,170000,58.54,58.75,58.12,58.47,400558,0
TSN.US,60,20240507,180000,58.47,58.55,58.25,58.29,211604,0
TSN.US,60,20240507,190000,58.3,58.72,58.27,58.54,142713,0
TSN.US,60,20240507,200000,58.525,58.84,58.525,58.58,148519,0
TSN.US,60,20240507,210000,58.565,58.89,58.56,58.82,140950,0
TSN.US,60,20240507,220000,58.83,59.0825,58.795,58.89,923211,0
TSN.US,60,20240508,160000,58.835,59.68,58.55,59.55,103694,0
TSN.US,60,20240508,170000,59.56,59.6,59.27,59.46,128217,0
TSN.US,60,20240508,180000,59.46,59.77,59.36,59.69,129699,0
TSN.US,60,20240508,190000,59.69,59.74,59.57,59.57,90535,0
TSN.US,60,20240508,200000,59.565,59.67,59.3397,59.46,147333,0
TSN.US,60,20240508,210000,59.46,59.56,59.35,59.354,142028,0
TSN.US,60,20240508,220000,59.36,59.47,59.11,59.13,746305,0
TSN.US,60,20240509,160000,59.2,59.38,58.8,59.195,181711,0
TSN.US,60,20240509,170000,59.19,59.62,59.13,59.31,160150,0
TSN.US,60,20240509,180000,59.32,59.34,59.13,59.28,70095,0
TSN.US,60,20240509,190000,59.3,59.47,59.3,59.39,63784,0
TSN.US,60,20240509,200000,59.41,59.48,59.3,59.44,126106,0
TSN.US,60,20240509,210000,59.49,59.59,59.38,59.58,132768,0
TSN.US,60,20240509,220000,59.58,59.68,59.38,59.65,697437,0
TSN.US,60,20240510,160000,59.67,59.82,59.36,59.79,138712,0
TSN.US,60,20240510,170000,59.77,60.09,59.63,59.935,187641,0
TSN.US,60,20240510,180000,59.94,59.94,59.63,59.775,58730,0
TSN.US,60,20240510,190000,59.77,59.78,59.57,59.64,85620,0
TSN.US,60,20240510,200000,59.63,59.762,59.525,59.66,68881,0
TSN.US,60,20240510,210000,59.65,59.67,59.4905,59.63,62933,0
