<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBER.US,60,20240411,160000,74.8,75.75,74.705,75.294,1330410,0
UBER.US,60,20240411,170000,75.31,75.995,74.96,75.94,1474080,0
UBER.US,60,20240411,180000,75.95,76.4,75.83,76.06,1564283,0
UBER.US,60,20240411,190000,76.08,76.1269,75.64,75.8,975673,0
UBER.US,60,20240411,200000,75.81,76.18,75.7398,76.06,891833,0
UBER.US,60,20240411,210000,76.055,76.245,76,76.135,712432,0
UBER.US,60,20240411,220000,76.14,76.56,76.035,76.18,3041212,0
UBER.US,60,20240412,160000,75.16,75.58,74.63,75.405,941177,0
UBER.US,60,20240412,170000,75.45,75.82,75.11,75.19,1347815,0
UBER.US,60,20240412,180000,75.18,75.68,75.1086,75.45,804506,0
UBER.US,60,20240412,190000,75.445,75.62,74.89,74.89,885582,0
UBER.US,60,20240412,200000,74.885,75.065,74.7,74.97,907332,0
UBER.US,60,20240412,210000,74.965,75.195,74.7,74.76,845748,0
UBER.US,60,20240412,220000,74.75,75.29,74.49,75.28,3279304,0
UBER.US,60,20240415,160000,76.38,76.68,75.355,75.375,1232828,0
UBER.US,60,20240415,170000,75.38,75.94,75.29,75.29,2196065,0
UBER.US,60,20240415,180000,75.28,75.6,75.09,75.48,1135618,0
UBER.US,60,20240415,190000,75.48,75.55,74.605,74.685,827574,0
UBER.US,60,20240415,200000,74.68,74.68,73.2,73.64,1696770,0
UBER.US,60,20240415,210000,73.65,73.67,73.11,73.29,1595330,0
UBER.US,60,20240415,220000,73.29,73.415,72.88,73.4,4082260,0
UBER.US,60,20240416,160000,73.39,73.54,72.7,73.2601,997502,0
UBER.US,60,20240416,170000,73.27,73.82,73.11,73.305,1533267,0
UBER.US,60,20240416,180000,73.305,74.16,73.23,73.91,1081264,0
UBER.US,60,20240416,190000,73.91,74.53,73.775,74.43,2162049,0
UBER.US,60,20240416,200000,74.44,74.55,73.95,74.11,1552945,0
UBER.US,60,20240416,210000,74.1,74.7,73.9,74.28,1396125,0
UBER.US,60,20240416,220000,74.29,74.32,73.94,74.13,2886498,0
UBER.US,60,20240417,160000,75,75.615,73.95,74,1197218,0
UBER.US,60,20240417,170000,73.99,74.025,72.62,72.94,1812304,0
UBER.US,60,20240417,180000,72.94,73.14,72.2,72.41,1332813,0
UBER.US,60,20240417,190000,72.41,72.41,71.04,71.28,1915985,0
UBER.US,60,20240417,200000,71.2999,72.18,71.22,72.18,1404361,0
UBER.US,60,20240417,210000,72.17,72.64,72.055,72.18,1126640,0
UBER.US,60,20240417,220000,72.17,72.23,71.8901,71.94,3244334,0
UBER.US,60,20240418,160000,72.26,72.26,71.45,71.73,890846,0
UBER.US,60,20240418,170000,71.75,72.73,71.58,72.63,1328699,0
UBER.US,60,20240418,180000,72.64,72.855,72,72.13,1659592,0
UBER.US,60,20240418,190000,72.13,72.32,71.75,71.77,4801511,0
UBER.US,60,20240418,200000,71.77,71.82,70.88,71.12,1429701,0
UBER.US,60,20240418,210000,71.13,71.169,70.64,70.94,1476056,0
UBER.US,60,20240418,220000,70.94,71.56,70.935,71.3,3176528,0
UBER.US,60,20240419,160000,71.15,71.15,70.24,70.44,1664879,0
