<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UBS.US,60,20240411,160000,29.14,29.22,29.005,29.07,458410,0
UBS.US,60,20240411,170000,29.08,29.09,28.73,28.825,764521,0
UBS.US,60,20240411,180000,28.83,29.04,28.805,29.03,607674,0
UBS.US,60,20240411,190000,29.035,29.085,29.0025,29.065,244617,0
UBS.US,60,20240411,200000,29.07,29.2,29.05,29.15,211628,0
UBS.US,60,20240411,210000,29.155,29.235,29.065,29.115,190697,0
UBS.US,60,20240411,220000,29.11,29.17,29.0725,29.12,643032,0
UBS.US,60,20240412,160000,29.14,29.18,28.98,29.03,185581,0
UBS.US,60,20240412,170000,29.04,29.065,28.83,28.835,290429,0
UBS.US,60,20240412,180000,28.835,28.975,28.78,28.91,374289,0
UBS.US,60,20240412,190000,28.91,29.01,28.82,28.86,274682,0
UBS.US,60,20240412,200000,28.855,28.865,28.73,28.785,140191,0
UBS.US,60,20240412,210000,28.78,28.84,28.72,28.75,156573,0
UBS.US,60,20240412,220000,28.745,28.77,28.68,28.73,507554,0
UBS.US,60,20240415,160000,29.09,29.15,29.0291,29.0484,160491,0
UBS.US,60,20240415,170000,29.055,29.065,28.7201,28.725,218192,0
UBS.US,60,20240415,180000,28.725,28.775,28.635,28.72,456619,0
UBS.US,60,20240415,190000,28.72,28.745,28.6,28.64,133240,0
UBS.US,60,20240415,200000,28.63,28.675,28.435,28.51,167292,0
UBS.US,60,20240415,210000,28.5163,28.54,28.43,28.47,111874,0
UBS.US,60,20240415,220000,28.465,28.465,28.365,28.42,522543,0
UBS.US,60,20240416,160000,28.19,28.21,27.9,28.03,319425,0
UBS.US,60,20240416,170000,28.03,28.1,27.945,27.96,349479,0
UBS.US,60,20240416,180000,27.96,28.035,27.92,27.9686,355258,0
UBS.US,60,20240416,190000,27.965,28.035,27.925,28.015,141529,0
UBS.US,60,20240416,200000,28.015,28.035,27.87,28.01,131422,0
UBS.US,60,20240416,210000,28.005,28.135,27.925,28.075,193262,0
UBS.US,60,20240416,220000,28.0701,28.1186,27.97,27.99,478294,0
UBS.US,60,20240417,160000,28.32,28.375,28.23,28.29,182092,0
UBS.US,60,20240417,170000,28.29,28.29,28.02,28.02,329787,0
UBS.US,60,20240417,180000,28.03,28.195,28.03,28.1151,529093,0
UBS.US,60,20240417,190000,28.12,28.12,27.9101,27.96,193786,0
UBS.US,60,20240417,200000,27.96,28.13,27.94,28.125,89218,0
UBS.US,60,20240417,210000,28.12,28.2262,28.115,28.1207,219690,0
UBS.US,60,20240417,220000,28.12,28.155,28.08,28.11,558037,0
