<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UGI.US,60,20240411,160000,24.52,24.54,24.21,24.215,54026,0
UGI.US,60,20240411,170000,24.14,24.145,23.76,23.82,152127,0
UGI.US,60,20240411,180000,23.805,23.96,23.685,23.935,83988,0
UGI.US,60,20240411,190000,23.94,23.945,23.8,23.83,106332,0
UGI.US,60,20240411,200000,23.83,23.95,23.825,23.9,109638,0
UGI.US,60,20240411,210000,23.905,24,23.9,23.905,134866,0
UGI.US,60,20240411,220000,23.9,24.07,23.85,24.01,589233,0
UGI.US,60,20240412,160000,24.05,24.205,23.92,23.95,55276,0
UGI.US,60,20240412,170000,23.94,23.97,23.815,23.84,129495,0
UGI.US,60,20240412,180000,23.84,23.86,23.685,23.735,152150,0
UGI.US,60,20240412,190000,23.735,23.81,23.545,23.575,89016,0
UGI.US,60,20240412,200000,23.57,23.57,23.4712,23.545,105971,0
UGI.US,60,20240412,210000,23.54,23.58,23.405,23.42,97206,0
UGI.US,60,20240412,220000,23.41,23.54,23.355,23.46,499833,0
UGI.US,60,20240415,160000,23.58,23.81,23.42,23.48,60308,0
UGI.US,60,20240415,170000,23.49,23.5,23.135,23.28,250969,0
UGI.US,60,20240415,180000,23.28,23.43,23.235,23.37,231582,0
UGI.US,60,20240415,190000,23.37,23.39,23.12,23.15,170702,0
UGI.US,60,20240415,200000,23.14,23.39,23.1,23.36,223582,0
UGI.US,60,20240415,210000,23.35,23.395,23.31,23.355,159299,0
UGI.US,60,20240415,220000,23.355,23.57,23.295,23.52,576947,0
UGI.US,60,20240416,160000,23.38,23.52,22.98,23.0599,70961,0
UGI.US,60,20240416,170000,23.05,23.05,22.855,22.88,159313,0
UGI.US,60,20240416,180000,22.89,23.11,22.885,23.06,114061,0
UGI.US,60,20240416,190000,23.05,23.125,23.015,23.125,83114,0
UGI.US,60,20240416,200000,23.125,23.135,22.94,23.07,86679,0
UGI.US,60,20240416,210000,23.06,23.21,23.015,23.13,98426,0
UGI.US,60,20240416,220000,23.135,23.14,22.975,23.11,465766,0
UGI.US,60,20240417,160000,23.36,23.89,23.36,23.79,130113,0
UGI.US,60,20240417,170000,23.78,23.87,23.61,23.795,342966,0
UGI.US,60,20240417,180000,23.8,23.875,23.69,23.815,134520,0
UGI.US,60,20240417,190000,23.81,23.92,23.75,23.83,131838,0
UGI.US,60,20240417,200000,23.83,24.04,23.81,24.01,133525,0
UGI.US,60,20240417,210000,24.01,24.04,23.83,23.85,164086,0
UGI.US,60,20240417,220000,23.86,23.86,23.69,23.7,695717,0
UGI.US,60,20240418,160000,23.72,23.88,23.68,23.798,43233,0
UGI.US,60,20240418,170000,23.81,23.825,23.62,23.69,112509,0
UGI.US,60,20240418,180000,23.675,23.7875,23.63,23.785,163660,0
UGI.US,60,20240418,190000,23.7875,23.83,23.685,23.73,185006,0
UGI.US,60,20240418,200000,23.73,23.835,23.7,23.78,244853,0
UGI.US,60,20240418,210000,23.775,23.78,23.695,23.755,192689,0
UGI.US,60,20240418,220000,23.76,23.96,23.76,23.79,766163,0
UGI.US,60,20240419,160000,23.73,23.9983,23.73,23.93,34881,0
UGI.US,60,20240419,170000,23.93,24.02,23.84,24,201795,0
UGI.US,60,20240419,180000,23.995,25.93,23.98,25.37,3401055,0
UGI.US,60,20240419,190000,25.3707,25.705,25.31,25.705,428997,0
UGI.US,60,20240419,200000,25.71,25.805,25.565,25.655,343607,0
UGI.US,60,20240419,210000,25.655,25.76,25.48,25.61,426758,0
UGI.US,60,20240419,220000,25.6,25.78,25.495,25.75,1322997,0
UGI.US,60,20240422,160000,25.76,25.77,25.34,25.6,164268,0
UGI.US,60,20240422,170000,25.61,25.875,25.5,25.69,277917,0
UGI.US,60,20240422,180000,25.695,25.695,25.36,25.425,202857,0
UGI.US,60,20240422,190000,25.43,25.56,25.305,25.56,167518,0
UGI.US,60,20240422,200000,25.56,25.72,25.53,25.705,170498,0
UGI.US,60,20240422,210000,25.71,25.785,25.635,25.635,187141,0
UGI.US,60,20240422,220000,25.63,25.705,25.46,25.48,763690,0
UGI.US,60,20240423,160000,25.27,25.57,25.225,25.55,97736,0
UGI.US,60,20240423,170000,25.555,25.75,25.49,25.64,154765,0
UGI.US,60,20240423,180000,25.64,25.695,25.59,25.685,114407,0
UGI.US,60,20240423,190000,25.685,25.685,25.53,25.63,109705,0
UGI.US,60,20240423,200000,25.625,25.7,25.57,25.7,127098,0
UGI.US,60,20240423,210000,25.7,25.715,25.57,25.585,113579,0
UGI.US,60,20240423,220000,25.58,25.6778,25.53,25.53,640374,0
UGI.US,60,20240424,160000,25.3,25.56,25.14,25.51,69695,0
UGI.US,60,20240424,170000,25.515,25.805,25.475,25.745,172885,0
UGI.US,60,20240424,180000,25.745,25.81,25.705,25.81,76663,0
UGI.US,60,20240424,190000,25.81,25.81,25.71,25.79,70808,0
UGI.US,60,20240424,200000,25.795,25.97,25.79,25.965,146992,0
UGI.US,60,20240424,210000,25.965,26.03,25.85,25.92,248216,0
UGI.US,60,20240424,220000,25.92,26.0482,25.84,26,1026485,0
UGI.US,60,20240425,160000,25.86,25.98,25.6397,25.72,68740,0
UGI.US,60,20240425,170000,25.73,25.775,25.605,25.755,138732,0
UGI.US,60,20240425,180000,25.75,25.81,25.64,25.745,103627,0
UGI.US,60,20240425,190000,25.7475,25.805,25.73,25.795,73961,0
UGI.US,60,20240425,200000,25.79,25.795,25.705,25.79,92926,0
UGI.US,60,20240425,210000,25.795,25.8,25.63,25.715,181501,0
UGI.US,60,20240425,220000,25.72,25.79,25.63,25.73,565022,0
UGI.US,60,20240426,160000,25.75,25.915,25.65,25.65,55830,0
UGI.US,60,20240426,170000,25.64,25.755,25.63,25.67,73612,0
UGI.US,60,20240426,180000,25.66,25.705,25.6,25.655,62831,0
UGI.US,60,20240426,190000,25.655,25.68,25.59,25.62,59222,0
UGI.US,60,20240426,200000,25.625,25.66,25.53,25.57,68362,0
UGI.US,60,20240426,210000,25.575,25.62,25.54,25.575,45161,0
UGI.US,60,20240426,220000,25.57,25.585,25.35,25.38,364807,0
UGI.US,60,20240429,160000,25.62,25.79,25.52,25.62,56987,0
UGI.US,60,20240429,170000,25.625,25.705,25.58,25.64,68338,0
UGI.US,60,20240429,180000,25.645,25.665,25.57,25.635,70258,0
UGI.US,60,20240429,190000,25.635,25.73,25.625,25.64,141210,0
