<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UL.US,60,20240411,160000,48.04,48.09,47.825,47.89,142605,0
UL.US,60,20240411,170000,47.88,47.88,47.585,47.67,488776,0
UL.US,60,20240411,180000,47.67,47.86,47.575,47.84,393459,0
UL.US,60,20240411,190000,47.84,47.845,47.66,47.7,160040,0
UL.US,60,20240411,200000,47.705,47.8417,47.685,47.835,94389,0
UL.US,60,20240411,210000,47.8314,47.91,47.795,47.82,155656,0
UL.US,60,20240411,220000,47.83,47.83,47.64,47.65,763267,0
UL.US,60,20240412,160000,47.39,47.45,47.285,47.32,284339,0
UL.US,60,20240412,170000,47.32,47.3202,47.19,47.26,221787,0
UL.US,60,20240412,180000,47.25,47.2522,47.13,47.17,200496,0
UL.US,60,20240412,190000,47.165,47.2,47,47,146634,0
UL.US,60,20240412,200000,47.005,47.015,46.85,46.935,332707,0
UL.US,60,20240412,210000,46.93,46.97,46.8,46.8,273301,0
UL.US,60,20240412,220000,46.8,46.84,46.75,46.76,667882,0
UL.US,60,20240415,160000,47.03,47.1,46.97,47.005,216714,0
UL.US,60,20240415,170000,47.005,47.06,46.905,46.92,468605,0
UL.US,60,20240415,180000,46.911,47.13,46.9,47.09,381957,0
UL.US,60,20240415,190000,47.09,47.125,46.96,46.98,112911,0
UL.US,60,20240415,200000,46.97,46.97,46.75,46.82,118644,0
UL.US,60,20240415,210000,46.83,46.87,46.71,46.765,121609,0
UL.US,60,20240415,220000,46.77,46.775,46.64,46.71,581263,0
UL.US,60,20240416,160000,46.64,46.68,46.51,46.6,165462,0
UL.US,60,20240416,170000,46.585,46.61,46.51,46.52,387770,0
UL.US,60,20240416,180000,46.524,46.705,46.505,46.67,342362,0
UL.US,60,20240416,190000,46.66,46.66,46.58,46.615,144374,0
UL.US,60,20240416,200000,46.615,46.625,46.5,46.582,178772,0
UL.US,60,20240416,210000,46.59,46.69,46.5,46.65,282934,0
UL.US,60,20240416,220000,46.66,46.66,46.47,46.47,754589,0
UL.US,60,20240417,160000,46.93,47.0473,46.8002,46.81,345096,0
UL.US,60,20240417,170000,46.81,46.81,46.6,46.6175,524874,0
UL.US,60,20240417,180000,46.61,46.7,46.52,46.63,390353,0
UL.US,60,20240417,190000,46.63,46.63,46.455,46.49,411020,0
UL.US,60,20240417,200000,46.485,46.6,46.475,46.57,631782,0
UL.US,60,20240417,210000,46.57,46.789,46.55,46.61,591593,0
UL.US,60,20240417,220000,46.61,46.74,46.54,46.69,850622,0
UL.US,60,20240418,160000,46.98,47.01,46.825,46.93,223004,0
UL.US,60,20240418,170000,46.93,47.0091,46.8901,46.9201,656812,0
UL.US,60,20240418,180000,46.925,47.065,46.91,47.005,843227,0
UL.US,60,20240418,190000,47.01,47.14,46.855,46.87,348293,0
UL.US,60,20240418,200000,46.88,46.89,46.775,46.815,195583,0
UL.US,60,20240418,210000,46.815,46.815,46.61,46.655,751168,0
UL.US,60,20240418,220000,46.66,46.931,46.655,46.85,1349786,0
UL.US,60,20240419,160000,47.23,47.24,47.05,47.0699,548446,0
UL.US,60,20240419,170000,47.06,47.24,47.0599,47.215,700143,0
