<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNH.US,60,20240411,160000,440.174,440.548,436.686,438.084,343166.4374834911,0
UNH.US,60,20240411,170000,438.056,438.338,434.547,435.184,538793.9401339,0
UNH.US,60,20240411,180000,435.132,435.651,433.734,435.396,362305.47874106,0
UNH.US,60,20240411,190000,435.308,435.856,433.734,433.734,364131.89887711,0
UNH.US,60,20240411,200000,433.754,435.387,433.744,434.407,333373.34665878,0
UNH.US,60,20240411,210000,434.404,435.476,434.155,434.762,380101.05241396,0
UNH.US,60,20240411,220000,434.791,434.908,431.468,431.702,1650559.9222529,0
UNH.US,60,20240412,160000,430.35,432.211,429.65,432.211,579627.9876349511,0
UNH.US,60,20240412,170000,431.927,432.186,429.494,430.804,485909.61255318,0
UNH.US,60,20240412,180000,430.844,431.527,429.572,430.216,373463.52444616,0
UNH.US,60,20240412,190000,430.158,430.197,428.948,429.063,268384.5091568,0
UNH.US,60,20240412,200000,428.977,429.147,426.484,428.057,497722.5091754,0
UNH.US,60,20240412,210000,428.009,428.507,426.758,426.919,434068.95362162,0
UNH.US,60,20240412,220000,426.924,429.591,426.675,429.241,1429428.0227895,0
UNH.US,60,20240415,160000,431.976,436.1,431.967,435.866,497485.1257179407,0
UNH.US,60,20240415,170000,435.866,436.075,433.305,434.753,314055.24460356,0
UNH.US,60,20240415,180000,434.743,438.007,434.743,437.082,370809.33182268,0
UNH.US,60,20240415,190000,437.082,438.181,436.06,436.653,295361.29732872,0
UNH.US,60,20240415,200000,436.653,437.558,435.974,436.599,396593.06347996,0
UNH.US,60,20240415,210000,436.55,436.604,434.409,436.33,266592.87797573,0
UNH.US,60,20240415,220000,436.286,436.95,435.29,435.524,1271560.8611479,0
UNH.US,60,20240416,160000,465.957,468.87,457.329,464.37,1771906.866810055,0
UNH.US,60,20240416,170000,464.228,464.365,455.041,457.699,1606235.7240045,0
UNH.US,60,20240416,180000,457.846,463.105,456.917,462.864,877303.77367389,0
UNH.US,60,20240416,190000,462.772,463.533,459.521,459.614,593135.31100524,0
UNH.US,60,20240416,200000,459.82,460.387,456.899,457.65,466222.13365252,0
UNH.US,60,20240416,210000,457.777,459.156,455.275,458.374,378800.55942073,0
UNH.US,60,20240416,220000,458.404,461.115,456.795,458.256,1878664.9607791,0
UNH.US,60,20240417,160000,467.747,476.933,465.723,472.183,1325922.6961104118,0
UNH.US,60,20240417,170000,472.242,473.297,463.827,464.579,838529.43694812,0
UNH.US,60,20240417,180000,464.561,468.969,464.228,468.899,517220.69523283,0
UNH.US,60,20240417,190000,468.772,473.717,468.772,472.955,603115.64826406,0
UNH.US,60,20240417,200000,472.853,474.714,471.216,472.027,427865.26438641,0
UNH.US,60,20240417,210000,471.969,473.531,468.665,470.184,476353.90518593,0
UNH.US,60,20240417,220000,470.317,470.462,467.638,468.128,1632540.2667818,0
UNH.US,60,20240418,160000,475.105,485.396,474.949,484.698,850663.6198015556,0
UNH.US,60,20240418,170000,484.698,490.615,484.351,486.085,1344300.4731768,0
UNH.US,60,20240418,180000,486.032,487.324,482.182,482.459,491931.17137706,0
UNH.US,60,20240418,190000,482.455,482.827,480.754,482.137,246401.98243252,0
UNH.US,60,20240418,200000,482.055,484.508,481.986,484.302,446354.57074964,0
UNH.US,60,20240418,210000,484.175,485.367,483.539,485.308,518418.86777026,0
UNH.US,60,20240418,220000,485.222,485.992,481.82,481.995,2209453.6927244,0
UNH.US,60,20240419,160000,485.729,490.625,484.321,489.76,687232.2717734725,0
UNH.US,60,20240419,170000,489.76,493.303,488.417,489.99,619201.44712053,0
UNH.US,60,20240419,180000,490.014,492.081,489.551,491.203,363718.52423567,0
UNH.US,60,20240419,190000,491.114,494.133,491.031,493.386,491637.51166892,0
UNH.US,60,20240419,200000,493.386,495.795,493.029,493.724,431459.7819987,0
UNH.US,60,20240419,210000,493.519,493.577,488.777,489.424,276859.7125108,0
UNH.US,60,20240419,220000,489.599,490.845,488.681,489.639,701600.11017704,0
UNH.US,60,20240422,160000,486.491,488.094,483.138,483.422,365386.34766522754,0
UNH.US,60,20240422,170000,483.461,486.394,482.528,484.409,467086.74150403,0
UNH.US,60,20240422,180000,484.499,485.642,483.246,485.476,237574.79671057,0
UNH.US,60,20240422,190000,485.518,486.061,483.246,483.734,234047.81059912,0
UNH.US,60,20240422,200000,483.734,485.622,483.447,485.436,246436.7713875,0
UNH.US,60,20240422,210000,485.426,485.729,483.657,483.818,244820.10818584,0
UNH.US,60,20240422,220000,483.754,483.901,479.513,480.091,1358615.1049434,0
UNH.US,60,20240423,160000,479.866,482.298,474.949,482.221,398930.0626904561,0
UNH.US,60,20240423,170000,482.421,483.101,478.312,481.038,250807.90125931,0
UNH.US,60,20240423,180000,480.891,481.136,476.972,477.226,254621.38464701,0
UNH.US,60,20240423,190000,477.295,478.809,476.551,476.684,180485.09839643,0
UNH.US,60,20240423,200000,476.684,477.695,476.21,476.699,212246.3910816,0
UNH.US,60,20240423,210000,476.611,477.221,474.779,475.029,208897.44256324,0
UNH.US,60,20240423,220000,474.91,475.535,473.971,475.154,962473.2746735,0
UNH.US,60,20240424,160000,472.809,473.942,469.809,473.241,455869.3499345742,0
UNH.US,60,20240424,170000,473.434,474.724,470.786,471.06,333030.57313185,0
UNH.US,60,20240424,180000,471.176,472.662,469.809,472.476,208386.86348879,0
UNH.US,60,20240424,190000,472.541,474.475,472.349,474.216,102064.65466146,0
UNH.US,60,20240424,200000,474.118,477.201,473.992,476.894,93262.025848901,0
UNH.US,60,20240424,210000,476.894,477.089,475.52,475.672,142744.19827425,0
UNH.US,60,20240424,220000,475.682,477.774,474.544,476.248,991921.10185301,0
UNH.US,60,20240425,160000,477.871,483.174,476.475,480.891,370512.6025008556,0
UNH.US,60,20240425,170000,480.989,484.145,480.271,482.406,334705.55899331,0
UNH.US,60,20240425,180000,482.416,484.429,481.977,483.877,244186.74456443,0
