<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VFC.US,60,20240411,160000,13.58,13.67,13.3,13.305,361677,0
VFC.US,60,20240411,170000,13.305,13.31,13.1,13.1,481195,0
VFC.US,60,20240411,180000,13.1,13.3,13.08,13.29,483167,0
VFC.US,60,20240411,190000,13.29,13.3,13.19,13.255,392306,0
VFC.US,60,20240411,200000,13.255,13.32,13.19,13.1957,416349,0
VFC.US,60,20240411,210000,13.19,13.26,13.14,13.145,554565,0
VFC.US,60,20240411,220000,13.145,13.175,13.06,13.13,2322308,0
VFC.US,60,20240412,160000,12.77,12.82,12.55,12.6843,1326435,0
VFC.US,60,20240412,170000,12.685,12.685,12.47,12.545,1418866,0
VFC.US,60,20240412,180000,12.54,12.58,12.42,12.485,1376948,0
VFC.US,60,20240412,190000,12.485,12.49,12.25,12.25,1308198,0
VFC.US,60,20240412,200000,12.25,12.2599,12.1,12.135,1889796,0
VFC.US,60,20240412,210000,12.13,12.14,12.05,12.065,1407228,0
VFC.US,60,20240412,220000,12.065,12.17,12.02,12.11,5303867,0
VFC.US,60,20240415,160000,12.28,12.49,12.24,12.285,617093,0
VFC.US,60,20240415,170000,12.285,12.3,12.145,12.165,620540,0
VFC.US,60,20240415,180000,12.17,12.285,12.15,12.285,641280,0
VFC.US,60,20240415,190000,12.29,12.37,12.28,12.355,657225,0
VFC.US,60,20240415,200000,12.35,12.47,12.23,12.47,1228790,0
VFC.US,60,20240415,210000,12.46,12.4857,12.095,12.115,1096878,0
VFC.US,60,20240415,220000,12.11,12.16,12.03,12.15,3271463,0
VFC.US,60,20240416,160000,12.03,12.17,11.91,12.13,482276,0
VFC.US,60,20240416,170000,12.1297,12.33,12.11,12.215,915429,0
VFC.US,60,20240416,180000,12.215,12.48,12.208,12.445,668422,0
VFC.US,60,20240416,190000,12.445,12.49,12.36,12.395,726348,0
VFC.US,60,20240416,200000,12.39,12.59,12.38,12.54,1486226,0
VFC.US,60,20240416,210000,12.535,12.625,12.445,12.555,1068691,0
VFC.US,60,20240416,220000,12.5542,12.64,12.53,12.57,3888529,0
VFC.US,60,20240417,160000,12.65,12.69,12.402,12.455,457950,0
VFC.US,60,20240417,170000,12.46,12.53,12.26,12.28,810778,0
VFC.US,60,20240417,180000,12.28,12.44,12.27,12.425,526778,0
VFC.US,60,20240417,190000,12.425,12.46,12.33,12.42,505940,0
VFC.US,60,20240417,200000,12.42,12.455,12.295,12.295,562545,0
VFC.US,60,20240417,210000,12.29,12.45,12.285,12.36,562932,0
VFC.US,60,20240417,220000,12.35,12.38,12.24,12.25,2294487,0
VFC.US,60,20240418,160000,12.27,12.436,12.22,12.435,230346,0
VFC.US,60,20240418,170000,12.44,12.64,12.35,12.6225,583811,0
VFC.US,60,20240418,180000,12.625,12.71,12.59,12.675,543165,0
VFC.US,60,20240418,190000,12.67,12.745,12.6001,12.64,902891,0
