<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VZ.US,60,20240411,160000,40.45,40.47,40.28,40.2938,1061541,0
VZ.US,60,20240411,170000,40.295,40.3,40.11,40.14,1253205,0
VZ.US,60,20240411,180000,40.1301,40.245,40.09,40.2214,953372,0
VZ.US,60,20240411,190000,40.23,40.29,40.2,40.21,850888,0
VZ.US,60,20240411,200000,40.21,40.36,40.185,40.345,1025979,0
VZ.US,60,20240411,210000,40.34,40.39,40.26,40.325,1051770,0
VZ.US,60,20240411,220000,40.325,40.34,40.14,40.16,4904324,0
VZ.US,60,20240412,160000,40.18,40.26,39.92,40.115,1061102,0
VZ.US,60,20240412,170000,40.12,40.2,39.985,40.135,1276999,0
VZ.US,60,20240412,180000,40.13,40.14,39.92,40.0018,1468342,0
VZ.US,60,20240412,190000,40.005,40.065,39.85,39.85,1312817,0
VZ.US,60,20240412,200000,39.84,39.94,39.795,39.89,1265185,0
VZ.US,60,20240412,210000,39.89,39.985,39.745,39.755,4375941,0
VZ.US,60,20240412,220000,39.755,39.815,39.68,39.72,6346766,0
VZ.US,60,20240415,160000,40.11,40.35,39.98,40.195,2017587,0
VZ.US,60,20240415,170000,40.195,40.2965,40.01,40.095,1484138,0
VZ.US,60,20240415,180000,40.1,40.22,40.05,40.1999,1485708,0
VZ.US,60,20240415,190000,40.2,40.22,40.04,40.075,952228,0
VZ.US,60,20240415,200000,40.07,40.1,39.91,39.975,1719789,0
VZ.US,60,20240415,210000,39.97,40.005,39.885,39.915,1295301,0
VZ.US,60,20240415,220000,39.91,40.16,39.85,40.11,5045704,0
VZ.US,60,20240416,160000,40.12,40.14,39.89,40.025,759334,0
VZ.US,60,20240416,170000,40.025,40.13,39.61,39.695,1575046,0
VZ.US,60,20240416,180000,39.69,39.78,39.6,39.73,1028294,0
VZ.US,60,20240416,190000,39.73,39.83,39.68,39.7383,1085909,0
VZ.US,60,20240416,200000,39.735,39.75,39.57,39.64,1278700,0
VZ.US,60,20240416,210000,39.64,39.83,39.57,39.83,1112881,0
VZ.US,60,20240416,220000,39.835,39.87,39.72,39.77,4656862,0
VZ.US,60,20240417,160000,39.85,39.975,39.73,39.9322,765711,0
VZ.US,60,20240417,170000,39.94,39.97,39.63,39.6499,1278583,0
VZ.US,60,20240417,180000,39.65,39.685,39.485,39.55,2209010,0
VZ.US,60,20240417,190000,39.555,39.6275,39.4615,39.585,1349365,0
VZ.US,60,20240417,200000,39.59,39.7954,39.555,39.765,2439076,0
VZ.US,60,20240417,210000,39.765,39.845,39.71,39.78,2584127,0
VZ.US,60,20240417,220000,39.77,39.84,39.68,39.78,4836331,0
VZ.US,60,20240418,160000,39.85,40.01,39.79,39.975,906069,0
VZ.US,60,20240418,170000,39.99,40.04,39.8,40.015,2008019,0
VZ.US,60,20240418,180000,40.015,40.06,39.84,39.915,2282279,0
VZ.US,60,20240418,190000,39.915,39.985,39.71,39.81,1468178,0
VZ.US,60,20240418,200000,39.805,39.91,39.785,39.845,1072896,0
VZ.US,60,20240418,210000,39.845,39.97,39.77,39.945,1219527,0
VZ.US,60,20240418,220000,39.95,40.17,39.93,40.13,4936975,0
VZ.US,60,20240419,160000,40,40.32,39.98,40.3,1856137,0
VZ.US,60,20240419,170000,40.295,40.47,40.22,40.22,2622007,0
VZ.US,60,20240419,180000,40.225,40.3,40.165,40.275,1837976,0
VZ.US,60,20240419,190000,40.275,40.42,40.2,40.39,1894182,0
VZ.US,60,20240419,200000,40.3938,40.495,40.3,40.435,1573409,0
VZ.US,60,20240419,210000,40.435,40.675,40.37,40.665,1637077,0
VZ.US,60,20240419,220000,40.66,40.665,40.45,40.49,5295072,0
VZ.US,60,20240422,160000,41.4,41.64,39.24,39.545,6288000,0
VZ.US,60,20240422,170000,39.5567,39.74,38.85,39.16,7255535,0
VZ.US,60,20240422,180000,39.1524,39.19,38.71,38.815,4534563,0
VZ.US,60,20240422,190000,38.82,39.07,38.74,38.935,3230205,0
VZ.US,60,20240422,200000,38.935,39.21,38.78,39.115,3139834,0
VZ.US,60,20240422,210000,39.115,39.2,38.65,38.78,3693716,0
VZ.US,60,20240422,220000,38.785,38.89,38.56,38.6,14101600,0
