<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WFC.US,60,20240411,160000,56.98,57,56.15,56.42,1059728,0
WFC.US,60,20240411,170000,56.425,56.44,55.625,56.025,1654144,0
WFC.US,60,20240411,180000,56.03,56.37,55.97,56.355,1382960,0
WFC.US,60,20240411,190000,56.355,56.575,56.27,56.43,970424,0
WFC.US,60,20240411,200000,56.425,56.87,56.37,56.715,1309215,0
WFC.US,60,20240411,210000,56.71,56.94,56.705,56.905,1630024,0
WFC.US,60,20240411,220000,56.91,57,56.62,56.69,6456237,0
WFC.US,60,20240412,160000,55.97,57,55.34,56.69,3424796,0
WFC.US,60,20240412,170000,56.68,57,56.35,56.52,3244178,0
WFC.US,60,20240412,180000,56.52,56.86,56.335,56.685,2105234,0
WFC.US,60,20240412,190000,56.68,56.71,56.375,56.565,1522535,0
WFC.US,60,20240412,200000,56.56,56.675,56.24,56.545,1415439,0
WFC.US,60,20240412,210000,56.545,56.595,56.24,56.35,1274877,0
WFC.US,60,20240412,220000,56.34,56.51,56.08,56.47,6915376,0
WFC.US,60,20240415,160000,57.61,57.98,57.42,57.825,1967947,0
WFC.US,60,20240415,170000,57.83,57.855,57.255,57.33,1901938,0
WFC.US,60,20240415,180000,57.34,57.64,57.24,57.6175,1495251,0
WFC.US,60,20240415,190000,57.615,57.7175,57.24,57.35,1626797,0
WFC.US,60,20240415,200000,57.34,57.44,56.785,56.99,1450242,0
WFC.US,60,20240415,210000,56.985,57.08,56.735,56.915,1566810,0
WFC.US,60,20240415,220000,56.915,57.1,56.78,56.97,5138768,0
WFC.US,60,20240416,160000,56.9,56.96,55.68,55.77,1613460,0
WFC.US,60,20240416,170000,55.765,56.05,55.66,55.9,2917904,0
WFC.US,60,20240416,180000,55.9,56.115,55.68,55.975,2163214,0
WFC.US,60,20240416,190000,55.98,56.2244,55.915,56.14,1859165,0
WFC.US,60,20240416,200000,56.145,56.52,56.08,56.32,2744075,0
WFC.US,60,20240416,210000,56.31,56.59,56.07,56.57,3337655,0
WFC.US,60,20240416,220000,56.58,56.735,56.36,56.41,6712951,0
WFC.US,60,20240417,160000,56.88,57.45,56.77,57.18,1180446,0
WFC.US,60,20240417,170000,57.2,57.21,56.67,56.785,2228241,0
WFC.US,60,20240417,180000,56.785,57.01,56.65,56.965,1996411,0
WFC.US,60,20240417,190000,56.96,57.01,56.73,56.95,1491377,0
WFC.US,60,20240417,200000,56.96,57.325,56.92,57.2922,1426278,0
WFC.US,60,20240417,210000,57.29,57.63,57.26,57.36,2118688,0
WFC.US,60,20240417,220000,57.35,57.38,57.11,57.18,5314238,0
WFC.US,60,20240418,160000,57.625,58.01,57.24,57.955,1249322,0
WFC.US,60,20240418,170000,57.95,58.7755,57.81,58.77,3332209,0
WFC.US,60,20240418,180000,58.77,59.06,58.61,59.025,3389022,0
WFC.US,60,20240418,190000,59.02,59.13,58.685,58.69,1731152,0
WFC.US,60,20240418,200000,58.68,58.795,58.38,58.725,2082872,0
WFC.US,60,20240418,210000,58.72,58.885,58.575,58.8337,2576931,0
WFC.US,60,20240418,220000,58.835,58.985,58.72,58.74,6574275,0
WFC.US,60,20240419,160000,59,59.7841,58.855,59.725,2684628,0
WFC.US,60,20240419,170000,59.725,60.5697,59.7,60.405,4985709,0
WFC.US,60,20240419,180000,60.41,60.79,60.32,60.775,3128725,0
WFC.US,60,20240419,190000,60.78,60.85,60.205,60.63,2890784,0
WFC.US,60,20240419,200000,60.63,60.775,60.52,60.525,2559836,0
WFC.US,60,20240419,210000,60.52,60.525,60.185,60.42,2626187,0
WFC.US,60,20240419,220000,60.42,60.465,59.97,60.355,5226935,0
WFC.US,60,20240422,160000,60.4,60.67,60.34,60.55,2023693,0
WFC.US,60,20240422,170000,60.545,60.955,60.54,60.71,2376811,0
WFC.US,60,20240422,180000,60.72,60.93,60.665,60.87,1658144,0
WFC.US,60,20240422,190000,60.88,61.2297,60.8,61.2193,1855361,0
WFC.US,60,20240422,200000,61.21,61.39,61.045,61.21,2148702,0
WFC.US,60,20240422,210000,61.215,61.485,60.995,61.18,2482839,0
WFC.US,60,20240422,220000,61.175,61.1799,60.855,61.1,5643395,0
WFC.US,60,20240423,160000,61.17,61.34,60.92,61.23,1318937,0
WFC.US,60,20240423,170000,61.23,61.7393,61.16,61.69,2161902,0
WFC.US,60,20240423,180000,61.69,61.76,61.55,61.575,1645914,0
WFC.US,60,20240423,190000,61.585,61.73,61.435,61.5,1659074,0
WFC.US,60,20240423,200000,61.49,61.53,61.17,61.23,1920765,0
WFC.US,60,20240423,210000,61.22,61.23,60.85,60.885,2745990,0
WFC.US,60,20240423,220000,60.885,61.1,60.81,60.94,7454040,0
WFC.US,60,20240424,160000,60.6,60.6901,60.05,60.515,2372148,0
WFC.US,60,20240424,170000,60.525,60.815,60.43,60.58,2440127,0
WFC.US,60,20240424,180000,60.57,60.6275,60.37,60.45,2058280,0
WFC.US,60,20240424,190000,60.435,60.66,60.42,60.63,1470344,0
WFC.US,60,20240424,200000,60.622,60.95,60.6102,60.895,1378779,0
WFC.US,60,20240424,210000,60.895,60.905,60.64,60.68,1666359,0
WFC.US,60,20240424,220000,60.68,60.91,60.53,60.6,5231869,0
WFC.US,60,20240425,160000,60.61,60.89,60.18,60.26,1081513,0
WFC.US,60,20240425,170000,60.265,60.45,60.095,60.24,2395189,0
WFC.US,60,20240425,180000,60.24,60.33,60.11,60.21,2127745,0
WFC.US,60,20240425,190000,60.21,60.22,59.6,59.765,3363012,0
WFC.US,60,20240425,200000,59.765,60.17,59.75,60,2455931,0
WFC.US,60,20240425,210000,59.995,60.08,59.82,60.075,1767682,0
WFC.US,60,20240425,220000,60.075,60.27,59.87,59.93,6430829,0
WFC.US,60,20240426,160000,59.78,60.05,59.375,59.975,1551016,0
WFC.US,60,20240426,170000,59.975,60.27,59.81,59.825,1925721,0
WFC.US,60,20240426,180000,59.83,59.8799,59.575,59.8401,1636414,0
WFC.US,60,20240426,190000,59.84,60.11,59.795,60.035,1335249,0
WFC.US,60,20240426,200000,60.035,60.22,59.96,60.2088,1293677,0
WFC.US,60,20240426,210000,60.205,60.43,60.185,60.36,1723587,0
WFC.US,60,20240426,220000,60.35,60.43,59.8701,59.91,5133328,0
WFC.US,60,20240429,160000,59.86,60.025,59.36,59.955,1486674,0
WFC.US,60,20240429,170000,59.96,60.3,59.94,60.17,1913552,0
WFC.US,60,20240429,180000,60.1508,60.25,59.94,60.09,1786685,0
WFC.US,60,20240429,190000,60.085,60.1492,60.03,60.1275,1028240,0
WFC.US,60,20240429,200000,60.125,60.23,60.025,60.105,1047923,0
WFC.US,60,20240429,210000,60.109,60.2175,60.05,60.085,1500868,0
WFC.US,60,20240429,220000,60.08,60.08,59.615,59.8,4518129,0
WFC.US,60,20240430,160000,59.6,59.99,59.33,59.675,1179788,0
WFC.US,60,20240430,170000,59.67,59.97,59.57,59.89,1741786,0
WFC.US,60,20240430,180000,59.89,59.93,59.585,59.7,1479152,0
WFC.US,60,20240430,190000,59.7,59.78,59.41,59.46,1297493,0
WFC.US,60,20240430,200000,59.465,59.72,59.41,59.665,1402202,0
WFC.US,60,20240430,210000,59.665,59.775,59.535,59.67,1305611,0
WFC.US,60,20240430,220000,59.67,59.69,59.3,59.32,6291652,0
WFC.US,60,20240501,160000,59.58,59.78,59.45,59.69,928372,0
WFC.US,60,20240501,170000,59.71,59.83,59.54,59.7,1573333,0
WFC.US,60,20240501,180000,59.71,59.806,59.545,59.635,1119242,0
