<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WH.US,60,20240411,160000,73.01,73.5,72.89,73.17,8519,0
WH.US,60,20240411,170000,73.225,73.28,72.89,73.26,34191,0
WH.US,60,20240411,180000,73.24,73.64,73.23,73.59,29336,0
WH.US,60,20240411,190000,73.59,73.59,73.4,73.51,19712,0
WH.US,60,20240411,200000,73.5,73.73,73.45,73.64,20467,0
WH.US,60,20240411,210000,73.64,73.86,73.64,73.7,21990,0
WH.US,60,20240411,220000,73.73,73.77,73.355,73.46,142411,0
WH.US,60,20240412,160000,72.64,73.12,72.63,72.97,7648,0
WH.US,60,20240412,170000,72.95,72.95,72.69,72.735,36710,0
WH.US,60,20240412,180000,72.75,72.76,72.32,72.36,50733,0
WH.US,60,20240412,190000,72.36,72.445,72.24,72.25,19843,0
WH.US,60,20240412,200000,72.25,72.28,72.01,72.11,36866,0
WH.US,60,20240412,210000,72.09,72.33,72.02,72.12,17049,0
WH.US,60,20240412,220000,72.11,72.335,72,72.17,152150,0
WH.US,60,20240415,160000,72.74,72.785,72.34,72.355,17434,0
WH.US,60,20240415,170000,72.355,72.425,71.62,71.7,57002,0
WH.US,60,20240415,180000,71.66,71.81,71.55,71.73,65209,0
WH.US,60,20240415,190000,71.72,71.77,71.31,71.67,51482,0
WH.US,60,20240415,200000,71.67,71.74,71.555,71.72,31180,0
WH.US,60,20240415,210000,71.71,71.77,71.425,71.52,29881,0
WH.US,60,20240415,220000,71.525,71.76,71.4,71.5,270541,0
WH.US,60,20240416,160000,71.23,71.88,71.1,71.22,14752,0
WH.US,60,20240416,170000,71.205,71.39,70.82,70.85,110753,0
WH.US,60,20240416,180000,70.88,71.22,70.88,71.13,18510,0
WH.US,60,20240416,190000,71.1,71.305,71.07,71.19,24988,0
WH.US,60,20240416,200000,71.215,71.27,70.94,70.965,51477,0
WH.US,60,20240416,210000,70.93,71.28,70.7,71.18,81611,0
WH.US,60,20240416,220000,71.175,71.29,70.835,71.04,348239,0
WH.US,60,20240417,160000,70.5,71.015,70.5,70.89,25130,0
WH.US,60,20240417,170000,70.885,71.045,70.71,70.925,57848,0
WH.US,60,20240417,180000,70.915,71.11,70.42,70.52,83665,0
WH.US,60,20240417,190000,70.52,70.55,69.82,69.85,25691,0
WH.US,60,20240417,200000,69.81,70.1,69.81,69.91,26966,0
WH.US,60,20240417,210000,69.97,69.97,69.61,69.79,55173,0
