<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMT.US,60,20240411,160000,60.75,60.89,60.325,60.39,667585,0
WMT.US,60,20240411,170000,60.395,60.41,60.18,60.2501,921705,0
WMT.US,60,20240411,180000,60.255,60.445,60.11,60.3188,852074,0
WMT.US,60,20240411,190000,60.315,60.4682,60.3,60.43,628207,0
WMT.US,60,20240411,200000,60.42,60.51,60.34,60.45,577557,0
WMT.US,60,20240411,210000,60.455,60.51,60.275,60.3284,761994,0
WMT.US,60,20240411,220000,60.33,60.375,60.07,60.09,4395776,0
WMT.US,60,20240412,160000,60,60.365,59.95,60.34,668396,0
WMT.US,60,20240412,170000,60.32,60.44,60.22,60.3884,871506,0
WMT.US,60,20240412,180000,60.38,60.72,60.32,60.59,1850017,0
WMT.US,60,20240412,190000,60.585,60.59,60.165,60.26,788093,0
WMT.US,60,20240412,200000,60.26,60.35,60.2,60.225,849064,0
WMT.US,60,20240412,210000,60.225,60.36,60.11,60.215,938547,0
WMT.US,60,20240412,220000,60.21,60.23,60.05,60.14,3772381,0
WMT.US,60,20240415,160000,60.51,60.7,60.3331,60.505,748577,0
WMT.US,60,20240415,170000,60.51,60.53,60.2025,60.235,769783,0
WMT.US,60,20240415,180000,60.24,60.45,60.16,60.4261,709451,0
WMT.US,60,20240415,190000,60.425,60.48,60.19,60.305,535028,0
WMT.US,60,20240415,200000,60.305,60.345,60.03,60.09,752706,0
WMT.US,60,20240415,210000,60.08,60.16,59.99,60.1,929598,0
WMT.US,60,20240415,220000,60.1,60.13,59.91,59.93,3668751,0
WMT.US,60,20240416,160000,60.03,60.29,60.02,60.165,859739,0
WMT.US,60,20240416,170000,60.17,60.235,59.99,60.145,1328048,0
WMT.US,60,20240416,180000,60.145,60.22,59.9525,59.96,1004226,0
WMT.US,60,20240416,190000,59.955,60.06,59.9,60.015,802131,0
WMT.US,60,20240416,200000,60.015,60.02,59.82,59.955,1059089,0
WMT.US,60,20240416,210000,59.955,60.09,59.78,60.025,1042506,0
WMT.US,60,20240416,220000,60.03,60.06,59.785,59.84,5220623,0
WMT.US,60,20240417,160000,60.15,60.43,60.02,60.21,1419435,0
WMT.US,60,20240417,170000,60.215,60.3,59.9901,60.0625,1765308,0
WMT.US,60,20240417,180000,60.0625,60.14,59.72,59.8025,966954,0
WMT.US,60,20240417,190000,59.8025,59.9,59.57,59.755,1212302,0
WMT.US,60,20240417,200000,59.75,59.88,59.68,59.815,1019524,0
WMT.US,60,20240417,210000,59.815,60.08,59.8,59.99,1203965,0
WMT.US,60,20240417,220000,59.98,59.995,59.58,59.65,4782084,0
WMT.US,60,20240418,160000,59.83,59.935,59.37,59.38,648480,0
WMT.US,60,20240418,170000,59.385,59.6999,59.3819,59.62,894140,0
WMT.US,60,20240418,180000,59.62,59.7466,59.46,59.545,692704,0
WMT.US,60,20240418,190000,59.545,59.6,59.31,59.35,623808,0
WMT.US,60,20240418,200000,59.35,59.47,59.325,59.42,759085,0
WMT.US,60,20240418,210000,59.42,59.475,59.31,59.3585,723300,0
WMT.US,60,20240418,220000,59.35,59.475,59.22,59.27,4662735,0
WMT.US,60,20240419,160000,59.45,59.67,59.3,59.465,1606110,0
