<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WNC.US,60,20240411,160000,27.47,27.51,27.27,27.41,10986,0
WNC.US,60,20240411,170000,27.41,27.445,27.16,27.25,15198,0
WNC.US,60,20240411,180000,27.21,27.33,27.15,27.29,12018,0
WNC.US,60,20240411,190000,27.3,27.31,27.17,27.28,9787,0
WNC.US,60,20240411,200000,27.27,27.315,27.205,27.26,12530,0
WNC.US,60,20240411,210000,27.28,27.33,27.2,27.2,22891,0
WNC.US,60,20240411,220000,27.2,27.23,26.9,26.93,179980,0
WNC.US,60,20240412,160000,26.71,26.71,26.45,26.56,16933,0
WNC.US,60,20240412,170000,26.555,26.8,26.54,26.77,47890,0
WNC.US,60,20240412,180000,26.775,27.05,26.75,26.963,36329,0
WNC.US,60,20240412,190000,26.99,26.99,26.68,26.75,40563,0
WNC.US,60,20240412,200000,26.76,26.82,26.595,26.595,28384,0
WNC.US,60,20240412,210000,26.58,26.63,26.48,26.542,38566,0
WNC.US,60,20240412,220000,26.54,26.76,26.46,26.74,202133,0
WNC.US,60,20240415,160000,27.08,27.15,26.77,26.85,16522,0
WNC.US,60,20240415,170000,26.875,27,26.48,26.48,23207,0
WNC.US,60,20240415,180000,26.42,26.55,26.37,26.51,17728,0
WNC.US,60,20240415,190000,26.51,26.59,26.4,26.47,19131,0
WNC.US,60,20240415,200000,26.45,26.61,26.43,26.61,32190,0
WNC.US,60,20240415,210000,26.61,26.61,26.48,26.505,28476,0
WNC.US,60,20240415,220000,26.5,26.56,26.43,26.5,196576,0
WNC.US,60,20240416,160000,26.28,26.5,26.13,26.46,10918,0
WNC.US,60,20240416,170000,26.4,26.45,26.22,26.36,35541,0
WNC.US,60,20240416,180000,26.4,26.48,26.34,26.37,35504,0
WNC.US,60,20240416,190000,26.37,26.45,26.31,26.41,24280,0
WNC.US,60,20240416,200000,26.41,26.55,26.4,26.46,71850,0
WNC.US,60,20240416,210000,26.465,26.6057,26.38,26.5,21006,0
WNC.US,60,20240416,220000,26.51,26.69,26.41,26.68,175461,0
WNC.US,60,20240417,160000,26.87,26.915,26.42,26.42,19689,0
WNC.US,60,20240417,170000,26.345,26.35,25.795,25.865,48025,0
WNC.US,60,20240417,180000,25.85,26.02,25.85,26,32630,0
WNC.US,60,20240417,190000,26,26.06,25.89,26.005,41062,0
WNC.US,60,20240417,200000,26.005,26.07,25.86,26,83990,0
WNC.US,60,20240417,210000,26.02,26.16,25.99,26.005,56752,0
WNC.US,60,20240417,220000,26.005,26.025,25.85,25.9,251035,0
WNC.US,60,20240418,160000,26,26.07,25.92,26,7159,0
WNC.US,60,20240418,170000,25.95,26.01,25.85,25.87,16566,0
WNC.US,60,20240418,180000,25.875,25.9,25.66,25.76,16733,0
WNC.US,60,20240418,190000,25.76,25.76,25.35,25.42,19110,0
WNC.US,60,20240418,200000,25.4,25.41,24.99,25.1,52375,0
WNC.US,60,20240418,210000,25.1,25.1,24.82,24.965,24562,0
WNC.US,60,20240418,220000,24.98,25.11,24.86,25.03,245449,0
WNC.US,60,20240419,160000,24.97,25.51,24.86,25.4,27328,0
WNC.US,60,20240419,170000,25.42,25.43,25.15,25.2925,30070,0
WNC.US,60,20240419,180000,25.33,25.5575,25.285,25.51,33252,0
WNC.US,60,20240419,190000,25.505,25.505,25.33,25.43,19844,0
WNC.US,60,20240419,200000,25.45,25.5,25.41,25.44,17613,0
WNC.US,60,20240419,210000,25.44,25.44,25.12,25.185,27802,0
WNC.US,60,20240419,220000,25.18,25.36,25.17,25.32,93868,0
WNC.US,60,20240422,160000,25.6,25.87,25.49,25.82,5828,0
WNC.US,60,20240422,170000,25.84,25.98,25.83,25.9,21593,0
WNC.US,60,20240422,180000,25.9,26.04,25.87,25.91,26301,0
WNC.US,60,20240422,190000,25.91,25.91,25.74,25.75,31098,0
WNC.US,60,20240422,200000,25.76,25.86,25.74,25.86,28750,0
WNC.US,60,20240422,210000,25.8666,25.9,25.77,25.78,35852,0
WNC.US,60,20240422,220000,25.795,26.01,25.69,25.82,168185,0
WNC.US,60,20240423,160000,25.81,26.11,25.68,26,12128,0
WNC.US,60,20240423,170000,26.01,26.36,25.97,26.1999,75604,0
WNC.US,60,20240423,180000,26.22,26.4099,26.21,26.33,33670,0
WNC.US,60,20240423,190000,26.35,26.3562,26.15,26.29,51961,0
WNC.US,60,20240423,200000,26.29,26.2999,26.145,26.2,49448,0
WNC.US,60,20240423,210000,26.19,26.3079,26.1405,26.18,78304,0
WNC.US,60,20240423,220000,26.18,26.18,25.74,25.77,472815,0
WNC.US,60,20240424,160000,24.5,25.74,24.5,24.98,83057,0
WNC.US,60,20240424,170000,24.98,25.5,24.67,25,73727,0
WNC.US,60,20240424,180000,25.02,25.03,24.18,24.33,79495,0
WNC.US,60,20240424,190000,24.31,24.6976,24.31,24.47,31682,0
WNC.US,60,20240424,200000,24.4813,24.81,24.445,24.8,26039,0
WNC.US,60,20240424,210000,24.8367,24.8367,24.32,24.36,76384,0
WNC.US,60,20240424,220000,24.35,24.6,24.28,24.42,350689,0
WNC.US,60,20240425,160000,24.29,24.7,24.22,24.38,29325,0
WNC.US,60,20240425,170000,24.4,24.49,23.92,23.96,38443,0
WNC.US,60,20240425,180000,23.97,24.12,23.85,24,27345,0
WNC.US,60,20240425,190000,23.99,24.18,23.97,24.12,27635,0
WNC.US,60,20240425,200000,24.13,24.17,23.93,24,30115,0
WNC.US,60,20240425,210000,23.99,24.0167,23.83,23.95,65365,0
WNC.US,60,20240425,220000,23.95,24.06,23.815,24,298502,0
WNC.US,60,20240426,160000,24.16,24.51,24.16,24.455,13858,0
WNC.US,60,20240426,170000,24.47,24.48,23.91,24.13,32902,0
WNC.US,60,20240426,180000,24.11,24.17,24.07,24.11,35064,0
WNC.US,60,20240426,190000,24.1,24.17,23.865,24.17,44374,0
WNC.US,60,20240426,200000,24.17,24.45,24.06,24.3725,25469,0
WNC.US,60,20240426,210000,24.38,24.45,24.265,24.4,56198,0
WNC.US,60,20240426,220000,24.4,24.62,24.34,24.61,355770,0
WNC.US,60,20240429,160000,24.76,24.77,24.56,24.595,30393,0
WNC.US,60,20240429,170000,24.6,24.63,24.15,24.17,46178,0
WNC.US,60,20240429,180000,24.185,24.24,24.09,24.24,49964,0
WNC.US,60,20240429,190000,24.21,24.21,23.92,23.92,34043,0
WNC.US,60,20240429,200000,23.92,24.085,23.9,24.06,33441,0
