<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSM.US,60,20240411,160000,147.13,147.377,145.743,147.167,71760.23507977571,0
WSM.US,60,20240411,170000,147.211,147.211,145.074,145.148,80877.753737146,0
WSM.US,60,20240411,180000,145.148,145.356,144.525,145.319,60590.515774553,0
WSM.US,60,20240411,190000,145.311,145.396,144.475,144.822,74494.478743729,0
WSM.US,60,20240411,200000,144.906,145.444,144.717,145.366,58012.10983238,0
WSM.US,60,20240411,210000,145.321,146.102,145.257,145.723,112575.55112044,0
WSM.US,60,20240411,220000,145.725,146.723,145.489,145.499,525185.26559668,0
WSM.US,60,20240412,160000,144.985,145.672,142.555,142.999,56862.553650939975,0
WSM.US,60,20240412,170000,142.555,143.334,141.695,141.963,140672.88997067,0
WSM.US,60,20240412,180000,141.963,143.705,141.922,143.301,103166.59568468,0
WSM.US,60,20240412,190000,143.215,143.787,143.127,143.601,55328.462831342,0
WSM.US,60,20240412,200000,143.567,143.676,142.356,143.063,57858.295977117,0
WSM.US,60,20240412,210000,142.999,143.162,142.203,142.391,78052.436079946,0
WSM.US,60,20240412,220000,142.287,143.503,142.25,142.721,386256.94856334,0
WSM.US,60,20240415,160000,147.292,147.292,144.887,145.995,120932.0959675618,0
WSM.US,60,20240415,170000,145.993,146.127,144.086,144.086,181520.5878756,0
WSM.US,60,20240415,180000,144.021,144.511,143.572,144.343,109762.37666234,0
WSM.US,60,20240415,190000,144.387,144.475,143.182,143.918,81721.706074577,0
WSM.US,60,20240415,200000,143.853,144.051,142.774,143.676,101654.76739676,0
WSM.US,60,20240415,210000,143.671,143.789,142.623,142.82,110735.85645683,0
WSM.US,60,20240415,220000,142.852,142.852,141.785,142.564,650792.49321763,0
WSM.US,60,20240416,160000,141.438,143.182,141.356,141.961,89260.60884898408,0
WSM.US,60,20240416,170000,141.746,141.953,140.538,140.82,98133.239657844,0
WSM.US,60,20240416,180000,140.993,141.991,140.884,141.38,106708.36208876,0
WSM.US,60,20240416,190000,141.368,141.58,140.485,140.568,109958.69171445,0
WSM.US,60,20240416,200000,140.518,140.953,139.53,139.846,168573.91376878,0
WSM.US,60,20240416,210000,139.772,140.425,137.944,138.981,295846.78353291,0
WSM.US,60,20240416,220000,138.947,139.679,138.453,139.609,611652.93865273,0
WSM.US,60,20240417,160000,141.101,142.791,140.955,142.054,73409.68629082057,0
WSM.US,60,20240417,170000,142.035,142.035,138.594,139.308,157349.55006761,0
WSM.US,60,20240417,180000,139.302,140.034,138.768,139.292,50365.942132592,0
WSM.US,60,20240417,190000,139.292,139.594,138.546,138.788,39204.318293435,0
WSM.US,60,20240417,200000,138.768,139.674,138.616,139.674,76143.929954773,0
WSM.US,60,20240417,210000,139.669,140.207,138.71,138.768,67702.382713954,0
WSM.US,60,20240417,220000,138.754,139.514,138.492,139.422,348714.22468005,0
WSM.US,60,20240418,160000,140.404,142.77,140.404,141.202,81458.94132102371,0
WSM.US,60,20240418,170000,141.371,141.971,141.016,141.264,96321.151470733,0
WSM.US,60,20240418,180000,141.356,142.656,141.356,142.026,146253.58163735,0
WSM.US,60,20240418,190000,142.072,142.298,140.098,140.116,72466.628900319,0
WSM.US,60,20240418,200000,140.186,140.244,138.928,139.475,64419.708661931,0
WSM.US,60,20240418,210000,139.372,139.848,138.979,139.029,54621.091608121,0
