<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
X.US,60,20240411,160000,42.6,42.625,42.31,42.5489,324146,0
X.US,60,20240411,170000,42.55,42.5725,42.23,42.42,336025,0
X.US,60,20240411,180000,42.425,42.475,42.27,42.29,210486,0
X.US,60,20240411,190000,42.3,42.5366,42.255,42.425,289404,0
X.US,60,20240411,200000,42.42,42.515,42.38,42.4,263493,0
X.US,60,20240411,210000,42.4075,42.54,42.34,42.395,135800,0
X.US,60,20240411,220000,42.4,42.42,42.16,42.23,1055607,0
X.US,60,20240412,160000,42.53,42.55,41.98,42.3,332048,0
X.US,60,20240412,170000,42.3,42.58,41.89,41.935,671212,0
X.US,60,20240412,180000,41.93,41.96,41.59,41.62,205923,0
X.US,60,20240412,190000,41.62,41.62,41.21,41.26,317803,0
X.US,60,20240412,200000,41.25,41.45,40.93,41.125,716252,0
X.US,60,20240412,210000,41.125,41.26,41.02,41.04,494933,0
X.US,60,20240412,220000,41.03,41.36,40.945,41.33,851679,0
X.US,60,20240415,160000,41.5,41.852,41.449,41.62,122201,0
X.US,60,20240415,170000,41.61,41.61,41.15,41.175,116752,0
X.US,60,20240415,180000,41.175,41.35,41.15,41.31,121542,0
X.US,60,20240415,190000,41.31,41.365,40.89,41.055,124272,0
X.US,60,20240415,200000,41.06,41.1,40.85,40.94,187494,0
X.US,60,20240415,210000,40.935,41.005,40.74,40.82,168124,0
X.US,60,20240415,220000,40.82,40.9,40.64,40.82,758703,0
X.US,60,20240416,160000,40.59,40.7,40.47,40.47,118599,0
X.US,60,20240416,170000,40.425,40.5208,40.29,40.43,216818,0
X.US,60,20240416,180000,40.43,40.59,40.31,40.49,154343,0
X.US,60,20240416,190000,40.5,40.505,40.35,40.395,89984,0
X.US,60,20240416,200000,40.41,40.44,40.175,40.21,149731,0
X.US,60,20240416,210000,40.2,40.275,40.06,40.255,187348,0
X.US,60,20240416,220000,40.26,40.39,40.205,40.3,719143,0
X.US,60,20240417,160000,40.25,41.12,40.17,41.07,292825,0
X.US,60,20240417,170000,41.07,41.09,40.595,40.635,174568,0
X.US,60,20240417,180000,40.624,40.6439,40.18,40.2,168145,0
X.US,60,20240417,190000,40.2,40.21,40.05,40.09,177881,0
X.US,60,20240417,200000,40.08,40.3,40.06,40.27,105875,0
X.US,60,20240417,210000,40.27,40.308,38.7795,39.7254,2290414,0
X.US,60,20240417,220000,39.725,39.76,39.12,39.13,1581559,0
X.US,60,20240418,160000,39.44,39.54,39.305,39.47,123984,0
X.US,60,20240418,170000,39.47,39.725,39.34,39.39,464803,0
X.US,60,20240418,180000,39.39,39.495,39.29,39.415,195798,0
X.US,60,20240418,190000,39.41,39.42,39.09,39.13,153448,0
X.US,60,20240418,200000,39.14,39.16,38.86,38.935,216698,0
X.US,60,20240418,210000,38.935,38.98,38.7,38.7,344354,0
X.US,60,20240418,220000,38.71,38.97,38.61,38.94,997583,0
X.US,60,20240419,160000,38.82,38.94,38.75,38.83,91770,0
X.US,60,20240419,170000,38.83,38.9099,38.54,38.61,345018,0
X.US,60,20240419,180000,38.6,38.64,38.305,38.31,375326,0
X.US,60,20240419,190000,38.315,38.365,38.09,38.26,389491,0
X.US,60,20240419,200000,38.25,38.56,38.2411,38.455,370926,0
X.US,60,20240419,210000,38.45,38.645,38.32,38.64,276018,0
X.US,60,20240419,220000,38.64,38.745,38.55,38.625,633541,0
X.US,60,20240422,160000,38.5,39.06,38.35,39.06,150215,0
X.US,60,20240422,170000,39.05,39.31,39,39.17,256239,0
X.US,60,20240422,180000,39.18,39.245,39.095,39.15,137587,0
X.US,60,20240422,190000,39.15,39.2,39.05,39.19,75556,0
