<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XOM.US,60,20240411,160000,122.69,122.69,121.7,121.86,1472205,0
XOM.US,60,20240411,170000,121.865,121.88,120.37,120.455,2044546,0
XOM.US,60,20240411,180000,120.445,120.77,120.34,120.6599,1416466,0
XOM.US,60,20240411,190000,120.67,121.335,120.65,121.24,1349266,0
XOM.US,60,20240411,200000,121.26,121.685,121.25,121.575,1327338,0
XOM.US,60,20240411,210000,121.58,122.025,121.54,121.98,1000261,0
XOM.US,60,20240411,220000,121.985,122.09,121.55,121.79,4423910,0
XOM.US,60,20240412,160000,122.95,123.74,122.81,123.44,1885985,0
XOM.US,60,20240412,170000,123.45,123.75,123.04,123.25,2019883,0
XOM.US,60,20240412,180000,123.24,123.47,121.94,122.285,1822590,0
XOM.US,60,20240412,190000,122.29,122.38,121.44,121.44,1547281,0
XOM.US,60,20240412,200000,121.44,121.56,120.685,120.83,1438060,0
XOM.US,60,20240412,210000,120.82,121.31,120.01,120.11,2022367,0
XOM.US,60,20240412,220000,120.1,120.395,119.67,120.37,5407675,0
XOM.US,60,20240415,160000,121.09,121.69,120.7351,121.475,1310886,0
XOM.US,60,20240415,170000,121.48,121.5,120.355,120.54,1671019,0
XOM.US,60,20240415,180000,120.54,120.88,120.1601,120.865,1256792,0
XOM.US,60,20240415,190000,120.87,120.9,119.945,120.235,939792,0
XOM.US,60,20240415,200000,120.23,120.26,119.53,119.9,1198512,0
XOM.US,60,20240415,210000,119.89,119.93,119.475,119.8,1187315,0
XOM.US,60,20240415,220000,119.7801,119.93,119.45,119.68,3674985,0
XOM.US,60,20240416,160000,119.555,120.22,118.8824,119.25,1120899,0
XOM.US,60,20240416,170000,119.25,119.27,117.92,118.975,2840722,0
XOM.US,60,20240416,180000,118.975,119.205,118.75,118.92,1307616,0
XOM.US,60,20240416,190000,118.91,118.98,118.635,118.7336,955855,0
XOM.US,60,20240416,200000,118.73,118.755,118.11,118.42,1488407,0
XOM.US,60,20240416,210000,118.42,119.06,118.16,119.06,1319948,0
XOM.US,60,20240416,220000,119.06,119.2799,118.57,118.69,3748593,0
XOM.US,60,20240417,160000,118.55,119.2,118.21,119.13,975928,0
XOM.US,60,20240417,170000,119.13,119.35,118.76,118.77,1150287,0
XOM.US,60,20240417,180000,118.77,119.03,118.1299,118.195,1037621,0
XOM.US,60,20240417,190000,118.18,118.22,117.12,117.6275,1560142,0
XOM.US,60,20240417,200000,117.64,118.59,117.545,118.5,1324059,0
XOM.US,60,20240417,210000,118.51,119.08,118.37,118.4427,1116466,0
XOM.US,60,20240417,220000,118.44,118.68,118.26,118.63,3775685,0
XOM.US,60,20240418,160000,119,119.72,118.39,119.03,1034355,0
XOM.US,60,20240418,170000,119.03,119.2781,118.7,119.09,1403412,0
XOM.US,60,20240418,180000,119.08,119.22,118.605,118.81,1131580,0
XOM.US,60,20240418,190000,118.8,119,118.51,118.635,953767,0
XOM.US,60,20240418,200000,118.635,118.71,118.26,118.42,868591,0
XOM.US,60,20240418,210000,118.41,118.4712,117.97,118.12,1147696,0
XOM.US,60,20240418,220000,118.13,118.78,118.09,118.52,3604848,0
XOM.US,60,20240419,160000,119.155,120.16,118.95,120.04,2395278,0
XOM.US,60,20240419,170000,120.03,120.925,119.915,120.22,2483755,0
XOM.US,60,20240419,180000,120.23,120.58,119.81,120.185,1438763,0
XOM.US,60,20240419,190000,120.17,120.23,119.505,120.175,1372123,0
XOM.US,60,20240419,200000,120.18,120.28,119.88,119.975,1037454,0
XOM.US,60,20240419,210000,119.97,120.04,119.56,119.88,1315036,0
XOM.US,60,20240419,220000,119.88,120.08,119.7,119.88,5956662,0
XOM.US,60,20240422,160000,119.26,119.42,118.43,119.325,1576636,0
XOM.US,60,20240422,170000,119.325,120.67,119.24,120.58,1824730,0
XOM.US,60,20240422,180000,120.595,120.765,120.16,120.74,1062631,0
XOM.US,60,20240422,190000,120.715,120.86,120.51,120.755,917026,0
XOM.US,60,20240422,200000,120.75,121.3766,120.605,121.31,1046651,0
XOM.US,60,20240422,210000,121.315,121.565,121.2,121.245,1016529,0
XOM.US,60,20240422,220000,121.245,121.25,120.4,120.56,4309937,0
XOM.US,60,20240423,160000,120,120.33,119.45,120.11,1250189,0
XOM.US,60,20240423,170000,120.11,120.37,119.8,120.315,1398431,0
XOM.US,60,20240423,180000,120.3281,120.48,120.02,120.305,1035218,0
XOM.US,60,20240423,190000,120.31,120.98,120.255,120.85,1053708,0
XOM.US,60,20240423,200000,120.845,120.985,120.68,120.87,820003,0
XOM.US,60,20240423,210000,120.86,121.03,120.76,120.8975,1007905,0
XOM.US,60,20240423,220000,120.8975,121.06,120.635,121.03,3380641,0
XOM.US,60,20240424,160000,120.3,120.64,119.39,120.37,1296233,0
XOM.US,60,20240424,170000,120.38,120.95,120.19,120.39,1329472,0
XOM.US,60,20240424,180000,120.39,120.68,120.15,120.65,839150,0
XOM.US,60,20240424,190000,120.67,120.865,120.53,120.63,689510,0
XOM.US,60,20240424,200000,120.63,121.14,120.565,121.075,756277,0
XOM.US,60,20240424,210000,121.07,121.07,120.59,120.68,887584,0
XOM.US,60,20240424,220000,120.67,121.255,120.64,121.05,2462440,0
XOM.US,60,20240425,160000,121.03,121.76,120.2115,120.515,1149971,0
XOM.US,60,20240425,170000,120.51,120.57,119.4,120.1601,1914490,0
XOM.US,60,20240425,180000,120.155,120.7,119.95,120.69,1306033,0
XOM.US,60,20240425,190000,120.68,120.98,120.6,120.765,690814,0
XOM.US,60,20240425,200000,120.75,121.2,120.625,121.18,889644,0
XOM.US,60,20240425,210000,121.19,121.386,120.88,121.34,1394688,0
XOM.US,60,20240425,220000,121.335,121.67,121.11,121.33,3955596,0
XOM.US,60,20240426,160000,118.67,119.1,116.8,117.45,3434620,0
XOM.US,60,20240426,170000,117.44,118.03,116.22,116.52,3911755,0
XOM.US,60,20240426,180000,116.53,117.435,116.22,117.32,2587183,0
XOM.US,60,20240426,190000,117.35,118.46,117.26,117.825,2209564,0
XOM.US,60,20240426,200000,117.82,118.4781,117.77,118.355,1282182,0
XOM.US,60,20240426,210000,118.37,118.74,118.26,118.545,1369345,0
XOM.US,60,20240426,220000,118.55,118.925,117.81,117.96,5250805,0
XOM.US,60,20240429,160000,117.82,120.04,117.76,119.795,2056489,0
XOM.US,60,20240429,170000,119.7988,120.05,118.96,118.98,2832938,0
XOM.US,60,20240429,180000,118.98,119.665,118.95,119.665,1305970,0
XOM.US,60,20240429,190000,119.665,119.96,119.48,119.63,1129267,0
XOM.US,60,20240429,200000,119.625,119.68,119.2074,119.315,753156,0
XOM.US,60,20240429,210000,119.315,119.35,118.99,119.315,856612,0
XOM.US,60,20240429,220000,119.31,119.64,119.0796,119.64,4048738,0
XOM.US,60,20240430,160000,119.11,120.2,118.78,119.43,1434266,0
XOM.US,60,20240430,170000,119.45,119.69,119.01,119.45,1816944,0
XOM.US,60,20240430,180000,119.46,119.7,118.92,119.06,1656788,0
XOM.US,60,20240430,190000,119.055,119.33,118.24,118.2642,1289580,0
XOM.US,60,20240430,200000,118.2599,119.08,118.18,119.035,1255087,0
XOM.US,60,20240430,210000,119.04,119.275,118.57,118.65,860780,0
XOM.US,60,20240430,220000,118.64,118.8,117.98,118.27,6822863,0
XOM.US,60,20240501,160000,118.28,118.47,117.57,117.9,1386467,0
XOM.US,60,20240501,170000,117.9,118.16,116.605,116.7874,2092101,0
XOM.US,60,20240501,180000,116.78,116.8871,116.2,116.46,1695203,0
XOM.US,60,20240501,190000,116.46,116.597,115.94,116.4,3234970,0
XOM.US,60,20240501,200000,116.39,116.53,115.785,115.93,1650957,0
XOM.US,60,20240501,210000,115.96,117.26,115.83,116.96,1757634,0
XOM.US,60,20240501,220000,116.96,117.5,115.66,116.03,8595920,0
XOM.US,60,20240502,160000,116.48,117.26,116.1,116.335,2551810,0
XOM.US,60,20240502,170000,116.34,117.01,115.9,116.7,2724930,0
XOM.US,60,20240502,180000,116.715,116.72,116.015,116.03,1988676,0
XOM.US,60,20240502,190000,116.04,116.305,115.99,116.27,1465132,0
XOM.US,60,20240502,200000,116.278,116.53,116.11,116.33,1522015,0
XOM.US,60,20240502,210000,116.34,116.455,116.14,116.4,1640335,0
XOM.US,60,20240502,220000,116.4,116.7,115.98,116.24,6818166,0
XOM.US,60,20240507,160000,117.28,117.58,116.46,116.65,2282811,0
XOM.US,60,20240507,170000,116.65,116.67,115.93,116.29,2368414,0
XOM.US,60,20240507,180000,116.295,116.855,116.295,116.48,1366661,0
XOM.US,60,20240507,190000,116.475,116.9511,116.42,116.825,1154605,0
XOM.US,60,20240507,200000,116.83,117.045,116.66,116.68,1124084,0
XOM.US,60,20240507,210000,116.675,116.79,116.48,116.555,1459345,0
XOM.US,60,20240507,220000,116.54,116.93,116.17,116.17,13160128,0
XOM.US,60,20240508,160000,115.71,116.37,115.41,116.32,1311908,0
XOM.US,60,20240508,170000,116.31,116.9542,116.31,116.51,1943430,0
XOM.US,60,20240508,180000,116.5,116.91,116.485,116.795,1218405,0
XOM.US,60,20240508,190000,116.78,116.82,116.2,116.255,997928,0
XOM.US,60,20240508,200000,116.25,116.34,115.955,115.995,907759,0
XOM.US,60,20240508,210000,115.9928,116.0597,115.625,115.795,1408517,0
XOM.US,60,20240508,220000,115.8,116.33,115.74,116.15,5032439,0
XOM.US,60,20240509,160000,116.2,117.44,116.19,117.36,1742079,0
XOM.US,60,20240509,170000,117.36,117.87,117.18,117.81,1698770,0
XOM.US,60,20240509,180000,117.81,118.1,117.625,117.645,1468547,0
XOM.US,60,20240509,190000,117.66,117.885,117.56,117.605,1182905,0
XOM.US,60,20240509,200000,117.61,117.865,117.54,117.805,897338,0
XOM.US,60,20240509,210000,117.805,118.455,117.785,118.315,1759727,0
XOM.US,60,20240509,220000,118.315,118.53,118.26,118.44,5126704,0
XOM.US,60,20240510,160000,118.54,118.63,117.84,118.11,1325872,0
XOM.US,60,20240510,170000,118.11,118.66,117.81,118.465,1644109,0
XOM.US,60,20240510,180000,118.46,118.5173,117.885,118,844087,0
XOM.US,60,20240510,190000,118,118,117.65,117.7899,753360,0
