<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YUM.US,60,20240411,160000,138.47,138.47,136.97,137.19,67089,0
YUM.US,60,20240411,170000,137.21,137.93,137.11,137.785,94645,0
YUM.US,60,20240411,180000,137.78,138.315,137.75,138.285,57175,0
YUM.US,60,20240411,190000,138.29,138.43,138.06,138.08,56466,0
YUM.US,60,20240411,200000,138.1,138.635,138,138.47,56165,0
YUM.US,60,20240411,210000,138.465,138.74,138.455,138.66,105986,0
YUM.US,60,20240411,220000,138.665,138.76,138.27,138.33,549194,0
YUM.US,60,20240412,160000,138.41,138.49,137.57,137.685,48364,0
YUM.US,60,20240412,170000,137.65,137.81,137.175,137.66,64200,0
YUM.US,60,20240412,180000,137.625,137.8,137.48,137.625,63080,0
YUM.US,60,20240412,190000,137.6,137.725,137.435,137.64,51518,0
YUM.US,60,20240412,200000,137.56,138,137.23,137.91,225032,0
YUM.US,60,20240412,210000,137.93,138.01,137.48,137.6,256018,0
YUM.US,60,20240412,220000,137.59,137.83,137.275,137.8,757268,0
YUM.US,60,20240415,160000,138.37,139.21,138.16,139.16,81265,0
YUM.US,60,20240415,170000,139.185,139.22,138.79,138.875,175952,0
YUM.US,60,20240415,180000,138.89,138.89,138.38,138.76,104457,0
YUM.US,60,20240415,190000,138.76,138.96,138.45,138.5,67643,0
YUM.US,60,20240415,200000,138.5,138.54,137.27,137.45,200098,0
YUM.US,60,20240415,210000,137.48,137.52,136.9,137.29,158124,0
YUM.US,60,20240415,220000,137.27,137.8,136.9,137.67,1302534,0
YUM.US,60,20240416,160000,137.53,137.99,136.79,136.98,42989,0
YUM.US,60,20240416,170000,136.99,137.76,136.81,137.75,173939,0
YUM.US,60,20240416,180000,137.755,138.17,137.48,138.115,72356,0
YUM.US,60,20240416,190000,138.09,138.39,137.97,138.17,46442,0
YUM.US,60,20240416,200000,138.155,138.155,137.4,137.825,113199,0
YUM.US,60,20240416,210000,137.825,138.37,137.64,138.06,75898,0
YUM.US,60,20240416,220000,138.08,138.38,137.725,138,826426,0
YUM.US,60,20240417,160000,138.56,138.88,137.95,138.045,18381,0
YUM.US,60,20240417,170000,138.045,138.55,137.48,137.62,59978,0
YUM.US,60,20240417,180000,137.67,137.755,137.41,137.55,85362,0
YUM.US,60,20240417,190000,137.59,137.78,137.36,137.74,51302,0
YUM.US,60,20240417,200000,137.72,137.9299,137.51,137.875,81396,0
YUM.US,60,20240417,210000,137.875,138.16,137.56,137.965,73439,0
YUM.US,60,20240417,220000,137.975,138.27,137.8,137.83,654131,0
YUM.US,60,20240418,160000,137.85,138.33,137.62,138.035,50097,0
YUM.US,60,20240418,170000,138.035,138.07,137.25,137.58,115281,0
YUM.US,60,20240418,180000,137.61,137.865,137.33,137.61,87442,0
YUM.US,60,20240418,190000,137.625,137.905,137.57,137.57,73895,0
YUM.US,60,20240418,200000,137.57,137.65,137.165,137.6,93518,0
YUM.US,60,20240418,210000,137.57,137.76,137.3,137.34,95296,0
YUM.US,60,20240418,220000,137.31,138.025,137.29,137.87,781465,0
YUM.US,60,20240419,160000,138.73,138.73,138.12,138.205,79922,0
YUM.US,60,20240419,170000,138.255,138.61,137.83,138.47,106146,0
YUM.US,60,20240419,180000,138.47,138.68,138.1625,138.18,60705,0
YUM.US,60,20240419,190000,138.175,138.39,137.84,138.24,160195,0
YUM.US,60,20240419,200000,138.245,138.59,138.1818,138.49,39743,0
YUM.US,60,20240419,210000,138.43,138.66,137.97,138.15,106686,0
YUM.US,60,20240419,220000,138.155,138.57,137.97,138.5,251383,0
YUM.US,60,20240422,160000,138.54,139.02,137.79,139.02,88014,0
YUM.US,60,20240422,170000,139.07,139.14,138.63,138.84,118264,0
YUM.US,60,20240422,180000,138.78,139.05,138.58,139.04,73200,0
YUM.US,60,20240422,190000,139.05,139.305,139.026,139.18,53012,0
YUM.US,60,20240422,200000,139.2,139.95,139.07,139.9,57283,0
YUM.US,60,20240422,210000,139.8801,140.18,139.8801,140.015,92893,0
YUM.US,60,20240422,220000,140.02,140.12,138.98,139.06,536394,0
YUM.US,60,20240423,160000,139.58,140.01,139.345,139.61,120797,0
YUM.US,60,20240423,170000,139.64,140.29,139.45,140.06,82136,0
YUM.US,60,20240423,180000,140.06,140.34,139.91,139.98,49866,0
YUM.US,60,20240423,190000,139.98,140.12,139.615,140.08,63452,0
YUM.US,60,20240423,200000,140.085,140.59,140.05,140.53,45621,0
YUM.US,60,20240423,210000,140.525,140.64,140.305,140.485,67822,0
YUM.US,60,20240423,220000,140.485,140.88,140.06,140.11,1257131,0
YUM.US,60,20240424,160000,139.74,140.26,139.265,140.1,51986,0
YUM.US,60,20240424,170000,140.085,140.86,140.02,140.46,97222,0
