<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZTO.US,60,20240411,160000,20.43,20.57,20.315,20.445,234717,0
ZTO.US,60,20240411,170000,20.445,20.5,20.125,20.14,351294,0
ZTO.US,60,20240411,180000,20.15,20.25,20.08,20.21,198849,0
ZTO.US,60,20240411,190000,20.205,20.21,20.04,20.13,196610,0
ZTO.US,60,20240411,200000,20.135,20.23,20.115,20.155,171273,0
ZTO.US,60,20240411,210000,20.15,20.19,20.08,20.12,284733,0
ZTO.US,60,20240411,220000,20.12,20.26,20.1,20.17,1149537,0
ZTO.US,60,20240412,160000,19.87,19.87,19.49,19.54,310487,0
ZTO.US,60,20240412,170000,19.545,19.59,19.475,19.545,226605,0
ZTO.US,60,20240412,180000,19.54,19.685,19.53,19.615,165970,0
ZTO.US,60,20240412,190000,19.615,19.635,19.5,19.53,254819,0
ZTO.US,60,20240412,200000,19.525,19.555,19.47,19.485,148127,0
ZTO.US,60,20240412,210000,19.485,19.52,19.42,19.425,177424,0
ZTO.US,60,20240412,220000,19.425,19.425,19.26,19.26,1599457,0
ZTO.US,60,20240415,160000,19.38,19.62,19.38,19.565,258986,0
ZTO.US,60,20240415,170000,19.565,19.67,19.455,19.465,297692,0
ZTO.US,60,20240415,180000,19.47,19.64,19.46,19.605,347371,0
ZTO.US,60,20240415,190000,19.605,19.61,19.415,19.435,222943,0
ZTO.US,60,20240415,200000,19.43,19.46,19.415,19.45,227910,0
ZTO.US,60,20240415,210000,19.45,19.46,19.43,19.445,263981,0
ZTO.US,60,20240415,220000,19.445,19.55,19.43,19.54,1213277,0
ZTO.US,60,20240416,160000,19.35,19.5,19.255,19.305,143715,0
ZTO.US,60,20240416,170000,19.3,19.44,19.21,19.39,241873,0
ZTO.US,60,20240416,180000,19.39,19.41,19.31,19.345,333311,0
ZTO.US,60,20240416,190000,19.345,19.4,19.325,19.375,444643,0
ZTO.US,60,20240416,200000,19.38,19.395,19.31,19.33,444155,0
ZTO.US,60,20240416,210000,19.33,19.39,19.3,19.355,534097,0
ZTO.US,60,20240416,220000,19.36,19.39,19.335,19.36,928296,0
ZTO.US,60,20240417,160000,19.41,19.52,19.26,19.465,302089,0
